,sampleCode,folder,cellType,genotype,variant,sex,species,Grouping
JL5-1,JL5-1,JL5-1,iPSC,Variant,Deletion,Male,Human,JL5
JL5-2,JL5-2,JL5-2,iPSC,Variant,Deletion,Male,Human,JL5
JL5-3,JL5-3,JL5-3,iPSC,Variant,Deletion,Male,Human,JL5
JL12-1,JL12-1,JL12-1,iPSC,Variant,Deletion,Male,Human,JL12
JL12-2,JL12-2,JL12-2,iPSC,Variant,Deletion,Male,Human,JL12
JL12-3,JL12-3,JL12-3,iPSC,Variant,Deletion,Male,Human,JL12
MADV1,MADV1,MADV1,iPSC,Variant,Missense,Male,Human,MADV
MADV2,MADV2,MADV2,iPSC,Variant,Missense,Male,Human,MADV
MADV3,MADV3,MADV3,iPSC,Variant,Missense,Male,Human,MADV
MADC1,MADC1,MADC1,iPSC,WT,Corrected,Male,Human,MADC
MADC2,MADC2,MADC2,iPSC,WT,Corrected,Male,Human,MADC
MADC3,MADC3,MADC3,iPSC,WT,Corrected,Male,Human,MADC
808-1,808-1,808-1,iPSC,WT,WT,Male,Human,808
808-2,808-2,808-2,iPSC,WT,WT,Male,Human,808
808-3,808-3,808-3,iPSC,WT,WT,Male,Human,808
MD1-1,MD1-1,MD1-1,iPSC,WT,WT,Male,Human,MD1
MD1-2,MD1-2,MD1-2,iPSC,WT,WT,Male,Human,MD1
MD1-3,MD1-3,MD1-3,iPSC,WT,WT,Male,Human,MD1
MD5-1,MD5-1,MD5-1,iPSC,WT,WT,Male,Human,MD5
MD5-2,MD5-2,MD5-2,iPSC,WT,WT,Male,Human,MD5
MD5-3,MD5-3,MD5-3,iPSC,WT,WT,Male,Human,MD5
L438P_1,L438P_1,LCL-THOC2-L438P-CS-01,LCL,Variant,Missense,Male,Human,L438P
L438P_2,L438P_2,LCL-THOC2-L438P-DS-02,LCL,Variant,Missense,Male,Human,L438P
Control_1,Control_1,LCL-WT-M-RS-03,LCL,WT,WT,Male,Human,LCL_control
Control_2,Control_2,LCL-WT-M-ET-10,LCL,WT,WT,Male,Human,LCL_control
Control_3,Control_3,LCL-WT-M-PK-11,LCL,WT,WT,Male,Human,LCL_control
Control_4,Control_4,LCL-WT-M-JD-12,LCL,WT,WT,Male,Human,LCL_control
Control_5,Control_5,LCL-WT-M-FH-16,LCL,WT,WT,Male,Human,LCL_control
Control_6,Control_6,LCL-WT-M-JL-17,LCL,WT,WT,Male,Human,LCL_control
JL,JL,THOC2_JL,Fibroblast,Variant,Deletion,Male,Human,JL
Control_Fibro_1,Control_Fibro_1,MC_60949,Fibroblast,WT,WT,Male,Human,Fibro_control
Control_Fibro_2,Control_Fibro_2,MC_54365,Fibroblast,WT,WT,Male,Human,Fibro_control
Control_Fibro_3,Control_Fibro_3,MC_54356,Fibroblast,WT,WT,Male,Human,Fibro_control
