L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000000003	7.333	14.044	30.093	5.221	3	7.973	9.87	11.434
ENSG00000000005	0	0	0	0	0	0	0	2
ENSG00000000419	605.229	1141.809	1331.026	1239.436	880.828	752	1372.008	1085.794
ENSG00000000457	580.925	779.96	834.772	750.077	563.054	873.048	755.352	883.125
ENSG00000000460	468.052	687.484	761.91	873.462	400.92	489.169	1313.651	783.387
ENSG00000000938	7581.778	4193.272	5181.673	4106.521	4639.358	5651.476	1433.41	6375.466
ENSG00000000971	0	4	11.803	3.489	1	2	0	1
ENSG00000001036	721.621	976.598	1141.075	812.164	515.643	582.846	584.339	621.057
ENSG00000001084	354.615	428.295	684.045	573.424	381.778	341.88	546.102	452.595
ENSG00000001167	1027.03	1317.016	1408.441	1446.488	885.736	1195.989	1566.253	1067.936
ENSG00000001460	61.478	104.223	82.22	114.095	48.443	79.1	50.359	58.6
ENSG00000001461	663.323	650.001	724.001	715.051	334.999	545.984	468.025	463.999
ENSG00000001497	1137.979	1417.08	1578.001	1665.056	1468.977	1536.042	2111.641	1572.24
ENSG00000001561	1616.03	1009	934	1345.155	524	600	514.023	1279.411
ENSG00000001617	1	11	13	25	6	5	10	15
ENSG00000001626	3	13	4	10	1	0	1	7
ENSG00000001629	3709.302	3664.059	3901.588	3718.853	2046.986	2645.417	2785.483	2877.245
ENSG00000001630	3226.046	4154.985	4677.295	4280.011	1940.531	3314.705	5047.499	3716.266
ENSG00000001631	1313.315	1421.437	1498.223	1635.21	826.254	1291.745	1276.21	1442.757
ENSG00000002016	413.999	336	390.001	346.999	134	430.022	337.999	407.143
ENSG00000002079	6	7	13	6	5	10	15	3
ENSG00000002330	396.641	479.654	468.146	528.095	455.756	383.927	425.791	439.161
ENSG00000002549	4979.734	5705.236	9214.273	6704.392	4498.68	3704.578	7450.764	5386.264
ENSG00000002586	1246.236	2239.629	2711.192	2268.413	1705.558	2557.951	3365.586	2418.472
ENSG00000002587	39.038	102.599	133.25	26	38.135	2.003	20.493	32.476
ENSG00000002726	138	26	2	7	0	4	1	17
ENSG00000002745	16	16	19	16	2	21	15	11
ENSG00000002746	4.155	4.185	4.083	6.521	6.029	4.063	4.257	0
ENSG00000002822	795.901	1380.92	1187.561	1279.103	1200.445	1008.15	1221.147	1018.536
ENSG00000002834	7071.713	8205.877	7500.707	7675.996	4238.171	4695.313	6561.688	6124.792
ENSG00000002919	2166.398	1899.633	2096.999	1656.511	1729.76	2010.5	1343.581	1886.129
ENSG00000002933	131	45	0	10	0	1	0	154.999
ENSG00000003056	5493.234	5791.602	6420.433	5677.397	3665.039	4660.192	4785.967	4483.059
ENSG00000003096	1	120	24	41	139.999	84.999	110	17
ENSG00000003137	0	0	4	0	0	1	2	1
ENSG00000003147	71	24.999	131.999	41.001	31.999	79	52	95
ENSG00000003249	927.001	514	1522.671	368.001	188.357	363.004	135.999	726.107
ENSG00000003393	632.016	657	605.127	884.001	512	655.077	506	623.205
ENSG00000003400	487.491	552.375	1149.062	681.352	101.162	604.534	462.227	654.374
ENSG00000003402	12198.655	6351.358	9581.702	10203.534	4365.728	6518.362	5580.717	7594.196
ENSG00000003436	73.908	107.885	128.75	136.544	45.442	146.2	84.219	89.691
ENSG00000003509	549.961	643.783	556.984	731.874	431.308	665.309	703.756	610.529
ENSG00000003756	5016.491	5805.313	5790.774	5757.603	3683.872	6162.011	4307.933	5212.896
ENSG00000003987	38.528	52.064	70.464	74.03	96.422	73.044	65.554	64.734
ENSG00000003989	10	7	8	22	5	5	4	37
ENSG00000004059	1378.326	1673.938	2016.137	1865.276	1552.329	2007.519	1966	1901.631
ENSG00000004139	937.744	965.657	973.024	1138.963	936.719	1175.897	1130.031	889.929
ENSG00000004142	2310.227	2937.867	3156.955	3123.371	2414.16	2372.837	3974.54	2734.289
ENSG00000004399	37	33	66	37	55	37.001	27	33
ENSG00000004455	5813.577	6103.319	7012.438	6836.407	4827.321	5228.099	7911.45	5927.98
ENSG00000004468	3117.597	910.08	5771.942	1753.967	182.706	305.493	365.798	1307.99
