JL	Control_1	Control_2	Control_3
ENSG00000000003	2386.37	1914.255	1817.07	1313.57
ENSG00000000005	0	0	0	1
ENSG00000000419	3058.304	4631.507	3618.288	3441.615
ENSG00000000457	719.38	1036	923.99	803.016
ENSG00000000460	282.145	1564.035	215.999	666.504
ENSG00000000938	13	28	16	6
ENSG00000000971	5298.833	1246.536	1037.218	932.98
ENSG00000001036	6548.622	7207.012	13961.383	7444.398
ENSG00000001084	1828.002	1607.246	1534.012	1193.178
ENSG00000001167	1885.633	3107.1	2329.935	2470.57
ENSG00000001460	564	2184.001	1643	448
ENSG00000001461	1775.001	24846.292	22401.682	10188.124
ENSG00000001497	1644.901	3000.691	2252.007	2164.318
ENSG00000001561	633	424	39	25
ENSG00000001617	1286.471	1029	5103.231	1339.925
ENSG00000001626	0	0	0	2
ENSG00000001629	6688.11	9536.631	7637.301	8078.123
ENSG00000001630	16082.13	7521.129	5619.055	4830.002
ENSG00000001631	2625.466	4268.408	2666.597	2601.673
ENSG00000002016	575	1096.025	737	695.119
ENSG00000002079	0	0	0	0
ENSG00000002330	2764.045	3417.268	2812.795	2179.083
ENSG00000002549	3970.213	4624.82	3876.028	4543.88
ENSG00000002586	57341.029	52903.278	81511.392	56904.874
ENSG00000002587	0	0	0	0
ENSG00000002726	0	0	0	0
ENSG00000002745	97	1085	100	621.078
ENSG00000002746	99.023	448	1300	165
ENSG00000002822	849.031	2268.745	1258.072	1151.289
ENSG00000002834	24030.037	66003.564	48080.48	56337.477
ENSG00000002919	1038.231	1372	1772.016	1656
ENSG00000002933	92	0	0	0
ENSG00000003056	10185.903	7937.829	6289.819	7171.766
ENSG00000003096	139.038	565.056	13	150
ENSG00000003137	297	352	1078	87
ENSG00000003147	8	0	9	1
ENSG00000003249	46	206.009	102.001	89
ENSG00000003393	3291.511	5014.799	5169.14	4182.76
ENSG00000003400	582.999	494.999	480.999	111
ENSG00000003402	6246.614	8391.764	6602.408	6092
ENSG00000003436	3244.938	3760.937	2069.864	1016.001
ENSG00000003509	990	1309.385	1154.997	1210.957
ENSG00000003756	8432.478	12712.701	10835.433	10742.263
ENSG00000003987	35	0	9	20
ENSG00000003989	346	1	0	2
ENSG00000004059	5804.046	8157.733	6573.525	6080.028
ENSG00000004139	1259.001	1615.548	1098	1035.062
ENSG00000004142	5552.386	10074.512	6936.554	7710.146
ENSG00000004399	12435.485	9934.849	11795.896	7625.975
ENSG00000004455	6096.849	8793.779	6761.512	7417.412
ENSG00000004468	5	0	0	0
ENSG00000004478	3445.096	3482.78	3095.965	2817.299
ENSG00000004487	5066.247	6584.399	4659.992	5214.657
ENSG00000004534	8867.803	7808.067	6180.495	5895.725
ENSG00000004660	431	1170.102	1311.3	1048.045
ENSG00000004700	5844.957	12246.325	7598.651	8272.797
ENSG00000004766	1851.53	2379.458	1501.131	1571.024
ENSG00000004776	9891.988	13900.125	12686.396	4237.176
ENSG00000004777	276	1132.001	403	478.053
ENSG00000004779	1964.001	2321.368	2538.417	2564.044
ENSG00000004799	68	70	34	10
ENSG00000004809	0	0	0	0
ENSG00000004838	11	81	34	30.001
ENSG00000004846	4	0	0	0
ENSG00000004848	0	0	0	0
ENSG00000004864	791.497	1069.13	709.999	1020
ENSG00000004866	1286.997	2085.076	1329.006	933.601
ENSG00000004897	6867.902	15523.053	8557.964	9376.219
ENSG00000004939	0	0	1	0
ENSG00000004948	0	0	0	0
ENSG00000004961	1650.032	3097.862	2175.072	2448.915
ENSG00000004975	6164.216	3455.521	1999.09	2153.828
ENSG00000005001	0	0	0	0
ENSG00000005007	5006.64	7771.375	5345.831	5375.259
ENSG00000005020	3165.364	4862.739	3343.516	1335.999
ENSG00000005022	8917.364	10675.608	7292.903	7785.53
ENSG00000005059	2011.118	2375.769	1192	2093.658
ENSG00000005073	1157.256	1136.067	1624.332	33
ENSG00000005075	2565.248	5006.717	2922.237	2937.507
ENSG00000005100	1281	2772	1646.527	1844.575
ENSG00000005102	2	0	1	0
ENSG00000005108	27	28	2	1
ENSG00000005156	1279.006	2620.035	1676.999	1871.679
ENSG00000005175	1794.217	2968.411	2404.324	2274.674
ENSG00000005187	41	19	4	1
ENSG00000005189	129.999	920.999	300	520.999
ENSG00000005194	1979.787	2393.015	2299.362	2167.629
ENSG00000005206	2152.157	3361.075	3044.268	2320.202
ENSG00000005238	2132.625	6995.46	6840.084	5250.808
ENSG00000005243	3715.376	8204.623	13243.104	8280.786
ENSG00000005249	801.594	2685.401	672.001	301
