JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3
ENSG00000000003	8050.54	8277.207	8411.851	6435.558	7368.17	8727.713	8348.516	9368.122	7808.412	8982.485	8829.985	7263.868	9408.372	5394.243	7174.084	6387.118	6133.868	7257.73	7259.058	6721.899	7344.702
ENSG00000000005	89.013	101	55.734	68.015	59	206	75	51	60	414	74	42	535	123	377	310.1	132	257	149	166	325
ENSG00000000419	4558.869	5446.269	4449.449	3682.302	4983.152	4982.107	5230.254	6815.785	5014.384	4868.664	4372.29	4774.348	4969.188	5147.151	5829.821	5065.027	4814.385	6506.073	4577.887	4686.751	5391.795
ENSG00000000457	504	602.999	481.268	498	705.001	1705	1075	1534.032	1043.05	855.078	854.687	898.016	723	560	621	540	705.318	715	683.999	615	758.009
ENSG00000000460	2360.499	2113.004	2359.73	1812.582	2557.165	2562.844	3642.156	3859.166	3063.734	2942.998	2538.35	2613.244	2667.892	2239.996	1925.347	2370.744	2387.85	2269.697	2061.972	1632.295	2194.552
ENSG00000000938	31	56	29	34	24	83	21	65	39	26	40	24	32	19	19	24	20	33	20	18	17
ENSG00000000971	3	0	1	1	0	2	2.994	2.998	0	0	0	0	1	0	0	0	2	0	3	0	1
ENSG00000001036	6747.372	7050.008	6279.048	4360.111	5081.692	5804.762	4956.972	7854.28	6289.397	4397.931	8132.45	6474.084	4323.25	3600.886	3512.612	5650.823	6998.873	5912.418	3768.295	3495.988	4190.074
ENSG00000001084	4992.816	5368.248	5357.922	4185.425	4669.711	4639.969	5035.065	6838.073	5365.964	4603.061	4596.612	5662.27	5802.534	4947.745	5738.884	5480.12	6627.285	6226.485	4467.244	4799.649	5872.159
ENSG00000001167	5460.07	4435.826	3713.878	4196.612	4673.092	3970.939	4626.633	5406.56	4199.274	4330.976	5696.425	3513.486	4836.848	4720.41	3929.28	3611.225	4154.1	2900.995	4763.752	2956.431	3927.617
ENSG00000001460	1706.499	1314.862	789.001	1390.899	1312.002	1294.001	1349.011	2094.005	1566.049	1248.994	1556.103	1158.052	1289.578	1154	697	917.022	854.001	983.075	1144.573	832.06	1074
ENSG00000001461	1414.382	1254.051	1063.001	1120.075	1208.999	1450.883	1166.312	1764.409	1228.103	1262.033	1110.038	1146	1154	1457.254	840.006	1004.037	1080.004	957.005	1146.041	802.042	1105
ENSG00000001497	9887.272	9768.273	8106.029	7781.09	9526.649	7897.443	9822.243	14276.7	9951.768	8729.838	9438.766	9336.874	8098.587	7222.669	7150.108	8257.571	6929.615	8868.401	7162.93	6688.066	8624.395
