,sampleCode,folder,cellType,genotype,variant,sex,species,RIN,Grouping
JL5-1,JL5-1,JL5-1,iPSC,Variant,Deletion,Male,Human,9.8,JL5
JL5-2,JL5-2,JL5-2,iPSC,Variant,Deletion,Male,Human,10,JL5
JL5-3,JL5-3,JL5-3,iPSC,Variant,Deletion,Male,Human,10,JL5
JL12-1,JL12-1,JL12-1,iPSC,Variant,Deletion,Male,Human,9.8,JL12
JL12-2,JL12-2,JL12-2,iPSC,Variant,Deletion,Male,Human,10,JL12
JL12-3,JL12-3,JL12-3,iPSC,Variant,Deletion,Male,Human,10,JL12
MADV1,MADV1,MADV1,iPSC,Variant,Missense,Male,Human,9.8,MADV
MADV2,MADV2,MADV2,iPSC,Variant,Missense,Male,Human,10,MADV
MADV3,MADV3,MADV3,iPSC,Variant,Missense,Male,Human,9.9,MADV
MADC1,MADC1,MADC1,iPSC,WT,Corrected,Male,Human,9.7,MADC
MADC2,MADC2,MADC2,iPSC,WT,Corrected,Male,Human,9.9,MADC
MADC3,MADC3,MADC3,iPSC,WT,Corrected,Male,Human,10,MADC
808-1,808-1,808-1,iPSC,WT,WT,Male,Human,9.9,808
808-2,808-2,808-2,iPSC,WT,WT,Male,Human,10,808
808-3,808-3,808-3,iPSC,WT,WT,Male,Human,10,808
MD1-1,MD1-1,MD1-1,iPSC,WT,WT,Male,Human,10,MD1
MD1-2,MD1-2,MD1-2,iPSC,WT,WT,Male,Human,10,MD1
MD1-3,MD1-3,MD1-3,iPSC,WT,WT,Male,Human,10,MD1
MD5-1,MD5-1,MD5-1,iPSC,WT,WT,Male,Human,10,MD5
MD5-2,MD5-2,MD5-2,iPSC,WT,WT,Male,Human,10,MD5
MD5-3,MD5-3,MD5-3,iPSC,WT,WT,Male,Human,10,MD5
