"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.609218304699147,-2.79069585899261,1e-10,1.66666666666667e-09,9.12280701754386e-10,3632,"tags=60%, list=24%, signal=47%","PSMA2/PSMD14/PABPC1/RUVBL2/MCM5/RPLP0/PSMC6/CCT4/EIF3J/AIMP2/BUB3/DEK/G3BP1/RPL34/PWP1/RPL6/RPL18/ERH/USP1/NAP1L1/NCBP1/CDC20/GNL3/PPIA/LSM7/RPS5/PSMC4/HPRT1/DDX21/PHB1/RPS6/HSP90AB1/PHB2/HNRNPC/RFC4/PSMD3/EEF1B2/RNPS1/EIF4A1/RRP9/UBE2L3/PCBP1/EIF3B/SRM/CCT3/PRPF31/UBE2E1/DUT/KARS1/PPM1G/VDAC3/FBL/RPL22/HDAC2/CBX3/NPM1/HNRNPR/SSBP1/APEX1/HSPD1/MCM6/IMPDH2/TUFM/RPS2/CDC45/TRIM28/HNRNPU/RANBP1/CCT7/C1QBP/CDK4/SNRPD2/HNRNPA1/RPL14/CTPS1/TYMS/PSMB2/H2AZ1/KPNA2/RAN/RPS3/RRM1/EIF1AX/CCT5/SRSF7/PSMB3/HNRNPA2B1/PA2G4/TCP1/MCM4/LSM2/NHP2/CDK2/SRSF1/NME1/NOP56/PRPS2/NOP16/NOLC1/CCT2/POLD2/POLE3/SSB/CLNS1A/TRA2B/MCM7/TFDP1/HNRNPD/HSPE1/HNRNPA3/SNRPA/SRSF3/SNRPG/SNRPB2/PABPC4/SNRPD1/SNRPD3/ODC1/TARDBP/PCNA/SRSF2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.58224335353156,-2.66712950529106,1e-10,1.66666666666667e-09,9.12280701754386e-10,3929,"tags=64%, list=26%, signal=48%","MCM2/BRCA1/XRCC6/SYNCRIP/POLD1/PAICS/MLH1/MELK/CTCF/PRPS1/LUC7L3/MCM5/CHEK2/TMPO/TCF19/DNMT1/DEK/AURKA/SNRPB/HMMR/USP1/NAP1L1/CDC20/BRMS1L/CDC25A/PPP1R8/PLK4/DCTPP1/STAG1/EXOSC8/TIPIN/BARD1/UNG/PPM1D/POLD3/CHEK1/EZH2/SMC4/SPC24/CDC25B/PSMC3IP/DUT/RRM2/CCNE1/ILF3/LMNB1/TK1/LIG1/DCLRE1B/SMC6/CDCA8/RFC3/RNASEH2A/DSCC1/SUV39H1/MCM6/MCM3/HELLS/SSRP1/CENPM/BIRC5/PHF5A/RAD51C/GINS1/RANBP1/E2F8/CDK1/CDK4/KIF18B/MSH2/CTPS1/MMS22L/H2AZ1/KPNA2/SPAG5/RAN/RAD1/CCNB2/DONSON/UBE2S/TUBG1/NAA38/RFC2/WEE1/TBRG4/HMGA1/GINS3/PA2G4/NASP/CDKN3/NUP107/MCM4/ZW10/TP53/SRSF1/NME1/NOP56/DLGAP5/WDR90/SLBP/RAD51AP1/NOLC1/CSE1L/POLD2/H2AX/POLA2/CDCA3/AURKB/POP7/TRA2B/MCM7/KIF22/PNN/HMGB2/HNRNPD/UBE2T/TRIP13/STMN1/RBBP7/TACC3/ORC6/JPT1/GINS4/ASF1B/PCNA/SRSF2/HMGB3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",190,0.553924133196225,2.3727684104543,1e-10,1.66666666666667e-09,9.12280701754386e-10,2711,"tags=40%, list=18%, signal=33%","EGR3/NFAT5/IFNGR2/BHLHE40/NFKBIE/HES1/CXCL10/CD80/SLC2A3/PTGS2/TIPARP/NAMPT/SAT1/NR4A3/SGK1/EDN1/IL15RA/TNC/CD83/PHLDA2/TNFAIP3/BCL6/GADD45B/PHLDA1/RIPK2/JUN/BIRC3/ZFP36/ICAM1/SQSTM1/TRIP10/JUNB/BTG1/KDM6B/LAMB3/ZC3H12A/KLF10/DUSP2/TNIP1/KLF6/EGR2/G0S2/DUSP4/DENND5A/STAT5A/IFIH1/PPP1R15A/BCL2A1/TUBB2A/PDLIM5/BCL3/IL18/IL12B/RELA/LITAF/TSC22D1/BTG2/MYC/PER1/ATP2B1/BIRC2/CD69/CCL2/SOCS3/PFKFB3/CCL4/SDC4/CSF1/TNFSF9/PLAUR/CCND1/SERPINB8/TNFAIP6/PNRC1/PLAU/B4GALT5"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.457036189256467,-2.08983200143043,1.17094918559416e-09,1.46368648199269e-08,8.01175758564422e-09,2582,"tags=39%, list=17%, signal=33%","PLK4/TPX2/STAG1/E2F1/DTYMK/AMD1/BARD1/ATF5/EXO1/CHEK1/STIL/RBL1/EZH2/SMC4/CDC25B/NSD2/ILF3/LMNB1/PBK/KIF23/KIF15/SUV39H1/MCM6/E2F2/MCM3/BIRC5/CDC45/TRAIP/HNRNPU/CDK1/CDK4/HSPA8/CDC6/CHAF1A/H2AZ1/KPNA2/CCNB2/UBE2S/FBXO5/EWSR1/HMGA1/NASP/CDKN3/GINS2/NUSAP1/TROAP/RBM14/NCL/DKC1/RAD54L/SRSF1/TENT4A/TTK/NOLC1/H2AX/POLA2/AURKB/SFPQ/TRA2B/KIF22/TFDP1/HNRNPD/STMN1/TACC3/ORC6/NDC80/JPT1/ODF2/UBE2C/E2F4/HMGN2/SNRPD1/H2AZ2/ODC1/E2F3/SRSF2/HMGB3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",189,0.464590533398875,1.99112061006151,1.50600060643155e-08,1.50600060643155e-07,8.24337174046743e-08,3229,"tags=37%, list=21%, signal=29%","BANK1/IRF5/SLAMF7/CXCL10/HERC6/EPSTI1/PTGS2/CXCL9/USP18/NAMPT/FGL2/NCOA3/XCL1/CMKLR1/IL15RA/JAK2/TNFAIP3/HELZ2/RIPK2/TNFSF10/SP110/PIM1/CIITA/ICAM1/DDX60/TRAFD1/UPP1/IL2RB/BTG1/KLRK1/IFNAR2/IFI30/GBP6/IFIH1/OAS3/ST8SIA4/RBCK1/BATF2/STAT3/RNF213/CMTR1/STAT2/GBP4/IL7/ADAR/PTPN1/CD274/CD69/STAT1/CCL2/OAS2/PSMB10/SOCS3/B2M/MVP/PTPN6/RAPGEF6/CSF2RB/TNFAIP6/ZNFX1/UBE2L6/PLA2G4A/CD40/RIPK1/NLRC5/PSMB9/PTPN2/MTHFD2/TXNIP"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.609211829792696,-2.32846863244337,6.206003432458e-08,5.11403386052308e-07,2.79926063944421e-07,3641,"tags=67%, list=24%, signal=51%","SUPV3L1/NOC4L/MCM5/AIMP2/NOP2/IPO4/PPRC1/GNL3/PLK4/SLC19A1/PHB1/DCTPP1/RRP9/UNG/MPHOSPH10/GRWD1/SRM/MYBBP1A/TFB2M/CBX3/NPM1/HSPD1/BYSL/NDUFAF4/TCOF1/CDK4/EXOSC5/WDR43/NIP7/TBRG4/PA2G4/MCM4/NOP56/NOP16/NOLC1/HSPE1/WDR74/LAS1L/MRTO4"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",163,0.478547987957783,2.00784130307937,7.15964740473231e-08,5.11403386052308e-07,2.79926063944421e-07,2583,"tags=33%, list=17%, signal=28%","SCARF1/IFNGR2/SLC4A4/AHR/CXCL10/CD82/LPAR1/CXCL9/NAMPT/EREG/TNFRSF1B/IRAK2/EDN1/CMKLR1/IL15RA/IL18RAP/GNA15/CCL22/CX3CL1/RIPK2/TNFSF10/CD55/SLC11A2/NOD2/ICAM1/CYBB/IL2RB/KLF6/SEMA4D/RGS16/LYN/IL18/RHOG/CCL17/SELENOS/IL12B/RELA/IL1R1/RASGRP1/RGS1/MSR1/IL18R1/BTG2/MYC/SLC31A1/ATP2B1/CD69/CCL2/RAF1/CXCL8/CSF1/TNFSF9/PLAUR/TNFAIP6"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",186,0.43055836051439,1.84268236965964,7.7297211974293e-07,4.83107574839331e-06,2.64437830438371e-06,2761,"tags=35%, list=18%, signal=29%","PLAGL1/BHLHE40/COCH/AHR/CXCL10/SYT11/IGF2R/TWSG1/SLC2A3/P4HA1/IKZF2/FGL2/NCOA3/TNFRSF1B/SLC39A8/CD83/BMPR2/ALCAM/TGM2/GADD45B/PHLDA1/HUWE1/IL2RA/TNFSF10/GPX4/PIM1/HK2/CCND2/BCL2/IL2RB/GABARAPL1/XBP1/TNFRSF18/BCL2L1/IL13/MYO1E/KLF6/RGS16/GALM/DENND5A/SERPINB6/NFKBIZ/PHTF2/ITGAV/SNX14/GBP4/SYNGR2/MAPKAPK2/ADAM19/IL18R1/MYC/TNFSF11/TLR7/IFNGR1/SHE/CKAP4/CSF1/TNFRSF8/CTSZ/CST7/POU2F1/MYO1C/TNFRSF4/EOMES/ABCB1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",72,0.548444697320607,2.03968034806966,4.73763095332275e-06,2.36881547666138e-05,1.29661478722517e-05,5006,"tags=65%, list=33%, signal=44%","IFNGR2/CXCL10/CXCL9/TNFRSF1B/IL15RA/IL2RA/JUN/PIM1/CD9/GRB2/IL17RB/STAT3/IL1R1/PTPN11/STAT2/IL7/IL18R1/PTPN1/CBL/CCR1/IFNGR1/STAT1/SOCS3/CSF1/INHBE/CSF2RB/LEPR/PIK3R5/TGFB1/PTPN2/EBI3/IL13RA1/IFNAR1/TNFRSF1A/ITGA4/CXCL13/LTBR/FAS/IL10RB/IL1B/SOCS1/IL3RA/CD44/CD38/IL4R/LTB/TYK2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",179,0.430976644677197,1.840631793981,4.33726777416872e-06,2.36881547666138e-05,1.29661478722517e-05,3323,"tags=37%, list=22%, signal=29%","ATP7A/BHLHE40/ZNF292/SLC2A3/P4HA1/TIPARP/ETS1/SRPX/COL5A1/MXI1/S100A4/TNFAIP3/NDST1/TGM2/SCARB1/JUN/ZFP36/PIM1/HK2/RBPJ/CDKN1B/BCL2/BTG1/DDIT4/GYS1/KLF6/CCNG2/DDIT3/PRDX5/PPP1R15A/KDM3A/PAM/NDST2/HDLBP/FOXO3/KLHL24/EXT1/EFNA3/PGM1/NR3C1/IDS/HS3ST1/PFKFB3/SDC4/XPNPEP1/PDK1/PLAUR/SAP30/ALDOB/TPST2/SLC2A5/JMJD6/PNRC1/DPYSL4/GAA/SLC2A1/WSB1/PGK1/ERO1A/GLRX/CHST2/PDGFB/MAFF/KLF7/ATF3/PDK3"
