"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",198,-0.619078150412765,-2.83288171601707,1e-10,7.02777777777778e-09,5.15204678362573e-09,3596,"tags=71%, list=24%, signal=55%","RRP1/RPLP1/RPL8/RPS11/RPS29/RPL17/RPS10/KRR1/RPL21/RPS27A/TRMT10C/RPS15A/RIOK1/RPS15/UBA52/NOC4L/RPL27/FAU/RPLP2/RPLP0/RPS13/RPL24/RPS18/RPS25/EMG1/RPP14/NOP2/PNO1/RPS3A/RPS21/RPL29/RPL4/RPL37A/RPL34/RPL6/RPL30/RIOK2/RPL18/RPS14/RPL3/RPL11/SENP3/GNL3/DCAF13/RPL41/RPS5/DDX21/EXOSC4/RPL32/RPP30/WDR46/MRM1/RPS6/RPS19/RPL37/RPL18A/EXOSC8/RPL5/UTP15/UTP6/RPS8/RPL36/RPS7/RRP9/RPL31/MPHOSPH10/RPL12/RPL15/RPL26/RPL27A/GAR1/RPS20/IMP3/BOP1/THUMPD1/NOL9/RPL39/FBL/RPL22/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/EXOSC6/RPS27L/RPL23A/HSD17B10/BYSL/EXOSC3/MRM2/RPS2/RPL13A/EBNA1BP2/SNU13/RPP25/EXOSC5/RPL19/RPS17/RPS4X/RPL14/WDR43/RPS23/BUD23/EXOSC10/RPL36A/RPS3/NIP7/RPL36AL/RPSA/NOL11/ELAC2/RPS28/RRP36/NOP14/RPL22L1/RPS16/NCL/NHP2/DKC1/UTP3/NOP56/RPL26L1/ISG20L2/WDR75/NOL12/NOP58/RPS12/LAS1L/TBL3/UTP11/FTSJ3/RPP40/EXOSC9/LTV1/EXOSC2/MPHOSPH6/UTP14A/RPL9/RPS24"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",117,-0.644239632773093,-2.75260147381347,1e-10,7.02777777777778e-09,5.15204678362573e-09,4298,"tags=79%, list=28%, signal=57%","RPLP1/RPL8/RPS11/EIF4EBP1/RPS29/RPL17/RPS10/RPL21/RPS27A/EIF4A2/RPS15A/RPS15/UBA52/RPL27/PABPC1/FAU/RPLP2/RPLP0/RPS13/RPL24/EIF4G1/RPS18/RPS25/EIF3J/EIF3F/EIF2B1/EIF2B4/RPS3A/RPS21/EIF3M/RPL29/RPL4/RPL37A/RPL34/RPL6/RPL30/RPL18/RPS14/RPL3/RPL11/RPL41/RPS5/RPL32/RPS6/RPS19/RPL37/RPL18A/RPL5/EIF3I/RPS8/EIF4A1/RPL36/RPS7/RPL31/EIF3B/RPL12/EIF3K/RPL15/RPL26/RPL27A/RPS20/RPL39/RPL22/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/RPS27L/RPL23A/RPS2/RPL13A/RPL19/RPS17/RPS4X/RPL14/RPS23/EIF2S3/RPL36A/RPS3/EIF1AX/RPL36AL/RPSA/RPS28/RPL22L1/RPS16/EIF2B5/RPL26L1/RPS12/RPL9/RPS24"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",91,-0.671348298579618,-2.74076992866073,1e-10,7.02777777777778e-09,5.15204678362573e-09,4298,"tags=88%, list=28%, signal=63%","RPLP1/RPL8/RPS11/RPS29/RPL17/RPS10/RPL21/EEF1G/RPS27A/EEF1A2/RPS15A/RPS15/UBA52/RPL27/FAU/RPLP2/RPLP0/RPS13/RPL24/RPS18/RPS25/RPS3A/RPS21/RPL29/RPL4/RPL37A/RPL34/RPL6/RPL30/RPL18/RPS14/RPL3/RPL11/RPL41/RPS5/RPL32/RPS6/RPS19/RPL37/RPL18A/RPL5/RPS8/EEF1B2/RPL36/RPS7/RPL31/RPL12/RPL15/RPL26/RPL27A/RPS20/RPL39/RPL22/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/RPS27L/RPL23A/RPS2/RPL13A/RPL19/RPS17/RPS4X/RPL14/RPS23/RPL36A/RPS3/RPL36AL/RPSA/EEF1D/RPS28/RPL22L1/RPS16/RPL26L1/RPS12/RPL9/RPS24"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",150,-0.624609321174317,-2.73661007339986,1e-10,7.02777777777778e-09,5.15204678362573e-09,4325,"tags=77%, list=28%, signal=55%","PSMD1/RPLP1/RPL8/ELOC/PSMB4/RPS11/RPS29/RPL17/RPS10/RPL21/PSMA5/RPS27A/RPS15A/PSMA4/PSMD13/RPS15/UBA52/PSMC2/PSMA2/PSMD14/RPL27/PABPC1/FAU/RPLP2/RPLP0/RPS13/RPL24/PSMC6/EIF4G1/RPS18/ELOB/RPS25/RPS3A/RPS21/RPL29/RPL4/RPL37A/RPL34/LDB1/RPL6/ROBO3/RPL30/RPL18/RPS14/ROBO1/RPL3/RPL11/NCBP1/UBB/RPL41/SLIT2/RPS5/PSMC4/PSMB5/RPL32/RPS6/RPS19/RPL37/RPL18A/RPL5/PSMD11/PSMD3/RPS8/RNPS1/RPL36/RPS7/RPL31/RPL12/RPL15/RPL26/RPL27A/RPS20/RPL39/RPL22/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/PSMD12/SEM1/RPS27L/PSMD6/RPL23A/RPS2/RPL13A/LHX4/PSMB1/MAGOH/RPL19/RPS17/RPS4X/ADRM1/RPL14/RPS23/PSMB2/RPL36A/RPS3/RPL36AL/RPSA/PSMC3/PSMB3/RPS28/RPL22L1/RPS16/PSMA3/UPF3A/PSMC5/RBM8A/RPL26L1/RPS12/UPF3B/RPL9/RPS24"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",114,-0.610043834224681,-2.61100632612554,1e-10,7.02777777777778e-09,5.15204678362573e-09,4298,"tags=75%, list=28%, signal=54%","RPLP1/RPL8/RPS11/RPS29/RPL17/RPS10/RPL21/RPS27A/RPS15A/RPS15/UBA52/GSR/RPL27/FAU/RPLP2/RPLP0/RPS13/RPL24/RPS18/RPS25/AIMP2/RPS3A/RPS21/RPL29/RPL4/RPL37A/RPL34/RPL6/RPL30/RPL18/RPS14/RPL3/NNMT/RPL11/RPL41/RPS5/RPL32/RPS6/RARS1/RPS19/RPL37/EEF1E1/RPL18A/RPL5/RPS8/RPL36/RPS7/QARS1/RPL31/RPL12/RPL15/RPL26/RPL27A/RPS20/KARS1/RPL39/RPL22/LARS1/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/RPS27L/RPL23A/RPS2/RPL13A/RPL19/RPS17/RPS4X/RPL14/RPS23/RPL36A/RPS3/RPL36AL/RPSA/RPS28/RPL22L1/RPS16/AHCY/RPL26L1/RPS12/RPL9/RPS24"
"REACTOME_MRNA_SPLICING","REACTOME_MRNA_SPLICING",211,-0.563777875461462,-2.60339526194947,1e-10,7.02777777777778e-09,5.15204678362573e-09,2504,"tags=43%, list=16%, signal=36%","SF3B6/HTATSF1/HNRNPC/ALYREF/RNPS1/BUD31/PCBP1/CHERP/BCAS2/RBMX/DHX9/SNRNP25/LSM6/PRPF31/RBM17/U2AF2/HNRNPH1/YBX1/SNRNP70/HNRNPR/HNRNPH2/CDC5L/POLR2I/STEEP1/SF3A2/SRRT/RBM42/SF3B4/PHF5A/PRPF19/PLRG1/SNU13/HNRNPU/POLR2L/PPIL3/WBP4/MAGOH/SNRPD2/HSPA8/HNRNPF/HNRNPA1/FAM32A/GCFC2/DNAJC8/YJU2/SRSF6/SRSF7/HNRNPM/POLR2K/HNRNPA2B1/USP39/SNRPC/LSM2/PPWD1/POLR2F/LSM3/SRSF1/SART1/RBM8A/SRSF8/SAP18/LSM4/LSM5/SNRPF/SF3A3/SNRPE/TRA2B/FUS/PNN/CACTIN/HNRNPD/HNRNPA3/SNRPA/UPF3B/SRSF3/SNRPG/SNRPB2/PUF60/PPIL2/PRPF38A/POLR2H/CWC25/SNRPD1/SNRPD3/PRPF3/DDX39B/SRSF2/CCAR1/C9orf78/SNRNP48"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",113,-0.606164697561322,-2.58085103139886,1e-10,7.02777777777778e-09,5.15204678362573e-09,4298,"tags=76%, list=28%, signal=55%","RPLP1/RPL8/RPS11/PNRC2/RPS29/RPL17/RPS10/RPL21/RPS27A/RPS15A/RPS15/UBA52/PPP2CA/RPL27/PABPC1/FAU/RPLP2/RPLP0/RPS13/RPL24/EIF4G1/RPS18/RPS25/RPS3A/RPS21/RPL29/RPL4/RPL37A/RPL34/RPL6/RPL30/RPL18/RPS14/RPL3/RPL11/NCBP1/RPL41/RPS5/RPL32/RPS6/RPS19/RPL37/RPL18A/RPL5/RPS8/RNPS1/RPL36/RPS7/RPL31/RPL12/RPL15/RPL26/RPL27A/RPS20/RPL39/RPL22/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/RPS27L/RPL23A/RPS2/RPL13A/MAGOH/RPL19/RPS17/RPS4X/RPL14/RPS23/RPL36A/RPS3/RPL36AL/RPSA/RPS28/RPL22L1/RPS16/UPF3A/RBM8A/RPL26L1/RPS12/UPF3B/RPL9/RPS24"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",279,-0.539029394002512,-2.57367847128126,1e-10,7.02777777777778e-09,5.15204678362573e-09,3048,"tags=43%, list=20%, signal=35%","POLR2E/NUP54/SF3B5/DDX5/NCBP1/THOC3/ISY1/PPP1R8/DDX46/LSM7/THOC5/SF3B6/HTATSF1/HNRNPC/ALYREF/RNPS1/BUD31/PCBP1/CHERP/BCAS2/RBMX/DHX9/SNRNP25/LSM6/PRPF31/RBM17/U2AF2/CSTF2T/HNRNPH1/YBX1/SNRNP70/HNRNPR/SEH1L/HNRNPH2/CDC5L/GLE1/POLR2I/STEEP1/NXT1/NUP62/WTAP/SF3A2/SRRT/RBM42/SF3B4/PHF5A/PRPF19/PLRG1/SNU13/HNRNPU/POLR2L/PPIL3/WBP4/MAGOH/SNRPD2/HSPA8/HNRNPF/HNRNPA1/FAM32A/NUP42/NUP85/GCFC2/DNAJC8/YJU2/RAE1/SRSF6/SRSF7/HNRNPM/POLR2K/HNRNPA2B1/USP39/SNRPC/NUP107/CPSF3/NUP43/LSM2/PPWD1/POLR2F/LSM3/NUP35/SRSF1/SART1/RBM8A/SLBP/SRSF8/CHTOP/SAP18/LSM4/LSM5/CPSF4/SNRPF/SF3A3/SNRPE/TRA2B/METTL14/FUS/PNN/CACTIN/HNRNPD/HNRNPA3/SNRPA/UPF3B/SRSF3/SNRPG/SNRPB2/PUF60/PPIL2/PRPF38A/POLR2H/CWC25/SNRPD1/SNRPD3/PAPOLA/PRPF3/PABPN1/DDX39B/SRSF2/CCAR1/C9orf78/SNRNP48/NXF1"
"REACTOME_SYNTHESIS_OF_DNA","REACTOME_SYNTHESIS_OF_DNA",108,-0.602947052560944,-2.55397263035259,1e-10,7.02777777777778e-09,5.15204678362573e-09,3962,"tags=66%, list=26%, signal=49%","PRIM1/PSMA5/MCM2/RPS27A/PSMA4/PSMD13/POLD1/UBA52/ORC5/PSMC2/PSMA2/PSMD14/MCM5/PSMC6/MCM8/UBB/ANAPC11/ANAPC15/DNA2/ORC3/PSMC4/PSMB5/ORC1/RFC4/PSMD11/PSMD3/CDT1/POLD3/UBE2E1/CCNE1/LIG1/RFC3/PSMD12/SEM1/PSMD6/MCM6/MCM3/CDC45/GINS1/UBE2D1/PSMB1/CDC6/SKP2/ADRM1/PSMB2/UBE2S/ANAPC7/RFC2/PSMC3/PSMB3/ANAPC2/GINS3/PSMA3/GINS2/MCM4/RFC5/PSMC5/CDK2/ANAPC4/POLD2/POLE3/POLA2/MCM7/GMNN/ORC6/FEN1/GINS4/POLE2/UBE2C/CCNE2/PCNA"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",110,-0.581660586485476,-2.46523554263913,1e-10,7.02777777777778e-09,5.15204678362573e-09,4298,"tags=72%, list=28%, signal=52%","RPLP1/RPL8/RPS11/RPS29/RPL17/RPS10/RPL21/RPS27A/RPS15A/RPS15/UBA52/RPL27/FAU/RPLP2/RPLP0/RPS13/RPL24/RPS18/RPS25/RPS3A/RPS21/RPL29/RPL4/RPL37A/RPL34/RPL6/RPL30/RPL18/RPS14/RPL3/SEC11A/RPL11/RPL41/SRP19/RPS5/RPL32/RPS6/RPS19/RPL37/RPL18A/RPL5/RPS8/RPL36/RPS7/RPL31/RPL12/RPL15/RPL26/RPL27A/RPS20/RPL39/RPL22/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/RPS27L/RPL23A/RPS2/RPL13A/RPL19/RPS17/RPS4X/RPL14/RPS23/RPL36A/RPS3/RPL36AL/RPSA/RPS28/RPL22L1/RPS16/SRP9/RPL26L1/RPS12/RPL9/RPS24"
