"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",87,-0.638733352147677,-2.60600455186675,1e-10,6.86e-08,5.27368421052632e-08,4298,"tags=84%, list=28%, signal=61%","RPLP1/RPL8/RPS11/RPS29/RPL17/RPS10/RPL21/RPS27A/RPS15A/RPS15/UBA52/RPL27/FAU/RPLP2/RPS6KB2/RPLP0/RPS13/RPL24/RPS18/RPS25/RPS3A/RPS21/RPL29/RPL4/RPL37A/RPL34/RPL6/RPL30/RPL18/RPS14/RPL3/RPL11/RPL41/RPS5/RPL32/RPS6/RPS19/RPL37/RPL18A/RPL5/RPS8/RPL36/RPS7/RPL31/RPL12/RPL15/RPL26/RPL27A/RPS20/RPL39/RPL22/RPL35/RPL28/RPL10A/RPL7/RPL23/RPL38/RPL23A/RPS2/RPL13A/RPL19/RPS17/RPS4X/RPL14/RPS23/RPL36A/RPS3/RPSA/RPS28/RPS16/RPS12/RPL9/RPS24"
"WP_MRNA_PROCESSING","WP_MRNA_PROCESSING",124,-0.52979616142268,-2.24901354199156,7.14431091562532e-10,2.45049864405948e-07,1.8838419835412e-07,2488,"tags=42%, list=16%, signal=35%","HNRNPC/PTBP2/RNPS1/RBMX/DHX9/RBM17/U2AF2/CSTF2T/CLK2/PPM1G/HNRNPH1/YBX1/SNRNP70/HNRNPR/HNRNPH2/SF3A2/SF3B4/PHF5A/SNU13/HNRNPU/SNRPD2/HNRNPA1/DNAJC8/SRSF6/SRSF7/HNRNPM/HNRNPA2B1/DDX1/CPSF3/LSM2/SRSF1/CPSF4/SNRPF/SF3A3/SNRPE/SFPQ/TRA2B/FUS/HNRNPD/SNRPA/SRSF3/DDX20/HNRNPAB/SNRPG/SNRPB2/SNRPD1/SNRPD3/PAPOLA/PRPF3/PABPN1/SRSF2/NXF1"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",86,-0.565205502585826,-2.29337105377096,7.59258851795986e-09,1.30212893083012e-06,1.00102285460471e-06,2595,"tags=51%, list=17%, signal=43%","ORC1/PLK4/E2F1/RFC4/CDT1/BARD1/POLD3/CHEK1/CDC25B/RRM2/CCNE1/RFC3/SUV39H1/MCM6/ZNF655/E2F2/MCM3/CDC45/CDK1/CDK4/SKP2/TYMS/H2AZ1/CCNB2/RRM1/WEE1/MCM4/RFC5/TP53/CDK2/TTK/RBBP4/MCM7/TFDP1/HMGB2/STMN1/RBBP7/POLE2/HMGB1/DHFR/CCNE2/PCNA/E2F3/FANCG"
"WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION","WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION",154,0.503979446163224,2.1029927469228,7.33561504299342e-09,1.30212893083012e-06,1.00102285460471e-06,3568,"tags=43%, list=23%, signal=33%","CXCL14/CCR8/IFNGR2/TNFRSF11A/IL12RB2/BMPR1A/CXCL10/XCL2/CXCL9/ACKR4/TNFRSF1B/XCL1/IL15RA/IL18RAP/IL23R/CCL22/TNFRSF13C/CX3CL1/BMPR2/GDF15/IL2RA/TNFSF10/PRL/IL2RB/TNFRSF18/IFNA2/IL13/CXCR5/IFNAR2/IL4/IL17RB/CCR2/IL18/TSLP/IL1R1/IL7/IL18R1/TNFSF11/CCR1/IFNGR1/CCL2/CCL4/IL21R/CXCL8/CSF1/TNFRSF8/TNFSF9/INHBE/CSF2RB/TNFRSF4/TGFBR1/CD40/CD27/LEPR/CCR3/TNFRSF25/TGFB1/TNFRSF17/CCL3/IFNG/IL13RA1/CCL20/IFNLR1/TNFRSF9/IL23A/RELT"
"WP_CHEMOKINE_SIGNALING","WP_CHEMOKINE_SIGNALING",142,0.468913990183565,1.93441811812602,2.01608961438626e-06,0.000276607495093795,0.000212644399327899,3898,"tags=49%, list=26%, signal=37%","CXCL14/CCR8/PIK3CD/CXCL10/GSK3B/CXCL9/STAT5B/PIK3CA/DOCK2/GRK5/XCL1/BRAF/JAK2/CCL22/CX3CL1/VAV2/ADCY3/GNG12/RAC2/PREX1/PIK3CG/ROCK1/PTK2B/GRB2/CXCR5/LYN/GNG2/GNG11/PXN/CCR2/MAPK3/FOXO3/ROCK2/CCL17/RELA/STAT3/STAT2/PTK2/CCR1/WASL/STAT1/CCL4/SOS2/RAF1/PIK3R1/CRKL/JAK3/PIK3CB/MAP2K1/IKBKB/CSK/CCR3/NFKBIB/PRKACB/PIK3R5/GNB1/PAK1/PRKCD/CCL3/SOS1/CCL20/ADCY6/FGR/ELMO1/GNG5/CCL19/RASGRP2/RAP1B/GNG8/NCF1"
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",100,-0.477885297853532,-1.98228317627341,4.0077912721605e-06,0.000392763544671729,0.0003019403650154,1717,"tags=30%, list=11%, signal=27%","NDUFB1/ATP5MC1/NDUFA11/NDUFB8/NDUFA8/SCO1/NDUFS3/SLC25A5/ATP5MF/ATP5PF/NDUFS6/UQCRB/DMAC2L/NDUFV3/MT-ND2/COX11/NDUFC2/MT-ND1/UQCRQ/MT-ND3/MT-CO1/MT-ND5/MT-ND4/MT-CYB/MT-ND4L/MT-ND6/MT-CO2/MT-CO3/MT-ATP6/MT-ATP8"
"WP_CANCER_PATHWAYS","WP_CANCER_PATHWAYS",419,0.354811617436021,1.65440040027468,3.53686727408144e-06,0.000392763544671729,0.0003019403650154,2740,"tags=29%, list=18%, signal=25%","IGF1/PIK3CD/ARNT/RASGRP4/IFNGR2/APPL1/COL4A2/BID/CDH1/HES1/IL12RB2/COL4A1/PIM2/LPAR1/PTGS2/PAX8/GSK3B/APC/NCOA3/ETS1/JAK1/STAT5B/PIK3CA/EDN1/SMAD2/IL15RA/BRAF/JAK2/LRP6/GADD45B/IL2RA/WNT2/JUN/BIRC3/ADCY3/KIT/GNG12/PIM1/RAC2/CDKN1B/EGLN1/CCND2/BCL2/WNT7B/IL2RB/WNT10A/ROCK1/LAMB3/NCOA1/EP300/IFNA2/SMO/BCL2L1/PMAIP1/GRB2/GNA13/IL13/EDNRA/ELK1/RASSF5/RALBP1/IFNAR2/IL4/HGF/JUP/PLCG2/STAT5A/GNG2/GNG11/MAPK8/ITGAV/WNT5B/POLK/LAMC1/VEGFB/MAPK3/XIAP/ROCK2/IL12B/RELA/STAT3/WNT11/STAT2/IL7/RASGRP1/RUNX1/EPAS1/TRAF3/MYC/LAMA3/CDK6/COL4A3/ARAF/BIRC2/CBL/PTK2/IFNGR1/DCC/STAT1/GNA12/GSTM2/CALML6/SMAD4/SOS2/RAF1/AXIN1/PIK3R1/CXCL8/CRKL/COL4A4/WNT5A/CCND1/JAK3/GADD45G/PIK3CB/CSF2RB/TRAF4/MAP2K1/DAPK3/SLC2A1/FGFR4/TGFBR1"
"WP_IL7_SIGNALING","WP_IL7_SIGNALING",25,0.732366888607624,2.22176938669434,5.3040572757237e-06,0.000454822911393308,0.000349649038833891,2663,"tags=72%, list=18%, signal=59%","GSK3B/JAK1/STAT5B/FYN/IL2RA/CDKN1B/BCL2L1/PTK2B/STAT5A/MAPK3/STAT3/IL7/MYC/STAT1/PIK3R1/CCND1/JAK3/MAP2K1"
"WP_TH17_CELL_DIFFERENTIATION_PATHWAY","WP_TH17_CELL_DIFFERENTIATION_PATHWAY",58,0.57193247124552,2.03881828525015,1.22574723724231e-05,0.000934291783053585,0.000718244872349004,3148,"tags=47%, list=21%, signal=37%","NFATC1/CD4/AHR/CD3E/JAK1/SMAD2/IL23R/JAK2/NR1D1/ZAP70/IL2RA/JUN/IL4/STAT5A/MAPK8/STAT3/RUNX1/PER1/IFNGR1/STAT1/SOCS3/IL21R/PPP3CA/TGFBR1/IKBKB/TGFB1/RARA"
"WP_DNA_REPLICATION","WP_DNA_REPLICATION",41,-0.594832532178428,-2.07041153264493,2.34384659589915e-05,0.00160787876478682,0.00123607067846892,4493,"tags=76%, list=30%, signal=53%","DBF4/PRIM2/POLE/PRIM1/MCM2/POLD1/UBA52/ORC5/MCM5/ORC3/MCM10/ORC1/RFC4/CDT1/POLD3/RFC3/MCM6/MCM3/CDC45/CDC6/RFC2/MCM4/RFC5/CDK2/POLD2/POLA2/MCM7/GMNN/ORC6/POLE2/PCNA"
