"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.541860605121177,-2.5060371891817,1e-10,2.5e-09,1e-09,4258,"tags=70%, list=28%, signal=50%","CKS2/CNOT9/SLBP/GINS3/TIMELESS/POLD1/CDKN3/XPO1/CCNE1/HMGB3/CKS1B/CENPE/CCP110/DEPDC1/DCTPP1/UBR7/EZH2/NUP107/KIF18B/USP1/MCM2/BRCA1/SMC1A/DLGAP5/BUB1B/PLK4/CCNB2/HMMR/POLE4/UBE2T/NOP56/PLK1/ORC2/CDCA3/SPC24/KIF4A/HMGA1/CDC20/LMNB1/KIF2C/LUC7L3/EXOSC8/CDCA8/PA2G4/HELLS/RAD21/RNASEH2A/GINS4/NCAPD2/ZW10/RFC3/BRCA2/BARD1/POLE/PTTG1/MAD2L1/RAD51AP1/DCLRE1B/GINS1/RFC2/ESPL1/MYBL2/H2AX/SUV39H1/AURKB/CDK1/ILF3/SPAG5/CDC25A/CBX5/TACC3/DCK/ASF1B/TRIP13/DNMT1/MCM3/CIT/SNRPB/MMS22L/CENPM/E2F8/BIRC5/DEK/MXD3/KPNA2/HMGB2/MCM6/MCM7/H2AZ1/ORC6/MTHFD2/MKI67/MCM5/TK1/AURKA/NUP205/XRCC6/EIF2S1/MELK/DONSON/CHEK1/POLA2/RACGAP1/POP7/RRM2/ANP32E/PPP1R8/NUP153/KIF22/PSMC3IP/TIPIN/ATAD2/GSPT1/PCNA/TOP2A/MLH1/MCM4/STMN1/UBE2S/TBRG4/CSE1L/JPT1/PNN/POLD2/PAICS/TUBG1/NBN/RANBP1/SRSF1/RAN/HUS1/SRSF2/DIAPH3/NME1/TRA2B/CTPS1/TUBB/PRIM2/PRPS1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",198,-0.498549643228857,-2.3000783936694,1e-10,2.5e-09,1e-09,4122,"tags=66%, list=27%, signal=48%","CDKN3/XPO1/HMGB3/CKS1B/NEK2/CENPE/CDC7/NDC80/NUSAP1/KIF15/EZH2/FANCC/MCM2/SMC1A/PLK4/UBE2C/CCNB2/HMMR/TTK/E2F3/HIF1A/POLQ/SMC2/PLK1/CENPA/KIF4A/NUP98/HMGA1/CDC20/TROAP/LMNB1/KIF2C/INCENP/CCNF/RAD54L/E2F2/RAD21/NUP50/BUB1/FBXO5/KNL1/PRP4K/TRAIP/BRCA2/BARD1/CENPF/POLE/KIF11/PTTG1/MAD2L1/EWSR1/ESPL1/EXO1/MYBL2/H2AX/SUV39H1/AURKB/CDK1/ILF3/PBK/CDC25A/TACC3/TFDP1/CDC45/CHAF1A/SNRPD1/UCK2/MCM3/CDC6/BIRC5/STIL/PAFAH1B1/GINS2/KPNA2/MCM6/E2F1/H2AZ1/ORC6/TPX2/CCNA2/BUB3/MEIS1/MKI67/MCM5/AURKA/ORC5/CHEK1/PRC1/POLA2/RACGAP1/CCNT1/CDC27/KIF22/NSD2/MTF2/KPNB1/LIG3/DTYMK/AMD1/DKC1/GSPT1/TOP2A/CBX1/KIF23/STMN1/UBE2S/JPT1/MNAT1/HMGN2/KIF5B/RASAL2/MT2A/SRSF1/CUL4A/RAD23B/KMT5A/HUS1/PRMT5/SRSF2/SRSF10/SS18/ODF2/TRA2B/TENT4A/ODC1/TGFB1/PRIM2/SLC7A1/SLC7A5/CCND1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",68,0.665609203657704,2.26764456876887,1.00217812656538e-09,1.67029687760896e-08,6.68118751043586e-09,1505,"tags=51%, list=10%, signal=47%","HMGCS1/MVD/IDI1/ACSS2/FASN/CYP51A1/PNRC1/DHCR7/HMGCR/SQLE/SREBF2/FDPS/PDK3/SCD/TRIB3/SC5D/STARD4/TM7SF2/FDFT1/MVK/NFIL3/PLSCR1/LSS/ECH1/LGALS3/EBP/ACAT2/TP53INP1/ATF5/HSD17B7/GUSB/LDLR/ANTXR2/FBXO6/NSDHL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",89,0.606061812236654,2.15178845711993,8.06078377661213e-09,1.00759797207652e-07,4.03039188830607e-08,3767,"tags=52%, list=25%, signal=39%","MX1/NCOA7/IFI44L/IFITM1/TMEM140/IFIH1/PLSCR1/GMPR/LAMP3/STAT2/UBE2L6/NMI/CASP1/DHX58/CMPK2/RTP4/C1S/IL7/CNP/HERC6/PARP14/PARP9/LPAR6/LGALS3BP/EPSTI1/IFITM3/IFITM2/ISG20/OAS1/LY6E/SP110/TRIM21/IFI35/GBP4/IFIT2/UBA7/PSME1/TRIM25/TAP1/IRF2/IFI44/CSF1/DDX60/IFIT3/PSMB9/CD74"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",172,0.504179373405791,1.92578290342142,3.9080423964399e-08,3.25670199703325e-07,1.3026807988133e-07,3299,"tags=41%, list=22%, signal=32%","CFH/TNFAIP6/RAPGEF6/MX1/IL6/SECTM1/ST8SIA4/NFKB1/IFI44L/ST3GAL5/TNFSF10/SAMHD1/IL15RA/IFIH1/PLSCR1/P2RY14/C1R/STAT2/UBE2L6/NMI/CASP1/DHX58/CMPK2/IRF4/MX2/RTP4/NAMPT/PELI1/C1S/STAT3/IL7/PIM1/EIF4E3/BANK1/HERC6/SOCS3/PARP14/ICAM1/LGALS3BP/NOD1/EPSTI1/CD40/SERPING1/IFITM3/APOL6/IFITM2/ISG20/LY6E/SP110/TRIM21/UPP1/IFI35/GBP4/CASP7/IL2RB/IFIT2/TNFAIP2/CIITA/MYD88/PSME1/TRIM25/IFIT1/TAP1/GCH1/SRI/XAF1/IRF2/STAT4/PLA2G4A/IFI44"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",198,-0.416198547008195,-1.92014837128408,3.37856423329979e-08,3.25670199703325e-07,1.3026807988133e-07,1519,"tags=31%, list=10%, signal=29%","CCN2/ACTA2/FERMT2/CD59/LAMA3/THBS1/CD44/MATN2/TNFRSF11B/NT5E/SERPINE2/FLNA/SGCB/CALU/EFEMP2/TIMP1/CALD1/FN1/COL4A1/FSTL3/VEGFC/TGFBI/DST/NTM/FSTL1/PDLIM4/PLAUR/LOXL2/COL4A2/PFN2/SGCD/QSOX1/TAGLN/TGFB1/PVR/LOXL1/GPC1/MYL9/PLOD2/TIMP3/LOX/FAS/IGFBP3/ITGB1/EMP3/SDC4/SDC1/CDH2/APLP1/TPM2/LRRC15/MYLK/BDNF/COL7A1/ID2/DKK1/FGF2/SERPINE1/OXTR/TNFRSF12A/TPM1/GLIPR1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.3886287709271,-1.79735921660423,7.36569790936434e-07,5.2612127924031e-06,2.10448511696124e-06,3758,"tags=48%, list=25%, signal=36%","USP1/MCM2/PHB1/VDAC3/PPIA/U2AF1/NOP56/EPRS1/PSMA6/ORC2/PRDX3/CDC20/HNRNPR/EIF2S2/SRSF7/PA2G4/PPM1G/ILF2/EIF4G2/PSMB2/HPRT1/MAD2L1/EIF4H/PRPF31/NOP16/PSMD1/PSMD3/PSMD14/TFDP1/CDC45/SNRPD1/ACP1/TXNL4A/DEK/HDGF/C1QBP/PSMD7/ABCE1/KPNA2/CCT7/MCM6/MCM7/H2AZ1/CSTF2/PWP1/NCBP1/CCNA2/BUB3/RNPS1/MCM5/XRCC6/EIF2S1/SNRPA/CCT3/CYC1/TYMS/SRPK1/CDK2/TARDBP/EIF3B/HNRNPA2B1/POLE3/TCP1/EIF4A1/KPNB1/TOMM70/RUVBL2/GSPT1/PCNA/MCM4/VBP1/PSMD8/POLD2/PGK1/YWHAE/RRM1/RANBP1/SRSF1/RAN/GOT2/NHP2/CCT5/RAD23B/DDX21/SRSF2/NME1/VDAC1/EIF4E/TRA2B/SNRPA1/CTPS1/YWHAQ/ODC1/EIF1AX/SRM/LDHA"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",86,0.554551869504461,1.95394941693782,3.75546535131756e-06,2.34716584457347e-05,9.3886633782939e-06,2423,"tags=37%, list=16%, signal=31%","ABCA9/ABCA6/IDI1/CYP27A1/ABCA1/IDH1/PHYH/AQP9/RBP1/ACSL1/FADS1/CYP7B1/ABCA8/SLC29A1/NPC1/PFKM/ACSL5/CYP39A1/EPHX2/ABCA5/HSD17B11/PEX6/NR3C2/FADS2/OPTN/HSD17B4/DHCR24/SULT2B1/SLC27A5/ALDH1A1/PEX11A/ABCA3"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",166,-0.391288105134845,-1.7897831669867,4.60108457749096e-06,2.55615809860609e-05,1.02246323944244e-05,1724,"tags=31%, list=11%, signal=27%","NEGR1/COL17A1/THY1/CTNNA1/PTPRC/LAMA3/NRXN2/SHC1/INPPL1/CERCAM/TUBG1/TNFRSF11B/LAYN/IKBKG/LDLRAP1/ACTG1/NECTIN3/RSU1/ADAM9/MYH9/CTNND1/LAMB3/TGFBI/ZYX/PKD1/TAOK2/ACTB/SPEG/NEXN/AMIGO2/ARPC2/MYL12B/CAP1/MYL9/PALS1/VCL/ITGB1/RRAS/MSN/ADAM15/LIMA1/VASP/VAV2/YWHAH/RASA1/PFN1/GNAI2/NFASC/NF2/FLNC/ITGA3"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",195,-0.367652655695741,-1.70281667161048,5.34422170406761e-06,2.67211085203381e-05,1.06884434081352e-05,4010,"tags=54%, list=27%, signal=40%","NEK2/CENPE/CLASP1/TUBGCP5/NDC80/NUSAP1/CDK5RAP2/KIF15/SMC1A/DLGAP5/FSCN1/CCNB2/TTK/RABGAP1/CTTN/PLK1/KIF4A/TUBGCP3/RASA2/LMNB1/KIF2C/INCENP/CDC42BPA/RICTOR/BUB1/FBXO5/BRCA2/ARHGEF12/CENPF/KIF11/CDC42/CEP192/ESPL1/CDK1/ABI1/PCGF5/CSNK1D/ALS2/KATNB1/SYNPO/BIRC5/PAFAH1B1/DOCK2/SHROOM1/PKD2/TPX2/CLIP1/CKAP5/SPTBN1/AURKA/CNTROB/DYNC1H1/KNTC1/PRC1/RACGAP1/ARHGAP29/CDC27/KIF22/SASS6/RAB3GAP1/FARP1/SAC3D1/PPP4R2/SPTAN1/ANLN/TOP2A/ECT2/KIF3C/KIF23/CCDC88A/PCNT/RALBP1/KIF5B/SEPTIN9/YWHAE/NIN/ARF6/RASAL2/FLNA/CAPZB/BCAR1/SUN2/RHOT2/MAP3K11/MYH9/ARHGDIA/CYTH2/KIF1B/DST/PLEKHG2/PDLIM5/NET1/FLNB/TAOK2/ROCK1/MAPRE1/MYO9B/KLC1/CD2AP/VCL/APC/TRIO/CDC42EP1/RASA1/EZR"
