"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION","REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",117,-0.631867135477025,-2.7405688608429,1e-10,9.1e-09,6.41353383458647e-09,4004,"tags=74%, list=27%, signal=54%","CENPE/CLASP1/NDC80/NUP107/SMC1A/BUB1B/CCNB2/SGO2/DYNC1I2/SGO1/PLK1/CENPA/NUF2/SPC24/NUP98/DYNLL1/CDC20/KIF2C/INCENP/CDCA8/RAD21/CENPK/BUB1/CENPC/KNL1/PPP2R5D/ZW10/CENPF/CENPI/CDCA5/MAD2L1/NUP85/KIF18A/AHCTF1/AURKB/CDK1/CCNB1/CENPQ/ERCC6L/CENPM/BIRC5/CENPH/TAOK1/RANBP2/PAFAH1B1/KIF2A/WAPL/DSN1/CENPU/MAD1L1/ZWINT/SEC13/CENPN/CLIP1/CKAP5/BUB3/DYNC1LI1/PPP2R5B/PMF1/DYNC1H1/KNTC1/NUP43/SKA1/PPP2CB/DYNC1LI2/CENPS/SKA2/CENPO/CENPL/ZWILCH/PPP2CA/SEH1L/TUBB3/CLASP2/MAPRE1/RANGAP1/PPP2R1B/NDEL1/TUBB2A/TUBA1A/TUBB4B/TUBA1B/TUBA1C/TUBB6/CENPT/SPDL1"
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS","REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",130,-0.60615041655341,-2.69592134087799,1e-10,9.1e-09,6.41353383458647e-09,3724,"tags=69%, list=25%, signal=52%","SRC/BUB1B/SGO2/DYNC1I2/SGO1/PLK1/CENPA/NUF2/SPC24/NUP98/DYNLL1/CDC20/KIF2C/INCENP/CDCA8/CENPK/BUB1/CENPC/KNL1/PPP2R5D/ZW10/CENPF/CENPI/CDC42/MAD2L1/NUP85/KIF18A/AHCTF1/AURKB/CENPQ/ERCC6L/CENPM/BIRC5/CENPH/TAOK1/RANBP2/PAFAH1B1/KIF2A/DSN1/CENPU/MAD1L1/ZWINT/SEC13/CENPN/CLIP1/CKAP5/BUB3/DYNC1LI1/PPP2R5B/PMF1/DYNC1H1/KNTC1/NUP43/SKA1/PPP2CB/DYNC1LI2/SRF/CENPS/SKA2/RAC1/CENPO/CENPL/ZWILCH/PPP2CA/RHOA/SRGAP2/SEH1L/ACTG1/DIAPH3/TUBB3/CLASP2/ACTB/PFN2/MAPRE1/DVL1/RANGAP1/PPP2R1B/DIAPH1/NDEL1/ITGB1/TUBB2A/TUBA1A/TUBB4B/RHOC/TUBA1B/TUBA1C/PFN1/TUBB6/CENPT/SPDL1"
"REACTOME_MITOTIC_PROMETAPHASE","REACTOME_MITOTIC_PROMETAPHASE",192,-0.562525419520168,-2.60001679145017,1e-10,9.1e-09,6.41353383458647e-09,4010,"tags=65%, list=27%, signal=48%","NEK2/CENPE/CLASP1/CCP110/TUBGCP5/NDC80/CDK5RAP2/CEP78/NUP107/NCAPG/SMC1A/BUB1B/PLK4/CCNB2/HAUS3/SGO2/CSNK2A1/DYNC1I2/SGO1/SMC2/PLK1/CENPA/NUF2/DCTN1/SPC24/NUP98/TUBGCP3/DYNLL1/CDC20/KIF2C/INCENP/CDCA8/NCAPH/EML4/RAD21/CENPK/BUB1/HSP90AA1/CENPC/KNL1/NCAPD2/PPP2R5D/ZW10/CENPF/CENPI/CDCA5/HAUS2/CEP192/MAD2L1/SFI1/NUP85/KIF18A/AHCTF1/AURKB/CDK1/CCNB1/CENPQ/ERCC6L/CSNK1D/HAUS6/CETN2/CENPM/YWHAG/BIRC5/CENPH/TAOK1/RANBP2/AKAP9/PAFAH1B1/KIF2A/WAPL/DSN1/NEDD1/CENPU/MAD1L1/ZWINT/SEC13/CENPN/CLIP1/CKAP5/BUB3/DYNC1LI1/PPP2R5B/PMF1/DYNC1H1/KNTC1/NUP43/SKA1/PPP2CB/DYNC1LI2/PRKACA/CEP164/CENPS/SKA2/CSNK1E/CENPO/PCNT/CEP43/CENPL/YWHAE/TUBG1/ZWILCH/PPP2CA/DCTN3/ACTR1A/MZT1/SEH1L/TUBB3/ODF2/TUBG2/CLASP2/MAPRE1/RANGAP1/PPP2R1B/NDEL1/TUBB2A/TUBA1A/TUBB4B/TUBA1B/TUBA1C/TUBB/TUBB6/CENPT/SPDL1/NEK7"
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS","REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",168,-0.562077403250627,-2.55577827933971,1e-10,9.1e-09,6.41353383458647e-09,4132,"tags=67%, list=28%, signal=49%","PSMC6/XPO1/ANAPC1/CENPE/CLASP1/NDC80/PSMB3/PSMC1/NUP107/ANAPC4/SMC1A/BUB1B/UBE2C/SGO2/DYNC1I2/SGO1/PLK1/CENPA/NUF2/PSMB6/PSMA6/SPC24/NUP98/DYNLL1/CDC20/KIF2C/INCENP/CDCA8/RAD21/CENPK/BUB1/CENPC/ADRM1/KNL1/PPP2R5D/ZW10/PSMB2/CENPF/CENPI/CDCA5/PTTG1/PSMD13/MAD2L1/NUP85/ESPL1/KIF18A/AHCTF1/AURKB/PSMD1/PSMD3/PSMD14/CENPQ/ERCC6L/CDC16/CENPM/BIRC5/CENPH/TAOK1/RANBP2/PAFAH1B1/KIF2A/WAPL/DSN1/PSMD7/CENPU/MAD1L1/ZWINT/SEC13/CENPN/CLIP1/CKAP5/BUB3/DYNC1LI1/PPP2R5B/PMF1/DYNC1H1/KNTC1/NUP43/SKA1/CDC27/PPP2CB/DYNC1LI2/CENPS/SKA2/UBE2S/PSMD8/CENPO/CENPL/ZWILCH/PPP2CA/SEH1L/PSMC5/PSMD6/TUBB3/ANAPC5/ANAPC15/PSMC3/CLASP2/PSMD12/MAPRE1/RANGAP1/PPP2R1B/NDEL1/TUBB2A/PSMD2/TUBA1A/TUBB4B/TUBA1B/TUBA1C/TUBB6/CENPT/SPDL1"
"REACTOME_RHO_GTPASE_EFFECTORS","REACTOME_RHO_GTPASE_EFFECTORS",264,-0.528704056090305,-2.54422996499281,1e-10,9.1e-09,6.41353383458647e-09,3572,"tags=55%, list=24%, signal=43%","DYNC1I2/SGO1/KIF14/CTTN/PLK1/CENPA/NUF2/SPC24/NUP98/NCOA2/DYNLL1/RAC2/CDC20/KIF2C/INCENP/CDCA8/H2AC20/CENPK/BUB1/CENPC/KNL1/PPP2R5D/PPP1R14A/ZW10/NCKIPSD/ABI2/CENPF/CENPI/CDC42/MAD2L1/NUP85/PRKCD/KIF18A/AHCTF1/H2AX/AURKB/ABI1/PAK1/IQGAP3/H2BC11/ACTR3/CENPQ/ERCC6L/PPP1R12B/CIT/CENPM/YWHAG/BIRC5/CENPH/TAOK1/RANBP2/PTK2/H2BC4/ROCK2/PAFAH1B1/KIF2A/DSN1/NCF2/CENPU/MAD1L1/ZWINT/SEC13/CENPN/CLIP1/CKAP5/BUB3/DYNC1LI1/PPP2R5B/PMF1/ACTR2/DYNC1H1/KNTC1/PRC1/LIN7B/NUP43/ARPC3/SKA1/IQGAP1/PPP2CB/DYNC1LI2/SRF/CTNNA1/DLG4/CENPS/SKA2/RAC1/GRB2/CENPO/H4C14/CENPL/KIF5B/YWHAE/ZWILCH/PPP2CA/ARPC4/GOPC/RHOA/SRGAP2/KLC2/FLNA/SEH1L/ACTG1/MYL6/YWHAZ/ARPC5/MYH9/DIAPH3/TUBB3/ARPC1A/LIMK2/CLASP2/ROCK1/ACTB/PIN1/ARPC2/MYL12B/YWHAQ/PFN2/PDPK1/MAPRE1/DVL1/RANGAP1/MYL9/PPP2R1B/CALM1/DIAPH1/PRKCA/KLC1/NDEL1/CFL1/ITGB1/TUBB2A/TUBA1A/TUBB4B/RHOC/ARPC1B/TUBA1B/TUBA1C/YWHAH/PFN1/TUBB6/MYLK/CENPT/NF2/PPP1R12A/SPDL1"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",213,-0.535304852553302,-2.50770157563634,1e-10,9.1e-09,6.41353383458647e-09,4004,"tags=62%, list=27%, signal=46%","CENPE/CLASP1/NDC80/PSMB3/PSMC1/NUP107/ANAPC4/SMC1A/BUB1B/UBE2C/CCNB2/SGO2/DYNC1I2/SGO1/PLK1/CENPA/NUF2/PSMB6/PSMA6/SPC24/NUP98/DYNLL1/CDC20/LMNB1/KIF2C/INCENP/CDCA8/RAD21/CENPK/VPS4A/BUB1/CENPC/FBXO5/ADRM1/KNL1/PPP2R5D/ZW10/PSMB2/CENPF/CENPI/CDCA5/PTTG1/PSMD13/MAD2L1/NUP85/ESPL1/KIF18A/AHCTF1/NUP155/AURKB/VRK1/CDK1/CCNB1/PSMD1/PSMD3/NUP188/PSMD14/CENPQ/ERCC6L/CDC16/NUP62/CENPM/BIRC5/CENPH/TAOK1/RANBP2/PAFAH1B1/VRK2/KIF2A/WAPL/TNPO1/DSN1/PSMD7/NUP93/CENPU/MAD1L1/ZWINT/SEC13/CENPN/CLIP1/CKAP5/BUB3/DYNC1LI1/PPP2R5B/PMF1/NUP205/DYNC1H1/EMD/KNTC1/NUP43/SKA1/CDC27/PPP2CB/DYNC1LI2/KPNB1/BANF1/CHMP7/CENPS/SKA2/CHMP6/UBE2S/PSMD8/CENPO/CENPL/ZWILCH/PPP2CA/LMNA/SEH1L/RAN/NUP58/PSMC5/PSMD6/TUBB3/ANAPC5/ANAPC15/PSMC3/CLASP2/PPP2R2A/PSMD12/MAPRE1/RANGAP1/PPP2R1B/NDEL1/TUBB2A/PSMD2/TUBA1A/TUBB4B/TUBA1B/TUBA1C/ANKLE2/TUBB6/CENPT/SPDL1"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",42,0.800930337129041,2.50752709860491,1e-10,9.1e-09,6.41353383458647e-09,1052,"tags=45%, list=7%, signal=42%","HMGCS1/MVD/IDI1/FASN/CYP51A1/DHCR7/HMGCR/SQLE/SREBF2/FDPS/SCD/SREBF1/SC5D/TM7SF2/FDFT1/MVK/LSS/ACACB/NCOA1"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS","REACTOME_CHOLESTEROL_BIOSYNTHESIS",27,0.857500687946427,2.46702186263992,1e-10,9.1e-09,6.41353383458647e-09,1124,"tags=74%, list=7%, signal=69%","HMGCS1/MSMO1/MVD/IDI1/CYP51A1/DHCR7/HMGCR/SQLE/SREBF2/FDPS/SREBF1/SC5D/TM7SF2/FDFT1/MVK/IDI2/LSS/EBP/ACAT2/HSD17B7"
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT","REACTOME_MITOTIC_SPINDLE_CHECKPOINT",110,-0.554145345536293,-2.39904862306677,1e-10,9.1e-09,6.41353383458647e-09,4104,"tags=74%, list=27%, signal=54%","XPO1/ANAPC1/CENPE/CLASP1/NDC80/NUP107/ANAPC4/BUB1B/UBE2C/SGO2/DYNC1I2/SGO1/PLK1/CENPA/NUF2/SPC24/NUP98/DYNLL1/CDC20/KIF2C/INCENP/CDCA8/CENPK/BUB1/CENPC/KNL1/PPP2R5D/ZW10/CENPF/CENPI/MAD2L1/NUP85/KIF18A/AHCTF1/AURKB/CENPQ/ERCC6L/CDC16/CENPM/BIRC5/CENPH/TAOK1/RANBP2/PAFAH1B1/KIF2A/DSN1/CENPU/MAD1L1/ZWINT/SEC13/CENPN/CLIP1/CKAP5/BUB3/DYNC1LI1/PPP2R5B/PMF1/DYNC1H1/KNTC1/NUP43/SKA1/CDC27/PPP2CB/DYNC1LI2/CENPS/SKA2/UBE2S/CENPO/CENPL/ZWILCH/PPP2CA/SEH1L/ANAPC5/ANAPC15/CLASP2/MAPRE1/RANGAP1/PPP2R1B/NDEL1/CENPT/SPDL1"
"REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS",260,-0.496865801821149,-2.37830132178932,1e-10,9.1e-09,6.41353383458647e-09,4184,"tags=62%, list=28%, signal=45%","PSMC2/RFC4/PSMC6/XPO1/ANAPC1/CCNE1/CENPE/CLASP1/CDC7/NDC80/PSMB3/MDC1/PSMC1/NUP107/DNA2/CDC25C/ANAPC4/BLM/MCM2/BRCA1/BUB1B/UBE2C/CCNB2/TOPBP1/SGO2/MCM8/ATRIP/DYNC1I2/SGO1/PLK1/CENPA/NUF2/PSMB6/PSMA6/ORC2/SPC24/NUP98/DYNLL1/CDC20/KIF2C/UBE2V2/INCENP/GTSE1/CDCA8/MCM10/RFC5/CENPK/BUB1/CENPC/ADRM1/KNL1/PPP2R5D/ZW10/PSMB2/RFC3/BARD1/CENPF/CENPI/PSMD13/MAD2L1/NUP85/RFC2/KIF18A/EXO1/PKMYT1/AHCTF1/H2AX/AURKB/CDK1/CCNB1/PSMD1/PSMD3/CDC25A/PSMD14/H2BC11/CDC45/CENPQ/CLSPN/ERCC6L/ATR/CDC16/MCM3/CENPM/CDC6/YWHAG/BIRC5/CENPH/TAOK1/RANBP2/RMI2/H2BC4/PAFAH1B1/KIF2A/TOP3A/ORC1/BRIP1/DSN1/PSMD7/MCM6/CCNE2/MCM7/CENPU/MAD1L1/ZWINT/SEC13/ORC6/CENPN/CLIP1/CCNA2/CKAP5/BUB3/DYNC1LI1/MCM5/PPP2R5B/ORC5/PMF1/DYNC1H1/CHEK1/KNTC1/NUP43/CDK2/SKA1/CDC27/PPP2CB/DYNC1LI2/NSD2/CENPS/SKA2/MCM4/UBE2S/PSMD8/CENPO/H4C14/CENPL/YWHAE/ZWILCH/PPP2CA/NBN/BABAM1/SEH1L/YWHAZ/PSMC5/HUS1/UBE2N/PSMD6/ANAPC5/ANAPC15/PSMC3/CLASP2/YWHAQ/PSMD12/MAPRE1/RANGAP1/PPP2R1B/NDEL1/PSMD2/YWHAH/CENPT/PCBP4/SPDL1"
