"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS",46,0.811135487150637,2.58599447557719,1e-10,1.22235460318026e-08,9.56963141781302e-09,1260,"tags=65%, list=8%, signal=60%","HMGCS1/MSMO1/MVD/IDI1/CYP27A1/FASN/CYP51A1/MYLIP/DHCR7/HMGCR/ABCA1/SQLE/SREBF2/ACSL1/FADS1/FDPS/SCD/SREBF1/SC5D/TM7SF2/FDFT1/ACSL3/MVK/NR1H3/HMGCS2/LSS/EBP/ACAT2/HSD17B7/SOAT1"
"WP_CHOLESTEROL_METABOLISM","WP_CHOLESTEROL_METABOLISM",52,0.780568647256731,2.55162110005938,1e-10,1.22235460318026e-08,9.56963141781302e-09,1505,"tags=63%, list=10%, signal=57%","APOE/HMGCS1/PCSK9/MSMO1/MVD/IDI1/CYP27A1/CYP51A1/MYLIP/DHCR7/HMGCR/ABCA1/SQLE/LIPA/FDPS/APOC1/SC5D/TM7SF2/FDFT1/PLTP/NPC1/MVK/NPC2/CD36/SCARB1/LSS/EBP/ACAT2/HSD17B7/LIPC/SOAT1/LDLR/NSDHL"
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","WP_ENTEROCYTE_CHOLESTEROL_METABOLISM",28,0.842248564943169,2.39671780378189,1.08013661547593e-10,1.22235460318026e-08,9.56963141781302e-09,1505,"tags=75%, list=10%, signal=68%","HMGCS1/MSMO1/MVD/IDI1/CYP51A1/DHCR7/HMGCR/ABCA1/SQLE/FDPS/SC5D/TM7SF2/FDFT1/MVK/CD36/LSS/EBP/ACAT2/HSD17B7/LDLR/NSDHL"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES",87,0.665504721064962,2.35285786517128,1e-10,1.22235460318026e-08,9.56963141781302e-09,2321,"tags=49%, list=15%, signal=42%","HMGCS1/PCSK9/MSMO1/MVD/IDI1/CYP27A1/CYP51A1/MYLIP/DHCR7/HMGCR/ABCA1/ACOT1/ACSL1/FDPS/SCD/CYP7B1/SREBF1/SC5D/TM7SF2/FDFT1/OSBPL1A/ACSL3/MVK/ERG28/NR1H3/HMGCS2/IDI2/LSS/CYP19A1/EBP/ACAT2/CYP39A1/HSD17B7/HSD17B11/SRD5A2/NSDHL/CLIP3/ELOVL4/HSD17B12/FADS2/DHCR24/SLC27A5/CYP11A1"
"WP_MIRTARGETED_GENES_IN_LYMPHOCYTES","WP_MIRTARGETED_GENES_IN_LYMPHOCYTES",400,-0.392441806469441,-1.9473390761892,1e-10,1.22235460318026e-08,9.56963141781302e-09,2614,"tags=31%, list=17%, signal=26%","GPAM/ATAD3B/RAB6A/TMED2/NAA15/MRPS24/CAPG/TPM4/NELFCD/SEC24A/MYB/IPO4/C1QBP/LUZP1/LMNB2/E2F1/MTHFD2/PWP1/ITGA2/P4HA2/SNX15/SLC12A4/HOXD8/LCLAT1/MTPN/WDFY1/POLA2/TYMS/MAT2A/POLR2C/PTBP1/UHRF1/LRRC8A/BRI3BP/SAC3D1/TMED7/VAMP3/BCKDHB/MRPL20/SFXN1/PNP/AP3B1/KRAS/FERMT2/TNFRSF10A/UBE2S/POLD2/PTPA/SCAMP1/RAB34/GFPT1/PTGES3L-AARSD1/PTBP2/NT5E/LTN1/NPR3/SERPINE2/RB1/DMTF1/SHOC2/G6PD/KCNN4/SEC23A/RAD23B/CACNA2D1/ARF4/ARHGDIA/FXR2/HARS1/ARCN1/SRSF10/EIF4E/RARS1/PDLIM5/CLOCK/PTPRJ/MPDU1/COL4A2/RCOR1/SLC38A2/AMIGO2/NAPG/MSI2/YWHAQ/PAFAH1B2/NXN/NOTCH1/GAS2L1/MBNL1/GNPNAT1/SH3BP4/CAP1/FAR1/PICALM/SLC7A6/POGLUT3/CSRP1/ANXA2/TPM3/CORO1C/TUBA1A/TXNRD1/NHERF2/CDK6/AXL/PKM/YIF1B/TPM2/SH3BGRL3/NEDD4/BDNF/NCEH1/GNAI2/LY6K/NF2/CUL4B/GYS1/MET/FGF2/PDLIM7/CCND1/UAP1/TPM1/DOCK5"
"WP_VEGFAVEGFR2_SIGNALING","WP_VEGFAVEGFR2_SIGNALING",406,-0.377310286681386,-1.87981912302495,1e-10,1.22235460318026e-08,9.56963141781302e-09,2313,"tags=33%, list=15%, signal=28%","CCT7/HDAC1/NCF2/CXCL8/MYO6/STIP1/USP10/MAPK8/HRAS/PDIA6/P4HA2/PLCB3/RELA/ALDOA/OCRL/SRPK1/EIF4G1/CALR/CYCS/TEAD4/IQGAP1/TMSB10/IGFBP7/MMRN2/DECR1/KANK1/PRDX6/LMAN1/MAP2K1/SRF/P4HB/CRIP2/CTNNA1/FUT1/CCN2/RAP1B/PNP/FADD/ATF6/RAC1/GPX1/GRB2/SDF2L1/SYNJ1/SHC1/S1PR1/PGK1/LDB2/DHX29/YWHAE/ITCH/PPP2CA/TNFRSF25/IDH2/AKT1/RHOA/ARF6/PRKAA1/GATA2/ARPC5L/ACOT9/ACTG1/ETS1/CAPZB/BCAR1/FJX1/RAF1/CALU/ADAM9/GAPDH/CACNA2D1/FN1/COPG1/ARF4/MYH9/FARSB/FXR2/CTNND1/ELOA/PPP1CA/SRP54/EIF4E/TMOD3/PLAUR/FLNB/PTPRJ/RCAN1/TAOK2/PTPN1/ROCK1/NEXN/EPHA2/CHAC1/HBEGF/MYO1C/PTPN14/PDPK1/LRRC59/GPC1/ENG/PRKCA/BCL2L1/ASCC3/VCL/FAS/CSRP1/CFL1/IGFBP3/GIPC1/ITGB1/LDHA/TPM3/ADAMTS1/VAV2/SSR3/RHOC/SHB/HSPB1/TUBA1C/PFN1/SH3BGRL3/ANXA1/LRRFIP2/PRKD1/MAP2K3/SLC7A1/FHL2/DKK1/SLC8A1/CCND1/CAV1/MICAL2/EZR"
"WP_MIRTARGETED_GENES_IN_MUSCLE_CELL","WP_MIRTARGETED_GENES_IN_MUSCLE_CELL",325,-0.373427129981015,-1.82508309999115,2.96929244332058e-10,2.88021367002096e-08,2.25487621635623e-08,2614,"tags=31%, list=17%, signal=26%","GPAM/ATAD3B/RAB6A/TMED2/NAA15/MRPS24/CAPG/TPM4/NELFCD/SEC24A/IPO4/C1QBP/LUZP1/LMNB2/E2F1/MTHFD2/PWP1/ITGA2/P4HA2/SNX15/SLC12A4/SLC38A5/LCLAT1/MTPN/WDFY1/POLA2/TYMS/POLR2C/UHRF1/LRRC8A/SRF/TMED7/MRPL20/SFXN1/AP3B1/KRAS/POLD2/THBS1/PTPA/SCAMP1/RAB34/GFPT1/PTGES3L-AARSD1/PTBP2/NT5E/LTN1/RB1/DMTF1/SHOC2/G6PD/SEC23A/RAD23B/CACNA2D1/ARF4/ARHGDIA/ARCN1/SRSF10/EIF4E/RARS1/FSTL1/PDLIM5/CLOCK/PTPRJ/SLC38A2/AMIGO2/NAPG/YWHAQ/PAFAH1B2/NXN/NOTCH1/MBNL1/GNPNAT1/SH3BP4/FAR1/PICALM/SLC7A6/POGLUT3/CSRP1/TPM3/CORO1C/TXNRD1/NHERF2/SLC7A11/CDK6/AXL/PKM/TPM2/SH3BGRL3/NEDD4/NCEH1/NF2/CUL4B/PODXL/MET/FGF2/PDLIM7/CCND1/UAP1/TPM1/DOCK5"
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS",17,0.90230867976342,2.30504973882272,3.7762615100188e-10,3.20510195662845e-08,2.5092263981046e-08,866,"tags=82%, list=6%, signal=78%","HMGCS1/MSMO1/MVD/IDI1/CYP51A1/DHCR7/HMGCR/SQLE/FDPS/SC5D/FDFT1/MVK/LSS/EBP"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY",15,0.913524380259649,2.25994038408933,2.03420864345576e-09,1.38122766890646e-07,1.08134248941596e-07,804,"tags=87%, list=5%, signal=82%","HMGCS1/MSMO1/MVD/IDI1/CYP51A1/DHCR7/HMGCR/SQLE/FDPS/SC5D/FDFT1/MVK/LSS"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",86,0.621913220684817,2.19606782163315,1.86242295176173e-09,1.38122766890646e-07,1.08134248941596e-07,4072,"tags=80%, list=27%, signal=59%","RPS28/RPL13A/RPL26/RPL14/RPL5/RPL37/RPS4X/RPS4Y1/RPS5/RPL23/RPS16/RPL3/RPS6/RPL17/RPL18A/RPL19/RPL36A/RPS27/RPL6/RPL10A/RPS25/RPL22/RPS3A/RPL12/RPS8/RPS11/RPL15/RPL7/RPL13/RPL4/RPL28/RPL24/RPL29/RPL39/RPS20/RPS7/RPL10/RPS15A/RPL18/RPS24/RPL38/RPS3/RPL35A/RPL23A/RPS2/RPS18/RPL32/RPS23/RPL11/RPL30/RPL31/RPL41/RPL27A/RPL21/RPL27/RPS15/RPS19/RPS13/RPS29/RPS14/RPS12/RPS17/RPL34/RPS10/RPLP0/RPL36/RPL35/RPL8/RPS27A"
