"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.564873401820497,-2.47813749783741,1e-10,1.66666666666667e-09,9.47368421052632e-10,4650,"tags=60%, list=26%, signal=45%","TIMM10/ATP6V1C1/SUCLA2/PDK4/MTRR/NDUFV2/RHOT1/ATP5PO/TIMM50/NDUFS1/BDH2/NDUFS4/SLC25A11/NDUFB6/ACAA1/SLC25A3/NDUFA9/ISCU/SLC25A20/TIMM9/NDUFB8/MRPL15/HADHA/AIFM1/ETFDH/COX7A2L/IDH1/GOT2/NDUFC1/CYC1/COX4I1/ATP5F1A/ATP6V1F/POLR2F/UQCRQ/PDHA1/MRPL34/OPA1/MTX2/UQCRC1/NDUFS6/COX10/ATP6V1D/ATP5MF/UQCR10/NDUFA1/ATP5PD/ATP6V1E1/COX5A/SDHB/ATP5MC1/NDUFA8/ATP5ME/ATP5MC3/COX5B/CYB5A/ATP5PF/PHB2/ATP6V1G1/NDUFA3/PDHX/COX17/DECR1/ATP5MG/NDUFB7/NDUFC2/COX6A1/TIMM8B/NDUFAB1/DLST/GRPEL1/ATP5F1C/ATP5F1B/SLC25A4/NDUFB3/SLC25A5/ACO2/MRPL35/UQCRH/COX7B/MRPS30/VDAC1/GLUD1/COX7A2/UQCRB/GPI/VDAC2/ATP5PB/MGST3/PRDX3/COX8A/TOMM22/LRPPRC/NQO2/IDH3A/TIMM13/COX6C/NNT/ATP6V1H/NDUFA4/CYCS/SUCLG1/NDUFB5/SDHA/TOMM70/TIMM17A/CS/MPC1/UQCRFS1/SDHD/ATP1B1/DLAT/LDHA/NDUFV1/PDHB/AFG3L2/NDUFA5/OAT/CPT1A"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.555372269075134,-2.43334455041837,1e-10,1.66666666666667e-09,9.47368421052632e-10,4137,"tags=48%, list=23%, signal=38%","LSM7/SLC25A3/TRA2B/NOLC1/PWP1/CCT2/EIF3B/SET/HDAC2/GOT2/SMARCC1/CYC1/ERH/HNRNPD/C1QBP/EIF4H/NHP2/PSMD1/MCM7/AP3S1/SYNCRIP/PSMA4/EIF2S2/RAD23B/HNRNPC/PABPC1/DHX15/HSPD1/EIF3J/COX5A/RPL22/CCT4/SERBP1/GNL3/MRPS18B/YWHAQ/RPS6/ABCE1/EIF4A1/CNBP/CDC20/SNRPA1/PSMA2/PHB2/KARS1/PSMD7/USP1/HNRNPA3/EIF4G2/PA2G4/G3BP1/PRPS2/DDX21/RPL34/SNRPD3/GSPT1/MCM4/CBX3/PTGES3/EIF3D/NDUFAB1/RPL14/RACK1/HSP90AB1/PSMA6/RAN/NCBP2/PPIA/UBE2L3/CCT5/VDAC1/EIF2S1/CCNA2/EIF4E/MCM6/SNRPG/DEK/PRDX3/CDC45/SNRPB2/KPNA2/PCBP1/NPM1/PGK1/DUT/FAM120A/TOMM70/U2AF1/RPS3/PCNA/TCP1/LDHA/SRPK1/POLD2/MAD2L1/MYC/MRPL23"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.522089284694121,-2.28751629579545,1e-10,1.66666666666667e-09,9.47368421052632e-10,4255,"tags=48%, list=24%, signal=37%","DIAPH3/NUP153/PSIP1/WEE1/CKS2/TRA2B/NOLC1/DDX39A/BRCA1/UBE2S/PTTG1/CHEK1/EXOSC8/UBR7/RAD1/BRCA2/CDK1/HNRNPD/RAD21/NUP205/CDCA3/SMC3/CCNB2/RPA3/MTHFD2/MCM7/SYNCRIP/BUB1B/CENPE/RFC1/SMC4/LMNB1/PRPS1/CDCA8/ORC6/LBR/DCK/AURKA/CDC20/CDKN1B/USP1/SPAG5/TUBB/PHF5A/PA2G4/SMC1A/NAA38/NUDT21/SLBP/PPM1D/PLK4/RACGAP1/MKI67/GINS1/GSPT1/MCM4/PAICS/ATAD2/TMPO/STMN1/HMMR/CDC25A/DLGAP5/CDKN1A/E2F8/RAN/HUS1/BARD1/MXD3/EIF2S1/DEPDC1/TRIP13/MCM6/STAG1/DEK/PRKDC/MSH2/ANP32E/RAD50/KPNA2/CHEK2/DSCC1/DUT/CDKN3/HMGB3/UBE2T/PCNA/RFC2/CCP110/JPT1/IPO7/BIRC5/POLD2/MAD2L1/MYC/HELLS"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,-0.462361424179492,-2.0206193076933,6.39121903529453e-10,7.98902379411816e-09,4.54112931455138e-09,5359,"tags=54%, list=30%, signal=39%","NDC80/EWSR1/MCM2/CENPF/HMGN2/WRN/TPX2/SNRPD1/KIF2C/CUL1/INCENP/RBL1/ATRX/H2BC12/CDC7/PBK/PLK1/CBX1/TTK/CENPA/BCL3/TENT4A/TNPO2/DKC1/KIF15/KIF23/CKS2/AMD1/TRA2B/NOLC1/DDX39A/UBE2S/PTTG1/CHEK1/SAP30/SMARCC1/BRCA2/CDK1/HNRNPD/ARID4A/RAD21/SS18/CCNB2/SYNCRIP/CENPE/NCL/RAD23B/DTYMK/SMC4/STIL/LMNB1/SQLE/CDC27/SRSF10/ORC6/KIF5B/CDC6/LBR/AURKA/CDC20/KMT5A/CDKN1B/NUP50/SMC1A/G3BP1/FBXO5/PLK4/RACGAP1/MKI67/PRC1/GSPT1/TMPO/STMN1/HMMR/CDC25A/NOTCH2/HUS1/BARD1/CCNA2/MCM6/SMAD3/STAG1/MAP3K20/CUL5/PURA/CDC45/KIF11/KPNA2/UPF1/MT2A/KIF20B/EXO1/CHAF1A/DR1/E2F1/FOXN3/CDKN3/HMGB3/KNL1/JPT1/KATNA1/BIRC5/CCND1/MNAT1/MAD2L1/SMC2/MYC"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",159,0.458906903603511,1.76813597805279,8.5373503044873e-06,8.5373503044873e-05,4.8528096467612e-05,3461,"tags=35%, list=19%, signal=28%","SHOX2/FGFR3/SPHK2/RYR1/KLK7/NRIP2/NPHS1/LFNG/SLC38A3/NTF3/SYNPO/GPRC5C/HTR1B/SLC30A3/ATP6V1B1/CHRNG/GPR19/PDK2/FGF22/SLC12A3/NR6A1/CELSR2/UPK3B/SLC5A5/TENM2/PKP1/TEX15/KCND1/MYO15A/CCDC106/PDCD1/PRKN/PAX4/CLSTN3/PDE6B/CALCB/KCNMB1/COL2A1/TNNI3/PTGFR/SOX10/NR4A2/C5/CACNG1/NGB/SLC29A3/MYH7/MAGIX/BMPR1B/EPHA5/RSAD2/MX1/GPR3/YBX2/TGM1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,-0.371274302040852,-1.62254890637863,3.62083887918214e-05,0.000301736573265178,0.000171513420592838,3586,"tags=34%, list=20%, signal=28%","BRCA2/CDK1/RAPGEF5/DYNC1H1/PPP4R2/NCK2/KIF1B/CDC42/SMC3/MYO9B/CCNB2/CEP72/RANBP9/CLASP1/CENPE/RFC1/SMC4/LMNB1/FLNB/KIF3B/CDC27/STAU1/KIF5B/ARHGDIA/SUN2/AURKA/SMC1A/STK38L/SHROOM2/FBXO5/ABI1/ARF6/RACGAP1/PRC1/CTTN/APC/FARP1/EZR/DLGAP5/NOTCH2/ANLN/FGD4/ARHGAP10/NEDD9/PIF1/LRPPRC/KIF11/KIF20B/SPTAN1/SOS1/MID1/CD2AP/ARHGEF12/NIN/RALBP1/ECT2/KATNA1/DOCK4/BIRC5/DST/RICTOR/HOOK3/EPB41L2/SPTBN1/ARFGEF1/FSCN1/TBCD"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,-0.46597486379611,-1.85123236458685,5.89093592920936e-05,0.000420781137800669,0.00023918085727617,3691,"tags=43%, list=20%, signal=34%","COPE/CAV2/RAB2A/COPB1/KIF1B/COG2/SNX2/TSG101/RAB22A/RPS6KA3/AP3S1/RAB9A/VPS4B/RAB14/ARCN1/BET1/ARFGEF2/NAPG/DNM1L/BNIP3/AP2B1/TMED2/YIPF6/VAMP4/AP1G1/SNAP23/ARFIP1/DOP1A/ANP32E/VAMP7/MAPK1/ATP6V1H/SCRN1/USO1/RAB5A/TPD52/DST/GOLGA4/SEC22B/ARFGEF1/KRT18"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",198,-0.350761598010494,-1.5342987491405,0.000265807044723584,0.0016612940295224,0.000944314500991678,4431,"tags=36%, list=25%, signal=28%","ETF1/HMGCS1/UCHL5/CTH/SRD5A1/HSPE1/STARD4/PNO1/NAMPT/GOT1/PSMA3/SERPINH1/DDX39A/ELOVL6/IDH1/PSMD12/NFYC/HK2/NUP205/QDPR/PSMD13/HMGCR/MTHFD2/ATP6V1D/PSMA4/ADD3/GSR/EIF2S2/HSPD1/BHLHE40/SQLE/ATP5MC1/TCEA1/PNP/ERO1A/AURKA/ALDOA/IDI1/CCT6A/EDEM1/NFIL3/PDAP1/STC1/PPA1/MCM4/INSIG1/CDC25A/PDK1/TPI1/CDKN1A/PPIA/DHFR/UBE2D3/SC5D/GPI/LDLR/UFM1/P4HA1/RDH11/PGK1/USO1/GCLC/TES/SLC6A6/PITPNB/PLOD2/MLLT11/LDHA/POLR3G/PGM1/CD9/AK4"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",192,0.38547215329284,1.51688838002806,0.000791904718467187,0.00439947065815104,0.00250075174252796,2759,"tags=26%, list=15%, signal=22%","VWF/CLDN19/COL9A1/NLGN3/SLIT2/CX3CL1/VCAM1/CADM2/CADM3/TGFBI/RRAS/CDH11/NRXN2/ACTN3/MSN/COL16A1/ICAM5/CD34/CLDN4/SHC1/SLC30A3/MPZL2/CDH15/NECTIN2/NECTIN1/ACTN2/TMEM8B/HADH/PCDH1/LAMB3/PECAM1/CD276/IRS1/TRO/ADAM23/DSC3/PARD6G/MADCAM1/ICAM1/SRC/GNAI2/MAP4K2/MYL9/SYMPK/MPZL1/CNN2/INPPL1/ITGA10/NEXN"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",100,-0.389397995641792,-1.55893745280837,0.00100866729403879,0.00504333647019394,0.00286673862516287,3921,"tags=40%, list=22%, signal=31%","PIKFYVE/PIN1/PTEN/CDK1/ATF1/MAPK8/SMAD2/RALB/RPS6KA3/PRKAG1/MAP2K6/ARHGDIA/RAF1/ADCY2/THEM4/CDKN1B/VAV3/SFN/FGF17/PDK1/GRB2/ARPC3/CDKN1A/PLCB1/PITX2/ITPR2/UBE2D3/EIF4E/PRKAR2A/MAP3K7/RAC1/CAB39/MAPK1/PPP2R1B/AKT1/E2F1/UBE2N/MAPK9/MAPKAP1/GNA14"
