"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",118,-0.65235519696787,-2.68711056641713,1e-10,9.06e-09,6.29473684210526e-09,4744,"tags=69%, list=26%, signal=52%","EIF1AX/RPS2/EIF3C/RPS11/RPL23A/RPL8/RPL28/RPL31/RPS9/RPS7/RPL30/RPL4/EIF3H/RPS18/RPS17/EIF3B/EIF5B/RPLP2/RPL11/RPL5/RPL13A/RPS27/EIF4H/RPS20/RPS25/RPL32/EIF3I/RPL26L1/RPS14/EIF2S2/PABPC1/EIF3J/RPL7/EIF3M/RPL22/RPL38/RPS27L/EIF2B1/EIF2S3/RPS6/EIF4A1/RPL39/RPS15/RPL36AL/RPL37A/EIF3K/RPS24/RPL37/RPSA/RPL23/RPL36/RPL34/RPL35/RPL26/RPL10A/RPS3A/RPS16/RPS23/EIF3D/RPL14/RPL17/EIF3A/RPL35A/EIF2S1/EIF4E/RPL27/RPL27A/RPL21/RPL41/RPS15A/EIF3E/RPS12/RPS13/EIF3F/UBA52/RPL10L/RPS29/EIF2B5/RPS21/RPS3/RPL39L/RPS27A"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",100,-0.638595323150867,-2.57113507034265,1e-10,9.06e-09,6.29473684210526e-09,4558,"tags=65%, list=25%, signal=49%","RPS11/RPL23A/RPL8/RPL28/RPL31/RPS9/RPS7/RPL30/RPL4/RPS18/RPS17/RPLP2/RPL11/RPL5/RPL13A/RPS27/CEBPG/RPS20/RPS25/RPL32/RPL26L1/RPS14/EIF2S2/RPL7/RPL22/RPL38/RPS27L/EIF2S3/RPS6/ATF3/RPL39/RPS15/RPL36AL/RPL37A/RPS24/RPL37/RPSA/RPL23/RPL36/RPL34/RPL35/RPL26/RPL10A/RPS3A/RPS16/RPS23/RPL14/RPL17/RPL35A/EIF2S1/RPL27/RPL27A/RPL21/RPL41/RPS15A/RPS12/RPS13/UBA52/RPL10L/RPS29/RPS21/EIF2AK4/RPS3/RPL39L/RPS27A"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",92,-0.641084930895611,-2.55204780451527,1e-10,9.06e-09,6.29473684210526e-09,4558,"tags=66%, list=25%, signal=50%","RPS11/RPL23A/RPL8/EEF1D/RPL28/RPL31/RPS9/RPS7/RPL30/RPL4/RPS18/RPS17/RPLP2/RPL11/RPL5/RPL13A/RPS27/RPS20/RPS25/RPL32/RPL26L1/EEF1A2/RPS14/RPL7/RPL22/RPL38/RPS27L/RPS6/RPL39/RPS15/RPL36AL/RPL37A/RPS24/RPL37/RPSA/RPL23/RPL36/RPL34/RPL35/RPL26/RPL10A/RPS3A/RPS16/RPS23/RPL14/RPL17/RPL35A/RPL27/RPL27A/RPL21/RPL41/RPS15A/RPS12/RPS13/UBA52/RPL10L/RPS29/RPS21/RPS3/RPL39L/RPS27A"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION",290,-0.553583033720632,-2.53884940012757,1e-10,9.06e-09,6.29473684210526e-09,5028,"tags=59%, list=28%, signal=43%","GFM2/OXA1L/AURKAIP1/EEF1E1/KGD4/MRPL46/RPS8/EEF1B2/TARS1/APEH/EIF1AX/SEC61B/MRPS17/RPS2/TUFM/AIMP1/EIF3C/GADD45GIP1/RPS11/MRPL32/MRPL40/RPL23A/ETF1/SARS2/RPL8/MRPL24/EEF1D/MRPS18A/RPL28/MRPL52/GFM1/RPL31/MRPL36/RPS9/RPS7/RPL30/SPCS1/RPL4/MTIF3/EIF3H/RPS18/MRPL22/MRPL15/MRPS26/RPS17/EIF3B/NARS1/MRPL51/EIF5B/RPLP2/RPL11/MRPL16/RPL5/RPL13A/RPS27/PTCD3/DARS2/MRPL34/EIF4H/RPS20/MRPS25/MRPL48/SARS1/RPS25/MRPS5/RPL32/EIF3I/RPL26L1/EEF1A2/MRPL3/RPS14/EIF2S2/MRPL19/PABPC1/MRPL39/MRPL10/EIF3J/RPL7/EIF3M/RPL22/RPL38/RPS27L/EIF2B1/HARS1/MRPS18B/MRPS33/EIF2S3/MRPL2/RPS6/MRPS23/EIF4A1/MRPL49/CHCHD1/RPL39/RPS15/MRPL17/RPL36AL/RPL37A/MARS2/EIF3K/RPS24/RPL37/RPSA/RPL23/KARS1/MTIF2/TSFM/RPL36/MRPL58/MRPL33/MRPL38/FARSB/RPL34/RPL35/MTFMT/MRPL53/RPL26/RPL10A/PPA1/ERAL1/SRP72/RPS3A/GSPT1/DARS1/RPS16/RPS23/EIF3D/RPL14/RPL17/EIF3A/MRPS18C/MRPL44/MRPS34/MRPL43/MRPS28/QARS1/MRPL35/RPL35A/MRPS30/MRPS35/EIF2S1/MTRF1L/EIF4E/RPL27/RPL27A/RPL21/RPL41/MRPL13/RPS15A/MRPS10/SRP54/MRPL42/EIF3E/SEC61G/MRPL30/RPS12/WARS2/RPS13/EIF3F/SRP9/UBA52/RPL10L/RPS29/MRPL18/EIF2B5/RPS21/RPS3/MRPS16/RPL39L/RPS27A/MRPL23"
"REACTOME_MITOCHONDRIAL_TRANSLATION","REACTOME_MITOCHONDRIAL_TRANSLATION",94,-0.614863004946908,-2.46238676316007,1e-10,9.06e-09,6.29473684210526e-09,5086,"tags=66%, list=28%, signal=48%","MRPS22/GFM2/OXA1L/AURKAIP1/KGD4/MRPL46/MRPS17/TUFM/GADD45GIP1/MRPL32/MRPL40/MRPL24/MRPS18A/MRPL52/GFM1/MRPL36/MTIF3/MRPL22/MRPL15/MRPS26/MRPL51/MRPL16/PTCD3/MRPL34/MRPS25/MRPL48/MRPS5/MRPL3/MRPL19/MRPL39/MRPL10/MRPS18B/MRPS33/MRPL2/MRPS23/MRPL49/CHCHD1/MRPL17/MTIF2/TSFM/MRPL58/MRPL33/MRPL38/MTFMT/MRPL53/ERAL1/MRPS18C/MRPL44/MRPS34/MRPL43/MRPS28/MRPL35/MRPS30/MRPS35/MTRF1L/MRPL13/MRPS10/MRPL42/MRPL30/MRPL18/MRPS16/MRPL23"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",114,-0.597895924551656,-2.44172423545936,1e-10,9.06e-09,6.29473684210526e-09,4558,"tags=62%, list=25%, signal=47%","RPS11/RPL23A/ETF1/RPL8/RPL28/MAGOHB/RPL31/RPS9/RPS7/RPL30/RPL4/RPS18/RPS17/RPLP2/PPP2R2A/RPL11/RPL5/RPL13A/RPS27/RPS20/PPP2CA/RPS25/RPL32/RPL26L1/RPS14/PABPC1/RPL7/RPL22/RPL38/RPS27L/UPF3A/DCP1A/RPS6/RPL39/RPS15/RPL36AL/RPL37A/RPS24/RPL37/RPSA/RPL23/SMG1/RPL36/RPL34/RPL35/RPL26/RPL10A/RPS3A/GSPT1/RPS16/RPS23/RPL14/RPL17/NCBP2/RPL35A/PPP2R1A/RPL27/RPL27A/RPL21/RPL41/RPS15A/RPS12/UPF1/RPS13/UBA52/RPL10L/RPS29/RPS21/RPS3/RPL39L/RPS27A"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",155,-0.557073000543833,-2.40683680143589,1e-10,9.06e-09,6.29473684210526e-09,4912,"tags=59%, list=27%, signal=43%","RPS8/POLR2C/SLC25A6/GTF2F1/RPS2/POLR2H/RPS11/RPL23A/RPL8/RPL28/RPL31/RPS9/NUP153/RPS7/RPL30/RPL4/DNAJC3/RPS18/NUP42/RPS17/RPLP2/NUP93/RPL11/NUP54/RPL5/RPL13A/RPS27/NUP205/POLR2F/NUP155/RPS20/RANBP2/RPS25/GRSF1/RPL32/RPL26L1/NUP43/RPS14/POLR2L/RPL7/RPL22/RPL38/RPS27L/RPS6/NDC1/RPL39/RPS15/RPL36AL/RPL37A/RPS24/RPL37/RPSA/RPL23/RPL36/NUP50/RPL34/RPL35/RPL26/RPL10A/HSP90AA1/RPS3A/RPS16/RPS23/RPL14/RPL17/KPNA3/RAN/RPL35A/NUP37/POLR2D/RPL27/EIF2AK2/RPL27A/RPL21/POLR2K/RPL41/NUP88/GTF2F2/RPS15A/KPNA2/RPS12/RPS13/UBA52/RPL10L/RPS29/NUP58/RPS21/RPS3/RPL39L/RPS27A/KPNA1"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",111,-0.586718922204808,-2.38176536320566,1e-10,9.06e-09,6.29473684210526e-09,4726,"tags=59%, list=26%, signal=44%","SEC61B/RPS2/RPS11/RPL23A/RPL8/RPL28/RPL31/RPS9/RPS7/RPL30/SPCS1/RPL4/RPS18/RPS17/RPLP2/RPL11/RPL5/RPL13A/RPS27/RPS20/RPS25/RPL32/RPL26L1/RPS14/RPL7/RPL22/RPL38/RPS27L/RPS6/RPL39/RPS15/RPL36AL/RPL37A/RPS24/RPL37/RPSA/RPL23/RPL36/RPL34/RPL35/RPL26/RPL10A/SRP72/RPS3A/RPS16/RPS23/RPL14/RPL17/RPL35A/RPL27/RPL27A/RPL21/RPL41/RPS15A/SRP54/SEC61G/RPS12/RPS13/SRP9/UBA52/RPL10L/RPS29/RPS21/RPS3/RPL39L/RPS27A"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",200,-0.52874616836789,-2.34519719604153,1e-10,9.06e-09,6.29473684210526e-09,5561,"tags=56%, list=31%, signal=39%","EMG1/BOP1/RPL36A/WDR12/NOP10/UTP25/RPL22L1/RPL18A/RPL15/RPL24/WDR18/ELAC2/EBNA1BP2/NOC4L/RPS8/MTREX/UTP14A/UTP11/RPS2/RPS11/RPL23A/BUD23/RPL8/RPL28/KRR1/DKC1/RPL31/RPS9/RPS7/TRMT10C/PNO1/UTP15/RPL30/RPL4/GAR1/RPS18/RPS17/XRN2/RPLP2/TFB1M/EXOSC8/RPL11/RPL5/RPL13A/RPS27/MRM1/NHP2/RPS20/ISG20L2/RPS25/RPL32/RPL26L1/NOP58/RPS14/NCL/THUMPD1/RPL7/RPL22/RPL38/RPS27L/GNL3/RPS6/RPL39/RIOK3/RPS15/RPL36AL/RPL37A/MPHOSPH6/RPS24/RPL37/RPSA/DDX52/RPL23/UTP6/RPL36/DDX21/RPL34/RPL35/RPL26/RPL10A/NIP7/FCF1/RPS3A/EXOSC6/RPS16/RPS23/RPL14/RPL17/C1D/RPL35A/RPL27/RPL27A/DIS3/RPL21/WDR36/RPL41/RPS15A/UTP14C/RPS12/RPS13/RPP25/WDR43/UBA52/RPL10L/RPS29/RPP14/RPS21/RPS3/RPL39L/RPS27A/LTV1"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",155,-0.531330918434582,-2.29561800155572,1e-10,9.06e-09,6.29473684210526e-09,4609,"tags=62%, list=26%, signal=46%","RPL22L1/RPL18A/RPL15/RPL24/PSMB2/PSMB3/EIF4G1/PSMC6/RPS8/PSMA1/RPS2/ROBO1/RPS11/RBX1/RPL23A/ETF1/RPL8/RPL28/MAGOHB/RPL31/RPS9/RPS7/RPL30/RPL4/RPS18/PSMA3/RPS17/PSMD12/RPLP2/RPL11/RPL5/RPL13A/RPS27/PSMD6/RPS20/PSMD1/PSMD13/RPS25/RPL32/RPL26L1/PSMA4/RPS14/PABPC1/RPL7/RPL22/RPL38/RPS27L/ELOC/UPF3A/PSMB6/ROBO2/PSMB1/RPS6/RPL39/SLIT1/RPS15/RPL36AL/RPL37A/PSMA5/RPS24/RPL37/RPSA/RPL23/PSMA2/PSMD7/RPL36/CUL2/RPL34/RPL35/RPL26/RPL10A/RPS3A/GSPT1/RPS16/RPS23/RPL14/RPL17/PSMA6/NCBP2/RPL35A/RPL27/RPL27A/USP33/RPL21/RPL41/RPS15A/RPS12/RPS13/UBA52/RPL10L/RPS29/RPS21/RPS3/LHX4/RPL39L/RPS27A"
