"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",87,-0.658900884449193,-2.55140463524658,1e-10,3.645e-08,2.93684210526316e-08,4558,"tags=69%, list=25%, signal=52%","RPS11/RPL23A/RPL8/RPL28/RPL31/RPS9/RPS7/RPL30/RPL4/RPS18/RPS17/RPS6KB1/RPLP2/RPL11/RPL5/RPL13A/RPS27/RPS20/RPS6KB2/RPS25/RPL32/RPS6KA3/RPS14/MRPL19/RPL7/RPL22/RPL38/RPS6/RPL39/RPS15/RPL37A/RPS24/RPL37/RPSA/RPL23/RPL36/RPL34/RPL35/RPL26/RPL10A/RPS3A/RPS16/RPS23/RPL14/RPL17/RPL35A/RPS6KA2/RPL27/RPL27A/RPL21/RPL41/RPS15A/RPS6KA6/RPS12/RPS13/UBA52/RPS29/RPS21/RPS3/RPS27A"
"WP_MIRTARGETED_GENES_IN_LYMPHOCYTES","WP_MIRTARGETED_GENES_IN_LYMPHOCYTES",406,-0.38999183726774,-1.85458070120021,1e-10,3.645e-08,2.93684210526316e-08,4152,"tags=37%, list=23%, signal=29%","UTP15/ZNF622/CLOCK/PPP5C/SERPINE2/BACH1/PTMA/SMAD1/DHX40/PWP1/SYPL1/PXDN/RRP8/RCOR1/SNX6/NT5C3A/PGRMC1/UBE2S/NARS1/CBFB/IDH1/FRG1/DDX5/SEC24A/DOCK5/LAMTOR5/MRM1/ATP6V1F/PLAG1/TTC9C/C1QBP/RCN2/FAR1/NELFCD/TMED7/PISD/MTHFD2/CEP72/PICALM/CAP1/ATAT1/UBE4A/TMEM109/NCL/RAD23B/DHX15/ATG3/CSDE1/MTPN/TUSC2/ARF4/PKM/ABCG2/RAB30/HARS1/ITGA2/SLC25A32/GALNT7/MRPS33/PRPF40A/NAA15/YWHAQ/DNMT3A/SRSF10/NUFIP2/P4HA2/DNMT3B/PNP/KIT/MARS2/ARHGDIA/CACNA2D1/SEC62/TMEM59/MAP3K8/SHOC2/ARCN1/MATR3/PTPA/NFIA/THEM4/CDKN1B/USP1/MOV10/SMC1A/BET1/GRPEL2/GAK/GEMIN2/SIGMAR1/NAPG/ASH2L/TDG/CHD1/PPP3R1/CIAO2A/STRN/RAB5C/KPNA3/GAS2L1/TPM3/SLC4A7/NOTCH2/CDKN1A/TMED2/HIPK3/AMIGO2/CARHSP1/TRIP13/EIF4E/PPP2R5C/PURA/CDK6/PAFAH1B2/SNAP23/RAB6A/GPAM/ANP32B/GSTM4/ARFIP1/PPP3CA/MYLIP/MBNL1/BRI3BP/NCOA3/RHEB/LTN1/POGLUT3/SEC23A/RDH10/NF2/TGFBR2/SPTLC1/CHAF1A/WDR82/PEDS1-UBE2V1/E2F1/COL4A2/GOLGA7/SYNE2/MCL1/SDCBP/CXCL12/KRAS/PRKCI/CCND1/POLD2/TBCA/PGM1/RB1/CAPG/TMT1A"
"WP_MIRTARGETED_GENES_IN_MUSCLE_CELL","WP_MIRTARGETED_GENES_IN_MUSCLE_CELL",328,-0.379519333396657,-1.74531333909039,1.87744093292473e-08,4.5621814670071e-06,3.67583172130526e-06,3421,"tags=30%, list=19%, signal=25%","TTC9C/C1QBP/RCN2/FAR1/NELFCD/TMED7/PISD/MTHFD2/PICALM/UBE4A/TMEM109/NCL/RAD23B/DHX15/CSDE1/MTPN/TUSC2/ARF4/PKM/ABCG2/RAB30/ITGA2/SLC25A32/GALNT7/NAA15/YWHAQ/DNMT3A/SRSF10/NUFIP2/P4HA2/KIT/ARHGDIA/CACNA2D1/SEC62/SHOC2/ARCN1/MATR3/PTPA/NFIA/CDKN1B/USP1/MOV10/BET1/GRPEL2/GAK/NAPG/ASH2L/TDG/CHD1/CIAO2A/STRN/KPNA3/TPM3/SLC4A7/NOTCH2/CDKN1A/TMED2/HIPK3/AMIGO2/CARHSP1/EIF4E/CDK6/PAFAH1B2/SNAP23/RAB6A/GPAM/ANP32B/GSTM4/ESR1/PPP3CA/MYLIP/MBNL1/NCOA3/RHEB/LTN1/POGLUT3/SEC23A/RDH10/NF2/TGFBR2/SPTLC1/WDR82/E2F1/ERBB3/SYNE2/MCL1/SDCBP/CXCL12/KRAS/PRKCI/CCND1/POLD2/VSNL1/ITGB4/TBCA/PGM1/RB1/PHLDB2/CAPG/TMT1A"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",87,-0.531830011223528,-2.05935913552955,1.29096629675316e-06,0.000235278607583263,0.000189568208839016,4071,"tags=47%, list=23%, signal=37%","WEE1/POLA1/CCND3/CHEK1/SAP30/CDK1/ORC1/SMC3/CCNB2/RPA3/MCM7/SMARCA2/ZNF655/RAF1/DCK/CCNB1/CDKN1B/CDT1/SMC1A/PLK4/MCM4/STMN1/CDC25A/CDKN1A/ANLN/DHFR/BARD1/CCNA2/MCM6/CDK6/PRKDC/CDC45/HMGB1/E2F1/PCNA/CCND1/SMC2/MYC/MDM2/RBP1/RB1"
"WP_DNA_DAMAGE_RESPONSE","WP_DNA_DAMAGE_RESPONSE",69,-0.558542070147953,-2.08557091583319,3.02961182761945e-06,0.000315512431762083,0.000254214045084459,3880,"tags=49%, list=22%, signal=39%","CCND3/BRCA1/CHEK1/RAD52/RAD1/CDK1/CCNB2/RFC1/PIDD1/CASP3/CCNB1/CDKN1B/RAD51/SMC1A/SFN/FANCD2/CDC25A/CDKN1A/SESN1/CDK6/PRKDC/RAD50/CHEK2/CDK5/AKT1/CYCS/E2F1/CCND2/CCND1/PMAIP1/MYC/MDM2/RRM2B/RB1"
"WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE","WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE",71,-0.553461811551057,-2.07961031379548,2.5988619043915e-06,0.000315512431762083,0.000254214045084459,3880,"tags=48%, list=22%, signal=38%","CCND3/BRCA1/CHEK1/RAD52/RAD1/CDK1/CCNB2/MCM7/RFC1/PIDD1/CASP3/CCNB1/CDKN1B/RAD51/SMC1A/SFN/FANCD2/CDC25A/CDKN1A/SESN1/CDK6/PRKDC/RAD50/CHEK2/CDK5/CYCS/E2F1/CCND2/CCND1/PMAIP1/MYC/MDM2/RRM2B/RB1"
"WP_CELL_CYCLE","WP_CELL_CYCLE",118,-0.467004892131396,-1.93435513967581,2.51688647203984e-06,0.000315512431762083,0.000254214045084459,4214,"tags=45%, list=23%, signal=35%","ANAPC10/ANAPC5/EP300/WEE1/CDC16/CCND3/PTTG1/CHEK1/HDAC2/CDK1/RAD21/ORC1/SMC3/CCNB2/SMAD2/PKMYT1/CDC14A/MCM7/YWHAQ/CDC27/ORC6/YWHAG/CDC6/CDC20/CCNB1/CDKN1B/STAG2/SMC1A/SFN/MCM4/CDC25A/CCNH/CDC14B/CDKN1A/SKP1/CCNA2/MCM6/SMAD3/STAG1/CDK6/PRKDC/CDC45/CHEK2/CDK7/E2F1/MAD2L2/CCNA1/PCNA/CCND2/CCND1/MYC/MDM2/RB1"
"WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER",40,-0.638149711446061,-2.11514200003186,5.16860916066782e-06,0.000470989509765855,0.000379484725217453,3724,"tags=52%, list=21%, signal=42%","TIGAR/GOT2/TKT/PDHA1/PPAT/RPIA/PKM/SDHB/SLC16A3/TALDO1/PAICS/DLST/ACO2/GLUD1/GPI/PGAM1/IDH3A/PGK1/LDHA/PDHB/GLS"
"WP_GPCRS_OTHER","WP_GPCRS_OTHER",62,0.588392020358256,1.99868428251922,7.37443740653789e-06,0.000584780721300808,0.000471168352445095,2550,"tags=40%, list=14%, signal=35%","ADGRG1/ADGRD1/GRM8/GPR17/GPR143/GPR61/ACKR1/EDNRA/GPR162/CELSR3/CXCR2/ADGRL2/CELSR2/NTSR1/PROKR2/ADRB2/GPR62/GPR135/DRD4/GPR84/C5AR2/LGR6/LTB4R2/PTGFR/GRM1"
"WP_INTEGRATED_BREAST_CANCER_PATHWAY","WP_INTEGRATED_BREAST_CANCER_PATHWAY",149,-0.432106813243376,-1.8529475915331,8.02168341976417e-06,0.000584780721300808,0.000471168352445095,4113,"tags=41%, list=23%, signal=32%","EP300/BACH1/WEE1/SMAD1/BLM/ITPKC/PTEN/MYCBP2/DHTKD1/BRCA1/PLK3/CHEK1/BRCA2/ATF1/CDC42/JUN/RAP1A/SMAD2/HMGCR/MAP3K13/SP1/ZNF655/CASP3/AURKA/RAD51/AHR/ERAL1/CHUK/PPP4R3B/CDC25A/JAK1/NAB1/ZMIZ1/HIPK2/BARD1/MSH2/RAC1/FER/ESR1/USP16/NCOA3/RAD50/RHEB/CHEK2/MAPK1/TGFBR2/AKT1/CDK7/E2F1/RALA/PKIA/KRAS/AR/CCND1/PAK1/SMAD7/BMPR2/BMPR1A/MYC/MDM2/RB1"
