"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.549804812367351,-2.48508878309707,1e-10,1.93697446223285e-09,1.10101706274288e-09,3663,"tags=47%, list=20%, signal=38%","COX4I1/TIMM9/PDHB/COX15/NDUFA1/SDHB/NDUFA4/UQCRB/UQCRC1/TIMM8B/COX7A2/ATP5MG/TIMM10/VDAC2/ATP5PD/DLST/NDUFC1/CASP7/MTRF1/ACAA1/UQCRC2/NDUFB7/ATP6V1E1/PMPCA/COX7B/SUPV3L1/MRPS12/COX5B/SDHA/ATP5F1C/TOMM22/ATP5PF/MPC1/ACADM/NDUFV2/MRPL35/COX6A1/ATP5MC3/COX8A/NDUFB3/COX5A/MRPL34/COX17/COX6C/RHOT2/NDUFA9/HSPA9/MRPL15/LRPPRC/PHB2/COX11/SLC25A20/ACO2/ATP5F1B/NDUFA8/UQCRH/TIMM17A/VDAC1/ATP5MC1/UQCRFS1/UQCR11/SLC25A6/IDH3A/NDUFB5/MRPS30/ATP6V1C1/CS/NDUFAB1/VDAC3/GPI/NNT/SLC25A4/SUCLG1/ATP5PB/ATP6V1D/TIMM13/NQO2/GRPEL1/SLC25A11/DLAT/CYCS/NDUFV1/TOMM70/ATP6V1G1/DECR1/PDHA1/AFG3L2/NDUFA5/SDHD/LDHA/ATP6V1H/CPT1A/OAT"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.504724993695647,-2.28315640709695,1e-10,1.93697446223285e-09,1.10101706274288e-09,5285,"tags=56%, list=29%, signal=40%","CYC1/CNBP/PTGES3/YWHAQ/TARDBP/RPL6/RACK1/LSM7/MAD2L1/PSMA4/DHX15/CANX/ERH/RANBP1/RPS10/CCT4/EIF4E/PSMD7/ORC2/HNRNPA1/RNPS1/RAD23B/EIF4A1/AP3S1/MRPL23/G3BP1/NOLC1/HNRNPA3/NAP1L1/ETF1/NHP2/SET/SRPK1/NPM1/HDAC2/LSM2/IMPDH2/TUFM/EIF3D/GSPT1/SERBP1/SSB/UBE2E1/SNRPD1/UBE2L3/SNRPD3/TYMS/COPS5/SRSF2/HNRNPD/RPS6/PSMA6/CCNA2/PRPS2/CSTF2/PWP1/HSPE1/HNRNPU/SMARCC1/SNRPB2/STARD7/SSBP1/CCT3/HSP90AB1/CDC45/NCBP1/CCT2/RAN/COX5A/MCM6/PSMC6/DEK/USP1/C1QBP/SYNCRIP/CBX3/RPL34/RPL14/EIF4G2/PHB2/FAM120A/EIF2S1/UBA2/CCT5/VDAC1/APEX1/ABCE1/HSPD1/SRSF1/PA2G4/CUL1/PGK1/MCM2/DDX21/MCM7/NOP16/GNL3/NDUFAB1/NCBP2/VDAC3/RPS3/TOMM70/MRPS18B/MCM4/PCBP1/PCNA/EIF3B/U2AF1/DUT/LDHA/TCP1"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",188,0.474434451058896,2.12525305480891,1.16218467733971e-10,1.93697446223285e-09,1.10101706274288e-09,4389,"tags=49%, list=24%, signal=38%","RYR1/PTGIS/TNNT1/BIN1/FLII/MYL11/DAPK2/SOD3/DMPK/MYH11/HRC/MYH2/SMTN/TNNC1/TNNI1/TNNT2/SGCA/FDPS/PSEN2/PTP4A3/ITGA7/MB/BDKRB2/GADD45B/KIFC3/AGRN/AEBP1/IFRD1/NAV2/FABP3/MYL7/TPM2/IGFBP3/SSPN/SH3BGR/ACTN3/CTF1/ACTN2/GSN/FHL1/CACNG1/PPP1R3C/COL6A3/ATP6AP1/GPX3/TGFB1/COL15A1/ACSL1/PFKM/MYL3/NOTCH1/MYL6B/GJA5/PVALB/APLNR/TAGLN/VIPR1/SYNGR2/PDLIM7/ADAM12/COL1A1/SPARC/STC2/AK1/WWTR1/PGAM2/ITGB4/NCAM1/CDH13/SPHK1/LSP1/APP/COL3A1/MYH9/SCD/GAA/GNAO1/DTNA/ADCY9/ITGB1/ACTC1/KLF5/CDKN1A/FKBP1B/PICK1/MYOM1/MEF2D/RIT1/IGFBP7/ATP2A1/CHRNG/LDB3/MYH7"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.45500687395381,-2.05825325180396,5.76204920776876e-10,7.20256150971095e-09,4.09408759499359e-09,4273,"tags=44%, list=24%, signal=34%","PAICS/PLK1/SMC6/PHF5A/PMS2/CTCF/EXOSC8/NOLC1/NAP1L1/UNG/GINS4/PDS5B/DONSON/E2F8/PPP1R8/LMNB1/BARD1/DCLRE1B/GSPT1/H2AX/PRPS1/UBE2T/GINS1/POLE/TUBB/DCK/RFC2/SRSF2/HNRNPD/AURKA/CDKN1B/CHEK1/RFC3/CDC25A/CCP110/POP7/TIPIN/NAA38/LYAR/NUP107/PSIP1/ESPL1/RAN/SMC3/RFC1/PRKDC/MCM6/DEK/USP1/MRE11/NUDT21/TRIP13/RRM2/SYNCRIP/NBN/MXD3/ATAD2/CSE1L/TMPO/PPM1D/BRCA1/EZH2/HUS1/EIF2S1/CHEK2/JPT1/ILF3/PLK4/ING3/CDCA3/SRSF1/PA2G4/TBRG4/NASP/RAD51AP1/MCM2/SLBP/MCM7/UBR7/IPO7/MSH2/DSCC1/STAG1/MCM4/PCNA/ANP32E/HMGB3/DUT/HELLS"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",192,0.458368288409953,2.05488326225311,9.65281093854494e-10,9.65281093854494e-09,5.48686095454133e-09,4261,"tags=48%, list=24%, signal=37%","SLIT2/NFASC/TGFBI/FBN1/MSN/CLDN19/RRAS/NLGN3/CADM2/NRXN2/SHC1/HADH/COL9A1/MPZL1/CD34/CX3CL1/MAP4K2/CADM3/INSIG1/CD276/PECAM1/NECTIN2/PKD1/SLC30A3/EXOC4/MMP9/MMP2/TSPAN4/CLDN5/MVD/COL16A1/AKT3/ICAM5/B4GALT1/CDH11/CDH15/VASP/TRO/ACTN3/CDH4/ACTN2/SDC3/RAC2/DSC3/MYH10/ACTN1/MPZL2/CD274/ITGA3/ADAM9/VCAM1/CLDN4/MYL9/ICAM2/NEXN/DMP1/TMEM8B/ADAM23/ZYX/CDK8/ACTB/PFN1/ACTG2/THY1/LAMB3/NECTIN1/TAOK2/IRS1/PTPRC/EGFR/PTK2/VCL/ITGA10/ITGB4/GRB7/MAPK14/SRC/LAYN/SYMPK/COL17A1/MYH9/CLDN11/ACTN4/ITGB1/ACTC1/CNN2/CDH3/RSU1/FLNC/CDH8/ADAMTS5/GAMT"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,0.416211888392077,1.86384366392985,2.71499387683039e-07,2.26249489735866e-06,1.28604973113019e-06,3852,"tags=42%, list=21%, signal=33%","SLIT2/TGFBI/FBN1/PDGFRB/ITGA5/PTX3/ELN/SNAI2/BGN/APLP1/NTM/P3H1/TIMP1/LOXL2/CCN2/NT5E/LRP1/NID2/THBS1/PCOLCE/CXCL6/GADD45B/TGM2/LOXL1/COLGALT1/MMP2/CCN1/COL16A1/PLOD1/ITGB3/GADD45A/SFRP4/CDH11/CADM1/TPM2/IGFBP3/EMP3/PPIB/WIPF1/ACTA2/BASP1/FBLN2/COL8A2/SFRP1/VCAM1/JUN/COL6A3/LRRC15/MATN3/MYL9/TGFB1/CD44/ANPEP/PLOD3/FAS/TNC/TAGLN/DKK1/DAB2/THY1/ADAM12/COL1A1/SPARC/QSOX1/PDLIM4/SGCB/TIMP3/LOX/GPC1/RHOB/CDH2/FMOD/VEGFC/MATN2/COL3A1/COL1A2/CALU/COL5A3/PTHLH/ITGB1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,-0.383378315825546,-1.73181991972978,5.84308748667123e-06,4.17363391905088e-05,2.37238138556576e-05,4364,"tags=38%, list=24%, signal=29%","KNL1/CCNT1/PLK1/RAD23B/SMAD3/KIF15/CTCF/G3BP1/E2F4/NOLC1/PDS5B/CDC27/RBL1/LMNB1/BARD1/GSPT1/DTYMK/BCL3/H2AX/SNRPD1/DKC1/POLE/PRP4K/SRSF2/HNRNPD/AURKA/CDKN1B/CDC6/CHEK1/CCNA2/EWSR1/CDC25A/HNRNPU/SMARCC1/GINS2/CDC45/NUP98/ESPL1/SRSF10/KIF11/NCL/MCM6/AMD1/SYNCRIP/KATNA1/DR1/CHAF1A/TLE3/KIF20B/TMPO/SFPQ/EZH2/HUS1/JPT1/ILF3/EXO1/PLK4/PURA/TNPO2/SRSF1/MNAT1/NASP/CUL1/MCM2/NUP50/MT2A/CDC7/SAP30/STAG1/E2F1/SMC2/FOXN3/HMGB3/CCND1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",167,0.406305835850634,1.78754688705926,1.05971956637763e-05,6.62324728986017e-05,3.76479319634157e-05,4295,"tags=40%, list=24%, signal=31%","GPC3/ITGA5/PSEN1/TACR3/TIMP1/PROK2/CX3CL1/BTG2/STAB1/OSM/OSMR/EBI3/CXCL6/PCDH7/BST2/PTGER4/SLC1A2/IL1R1/TPBG/TNFSF15/PTGER2/ITGB3/IL10RA/PDE4B/NOD2/CD70/EMP3/PIK3R5/P2RY2/PTGIR/SLC7A1/PTPRE/CD40/IL2RB/IL18/KLF6/KCNA3/SELL/P2RX7/AXL/TNFRSF1B/CALCRL/ADORA2B/ATP2A2/CCL22/APLNR/NMUR1/IL18R1/CD82/BDKRB1/ITGB8/SGMS2/MSR1/SPHK1/CMKLR1/ADM/IRF1/LIF/CDKN1A/C5AR1/CCL2/SERPINE1/BEST1/HRH1/CD55/CSF3R/LDLR"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.470434450510313,-1.74826543271369,0.000654913492042517,0.00363840828912509,0.00206814786960795,4604,"tags=52%, list=26%, signal=39%","MYBBP1A/BYSL/PLK1/TFB2M/NOLC1/NPM1/UNG/MRTO4/PPRC1/MPHOSPH10/PUS1/NOC4L/HK2/SUPV3L1/FARSA/HSPE1/IPO4/NDUFAF4/WDR74/CBX3/NIP7/PLK4/HSPD1/PA2G4/TBRG4/NOP16/GNL3/WDR43/MCM4/PRMT3"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",173,0.342119872082374,1.52010727461711,0.00109618240229573,0.00548091201147865,0.00311546577494576,4750,"tags=39%, list=26%, signal=29%","PDGFB/FYN/LIPA/GNG2/F10/PSEN1/APOBEC3G/TIMP1/ADRA2B/PLAT/HPCAL4/C1S/LRP1/APOC1/MAFF/CPQ/DUSP6/APOBEC3F/PRSS3/SERPING1/ZFPM2/CBLB/DOCK10/PRCP/LTF/GPD2/CEBPB/PIK3R5/ACTN2/PLA2G4A/DGKG/SH2B3/ADAM9/ZEB1/CPM/PLA2G7/HNF4A/L3MBTL4/CTSH/CR2/TMPRSS6/ME1/PFN1/ERAP2/GNGT2/CSRP1/FCER1G/LGMN/CDH13/SRC/PSMB9/CTSL/IRF1/MMP15/CALM3/HSPA5/SERPINE1/RCE1/CD55/KCNIP3/ITGAM/F5/SCG3/LGALS3/SERPINC1/SERPINA1/CTSD"
