"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",104,-0.586163146540542,-2.44995781296205,1e-10,5.51328931175427e-08,4.6013735068861e-08,4079,"tags=58%, list=23%, signal=45%","NDUFS1/NDUFA11/ATP5ME/ATP5F1A/SLC25A5/MT-ND4L/COX4I1/COX15/NDUFA1/SDHB/NDUFA4/UQCRB/UQCRC1/MT-ND3/COX7A2/ATP5MG/ATP5PD/NDUFC1/UQCRC2/NDUFB7/COX7B/COX5B/SDHA/NDUFA10/ATP5F1C/NDUFS5/ATP5PF/NDUFV2/COX6A1/ATP5MC3/COX8A/NDUFB3/COX5A/COX17/COX6C/NDUFA9/DMAC2L/MT-CO2/COX11/NDUFB10/ATP5F1B/NDUFA8/UQCRH/MT-ATP8/MT-CYB/ATP5MC1/UQCRFS1/UQCR11/SLC25A6/NDUFB5/NDUFAB1/MT-ATP6/SLC25A4/ATP5PB/SLC25A14/NDUFV1/COX7A1/MT-CO3/NDUFA5/SDHD"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",87,-0.589328717822618,-2.38714683738138,1.51256222544699e-10,5.51328931175427e-08,4.6013735068861e-08,5850,"tags=69%, list=32%, signal=47%","RPL15/RPL4/RPL22/RPS3A/RPS7/RPL12/RPL39/RPS26/RPS20/RPL6/RPL3/RPL9/RPS14/RPS8/MRPL19/RPL36A/RPL5/RPS10/RPS25/RPS18/RPS23/RPL24/RPL37/RPS27A/RPS6KA6/RPL37A/RPS6KA2/RPS24/RPS13/RPS11/RPL8/RPS12/RPS17/RPS6KB1/RPL32/RPL29/RPS21/RPLP2/RPS16/RPL10A/RPS15/RPL36/RPS6/RPS15A/RPL7/RPSA/RPL31/RPL23/RPL13A/RPL27/RPL17/RPL26/UBA52/RPL34/RPL38/RPL14/RPL35A/RPL11/RPL27A/RPS3"
"WP_MRNA_PROCESSING","WP_MRNA_PROCESSING",125,-0.512315072312262,-2.21512795142044,1.78907171505459e-09,4.34744426758265e-07,3.62836298702299e-07,4990,"tags=58%, list=28%, signal=43%","DNAJC8/LSM7/U2AF2/DHX15/SNRNP70/CLK4/SNRPB/PRMT2/CSTF2T/SF3B4/HNRNPA1/CLP1/SF3B2/RNPS1/SRSF9/DHX38/HNRNPH2/PHF5A/SRPK1/RBMX/CELF1/CSTF1/LSM2/CPSF4/DDX1/SRSF5/CSTF3/PRPF6/PSKH1/SRPK2/CDC40/DHX9/SNRPD1/SUGP1/SNRPD3/PTBP1/HNRNPH1/PRP4K/SRP54/METTL3/SRSF2/HNRNPD/CSTF2/DDX20/HNRNPU/SNRPB2/PRPF40A/NCBP1/SRSF10/DICER1/NONO/CD2BP2/NUDT21/NXF1/PTBP2/HNRNPM/SFPQ/XRN2/SRSF4/HNRNPK/PAPOLA/PABPN1/SREK1/CELF2/SRSF1/RBM17/SF3A3/NCBP2/RNMT/PRPF8/CPSF2/U2AF1/FUS"
"WP_GPCRS_CLASS_A_RHODOPSINLIKE","WP_GPCRS_CLASS_A_RHODOPSINLIKE",157,0.452191505417397,1.98774789579708,1.13063876364838e-07,2.06058914674916e-05,1.71976106681253e-05,3790,"tags=43%, list=21%, signal=34%","PTGFR/GPR85/GPR20/ADRA2B/NTSR1/GPR3/EDNRA/HTR1B/BDKRB2/GPR63/PTGER4/GALR3/ADRB2/GPR173/C5AR2/PTGER3/GPR39/CXCR2/LPAR6/SSTR3/PTGER2/OPRD1/CCKBR/GPR37L1/AVPR2/CXCR4/GPER1/AVPR1B/P2RY2/PTGIR/GPR19/ACKR3/GPR25/F2RL2/NMUR2/GPR17/FFAR3/GPR68/P2RY6/ADRB3/ADORA2B/MLNR/PRLHR/DRD5/HTR6/APLNR/MCHR1/GPR27/AVPR1A/HTR1E/DRD3/NMUR1/ADORA1/ADRB1/PTGDR/CCR1/BDKRB1/TBXA2R/HTR1A/DRD2/CMKLR1/ADRA2C/CCR8/HTR7/LPAR5/GPR83/LPAR4"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",87,-0.529639448681942,-2.14536827518741,1.98397239072436e-07,2.89263174567612e-05,2.41418114071301e-05,3735,"tags=47%, list=21%, signal=38%","POLA1/HLTF/BARD1/POLE/TYMS/ANLN/DCK/ORC1/RB1/CDKN1B/CHEK1/CCNA2/SMARCA2/ZNF655/RFC3/NPAT/CDC25A/CCDC6/CDC45/CDK6/HMGB1/CCND3/POLE2/MSH6/SMC3/PRKDC/MCM6/RRM2/CDT1/CCNB1/PLK4/RBP1/MCM7/MDM2/CDC7/SAP30/E2F1/SMC2/MCM4/PCNA/CCND1"
"WP_MESODERMAL_COMMITMENT_PATHWAY","WP_MESODERMAL_COMMITMENT_PATHWAY",143,-0.439798581554869,-1.94023977443725,1.54246916845675e-06,0.000187410003967495,0.000156411785854035,3832,"tags=39%, list=21%, signal=31%","HMGA2/SOX2/VAV3/TCF4/AXIN1/PAX6/TBX3/PPP2CA/MBTD1/YAP1/TRIM71/SETD2/ZIC2/CTBP2/WNT3/PIAS1/TWSG1/FZD5/CCDC6/PARP8/HTT/C1QBP/HES7/NODAL/RPL38/AEBP2/ZIC5/SMAD4/TEX56P/DNMT3B/FZD8/GDF3/UBR5/DLL1/PBX3/BMPR2/KLF4/WDHD1/PITX2/JARID2/SOX21/FGF8/FOXC1/EPB41L5/MIXL1/TET1/RGS10/GRHL2/NANOG/BMP7/FOXH1/AXIN2/BMPR1A/ZIC3/CCND1/TBX1"
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR",81,-0.506118580809777,-2.00498787769015,2.55902589926393e-06,0.000266504268651915,0.000222423604477376,3638,"tags=42%, list=20%, signal=34%","TOP3A/BARD1/SP1/UIMC1/IKBKG/H2AX/FANCD2/DCLRE1A/PALB2/CHEK1/BRIP1/CDC45/XPA/PRKDC/USP1/MRE11/NBN/PPM1D/BRCA1/HUS1/CHEK2/TOPBP1/MCPH1/RAD51/XRCC5/EXO1/FEN1/MCM2/HERC2/RMI1/MSH2/MDM2/E2F1/PCNA"
"WP_OXIDATIVE_PHOSPHORYLATION","WP_OXIDATIVE_PHOSPHORYLATION",59,-0.557492932860472,-2.06926176563527,5.31008253655367e-06,0.000430116685460847,0.000358974000716728,5538,"tags=69%, list=31%, signal=48%","NDUFC2/NDUFS3/ATP5F1D/NDUFB9/MT-ND4/NDUFS7/NDUFA2/NDUFA7/NDUFB4/NDUFA6/ATP6AP2/MT-ND2/NDUFS1/NDUFA11/ATP5ME/ATP5F1A/MT-ND4L/NDUFA4/MT-ND3/ATP5MG/ATP5PD/NDUFC1/NDUFB7/NDUFA10/NDUFS5/ATP5PF/NDUFV2/ATP5MC3/NDUFA9/DMAC2L/NDUFB10/ATP5F1B/NDUFA8/ATP5MC1/NDUFB5/NDUFA4L2/NDUFAB1/MT-ATP6/ATP5PB/NDUFV1/NDUFA5"
"WP_ADHD_AND_AUTISM_ASD_PATHWAYS","WP_ADHD_AND_AUTISM_ASD_PATHWAYS",338,0.340742849379753,1.62967742662472,5.1410967659068e-06,0.000430116685460847,0.000358974000716728,4122,"tags=36%, list=23%, signal=28%","GATM/PNPO/MAT1A/GRM8/PDGFRB/GRIN2B/NLGN3/NRXN2/STXBP1/GRIA3/DAGLA/PRKCB/FOLR1/SOD3/MOCOS/SCN4A/SYP/KYAT3/HNMT/PRKACA/DLG2/AOC1/CNTN2/AKR1C3/NOS2/PTK2B/ADRB2/PAH/AKR1B1/SLC32A1/AKT3/GRIA1/SPR/GABRA3/DLG4/DLG5/MAOA/GABRA4/SLC52A1/ALDH2/GABRA2/IDO1/GRIN2D/PCBD1/HOMER3/KCNA1/CACNG1/GRM3/SLC46A1/LMBRD1/NRXN1/AOX1/CACNG3/GRM5/MTHFD2L/PIK3CD/DBH/NLGN1/KCNA3/DAG1/NRXN3/KCNA7/NOS3/MTHFD2/CNTN3/CNTNAP4/NOX4/MAOB/HPRT1/SCN2A/WIPI1/DRD5/HTR6/SIRT3/OXT/GLS2/SNAP25/HTR3C/HTR1E/ALDH9A1/ADA/SESN2/MTHFR/CDO1/DLGAP2/GRM1/KCNA5/EGFR/NOX3/PLCG2/CNTN4/DLGAP3/ATG2A/FOLH1/ALDH1L1/TH/GRM7/DRD2/NCAM1/SOD1/SCN1A/SCN11A/APP/TPH2/GABRG1/SCN7A/HDC/HTR7/CSAD/INSR/TDO2/PRKACB/MAP1LC3A/COMT/CACNG7/DDC/AKR1C1/GKAP1/MECP2/WIPI2/SULT1A3/CACNA1C"
"WP_CELL_CYCLE","WP_CELL_CYCLE",118,-0.45388164614808,-1.93630889631116,6.23708563020827e-06,0.000454683542442183,0.000379477420448461,2972,"tags=41%, list=16%, signal=34%","CDC27/RBL1/HDAC2/ANAPC7/EP300/CDC16/ORC1/SFN/CDC14B/RB1/CDKN1B/CDC6/CHEK1/CCNA2/CCNH/CDC25A/YWHAG/CDC45/CDK6/CCND3/GADD45G/ESPL1/SMC3/PRKDC/MCM6/CCNB1/CCNA1/CCND2/STAG2/ANAPC5/ANAPC2/PKMYT1/CHEK2/SMAD4/CUL1/CDKN1C/MCM2/TGFB2/MCM7/MAD2L2/CDK7/MDM2/CDC7/STAG1/E2F1/MCM4/PCNA/CCND1"
