"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.418063841731811,-1.77734784612828,3.06141537995474e-06,0.000153070768997737,9.66762751564655e-05,4397,"tags=36%, list=24%, signal=28%","CASP7/NDUFS7/ATP5PF/ATP5MG/COX4I1/NDUFB7/NDUFA7/ATP5F1B/IDH1/BDH2/SLC25A20/ACO2/GLUD1/PDHX/ATP6V1E1/MRPL35/NDUFA9/GRPEL1/SLC25A6/COX5B/TOMM70/ACAA1/MRPS30/GPI/ATP5PD/UQCRB/RHOT2/COX7A2/TIMM13/NDUFA8/DLST/ATP6V1C1/TIMM8B/NDUFB3/UQCRFS1/ATP5PB/NDUFA4/NDUFA3/COX6C/DECR1/IDH3B/LRPPRC/VDAC2/SLC25A11/COX8A/DLAT/PDHA1/COX6A1/NDUFB5/SUCLG1/ATP6V1D/SDHA/SLC25A4/NDUFAB1/MGST3/CYCS/IDH3A/NDUFV1/AFG3L2/TIMM17A/CS/SDHD/NNT/ATP6V1G1/ATP1B1/MPC1/LDHA/PDHB/NDUFA5/ATP6V1H/OAT/CPT1A"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",196,-0.373305870634626,-1.58050988552579,0.000289678558101019,0.00724196395252547,0.00457387197001609,2679,"tags=29%, list=15%, signal=25%","CLDN7/ELOVL2/FOS/LRIG1/CALB2/IGF1R/CELSR2/MED24/EEIG1/TGIF2/ELF1/MYB/SFN/CELSR1/PAPSS2/ABCA3/MYC/ESRP2/SLC19A2/RAB31/HES1/TUBB2B/RPS6KA2/CBFA2T3/AR/BHLHE40/SLC7A2/KDM4B/MICB/TIAM1/RET/SLC39A6/TIPARP/AMFR/BCL11B/MED13L/INPP5F/AKAP1/OLFML3/FOXC1/FARP1/INHBB/KLF4/NBL1/PMAIP1/SCNN1A/CXCL12/DEPTOR/UGCG/KRT18/HR/TFAP2C/ABLIM1/PLAAT3/KRT8/CCND1/AFF1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",167,0.377743569918055,1.55240085710602,0.000920385378258411,0.0129849581792614,0.00820102621848087,3583,"tags=32%, list=20%, signal=26%","CALCRL/TACR3/GPC3/CX3CL1/STAB1/TIMP1/CXCL6/BTG2/EBI3/PLAUR/PROK2/PTPRE/CMKLR1/CD40/IL1R1/BST2/ITGA5/CD70/OSMR/PTGER4/PTGER2/PCDH7/IL18/NOD2/IL2RB/EMP3/CD82/OSM/PDE4B/SGMS2/LCK/AXL/ICAM1/KCNA3/PSEN1/TLR2/MEP1A/TNFSF15/CCL22/RIPK2/P2RY2/BDKRB1/PTGIR/GNA15/PIK3R5/IRF1/TNFRSF1B/LIF/ICAM4/LCP2/APLNR/SLC7A1/HPN/ITGB3"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",142,-0.378987333837824,-1.53982666079448,0.00103879665434091,0.0129849581792614,0.00820102621848087,2824,"tags=28%, list=16%, signal=24%","CDON/PRDM2/PTPRM/TENT4A/PTEN/IGF1R/PRKCE/CAP2/DMAC2L/DUSP1/MYC/F3/NFIB/HAS2/KALRN/GCNT1/BHLHE40/MGLL/KIT/ATP2B1/CDKN1B/NOTCH2/SMAD3/PLPP3/ID1/INSIG1/MT1E/CELF2/LPAR1/LDLR/RND3/PRKAR2B/ATXN1/FBLN5/NR3C1/ZMIZ1/SMAD7/BMPR1A/PRKCA/LTBP1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,-0.343721654285154,-1.45906044533999,0.00134655638847137,0.0134655638847137,0.00850456666402968,3852,"tags=29%, list=21%, signal=23%","STIL/BIRC5/SMC1A/KIF20B/POLE/SRSF10/SFPQ/CASP8AP2/STMN1/CDC25A/UPF1/CDC7/KMT5A/AURKA/LBR/H2AX/CDC6/MCM6/KIF11/G3BP1/TENT4A/KNL1/MCM2/PAFAH1B1/CHAF1A/FOXN3/CDC45/SRSF2/ORC6/EWSR1/SAP30/HUS1/NUP50/MYC/EXO1/BARD1/MAD2L1/SQLE/BCL3/ARID4A/TMPO/CUL5/PURA/TNPO2/CDKN1B/MT2A/KATNA1/NOTCH2/DR1/STAG1/JPT1/E2F1/TLE3/SMAD3/SMC2/HMGB3/MNAT1/CCND1"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",54,-0.482989662320936,-1.68053662977406,0.00247549975673202,0.0205999845385002,0.0130105165506317,2140,"tags=43%, list=12%, signal=38%","FURIN/SMAD1/TJP1/ID2/SMAD6/SMURF2/ARID4B/TGFBR1/RAB31/BCAR3/MAP3K7/TRIM33/SPTBN1/SMAD3/ID1/CDH1/CDKN1C/PMEPA1/BMPR2/SKIL/SMAD7/BMPR1A/HIPK2"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",192,-0.34215002693096,-1.44055493663358,0.00288399783539003,0.0205999845385002,0.0130105165506317,2298,"tags=24%, list=13%, signal=22%","CELSR2/COX6C/EEIG1/GALE/MYB/SFN/PRLR/ST14/PAPSS2/ABCA3/RAB31/CACNA2D2/RPS6KA2/IMPA2/ZFP36/UNC13B/SCUBE2/MICB/TIAM1/RET/AMFR/NMU/CA2/CCNA1/FOXC1/FARP1/CDH1/KLF4/PERP/NBL1/ALDH3A2/SCNN1A/PRKAR2B/CXCL12/TSPAN13/SGK1/FGFR3/HR/TFAP2C/CHST8/MDK/CD9/PLAAT3/CCND1/AFF1/MEST/CKB"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",100,-0.389349038816012,-1.51319787520908,0.00436808571786266,0.0273005357366416,0.0172424436231421,3033,"tags=28%, list=17%, signal=23%","KLK2/RPS6KA3/AKAP12/HMGCS1/PIAS1/HMGCR/PLPP1/IQGAP2/LIFR/TNFAIP8/SAT1/H1-0/CDC14B/IDI1/TPD52/NCOA4/CAMKK2/CDK6/INSIG1/ZBTB10/PMEPA1/ANKH/AKT1/ZMIZ1/ALDH1A3/SGK1/KRT8/CCND1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.463435442953228,1.61651574066912,0.00595594827356558,0.031454988978958,0.0198663088288156,4854,"tags=45%, list=27%, signal=33%","RABEPK/SORD/DUSP2/AIMP2/CDK4/RRP9/NOP2/SLC19A1/RCL1/IMP4/EXOSC5/TBRG4/UNG/PES1/GRWD1/MYBBP1A/PPAN/HSPD1/UTP20/PUS1/TMEM97/RRP12/NDUFAF4/LAS1L/NOP56/TCOF1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",178,0.341839066468999,1.41759680627376,0.0062909977957916,0.031454988978958,0.0198663088288156,2523,"tags=24%, list=14%, signal=20%","LGALS3BP/CD74/ISOC1/IFI30/BATF2/MX2/SP110/OAS3/IFIT1/PLA2G4A/STAT1/C1S/PFKP/UBE2L6/IL7/SLC25A28/CMKLR1/CD40/BST2/IRF8/TRIM14/FAS/CSF2RB/ISG15/CASP4/APOL6/IL2RB/VCAM1/ITGB7/AUTS2/CD274/PDE4B/NLRC5/ICAM1/RBCK1/XAF1/PSMB9/PSMB8/IDO1/IFIH1/CIITA/RIPK2"
