"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_MESODERMAL_COMMITMENT_PATHWAY","WP_MESODERMAL_COMMITMENT_PATHWAY",143,-0.536093052054451,-2.22472538453412,1.92520446695983e-10,1.40347405641372e-07,1.21186554867577e-07,3303,"tags=41%, list=18%, signal=33%","SMAD4/JAK2/PAX6/FOXC2/SMAD1/TBX3/CRTC1/NFE2L2/HMGA2/TCF4/AMH/PIAS1/VAV3/EXT1/BCORL1/HES7/LATS1/YAP1/CCDC6/SMAD6/ZIC5/DNMT3B/TWSG1/SETD2/FZD4/ACVR2B/BHLHE40/WDHD1/TOX3/FZD8/GDF3/WNT3/NODAL/GRHL2/PBX3/JARID2/DLL1/SMAD3/RGS10/PITX2/FOXC1/HTT/FZD5/KLF4/SOX21/FGF8/BMPR2/EPB41L5/MIXL1/TET1/BMPR1A/AXIN2/BMP7/FOXH1/NANOG/CCND1/ZIC3/TBX1"
"WP_NEURAL_CREST_DIFFERENTIATION","WP_NEURAL_CREST_DIFFERENTIATION",95,-0.547257392406342,-2.11579904718326,4.32950232608234e-07,0.000157810359785701,0.000136265388999855,2703,"tags=38%, list=15%, signal=32%","TCF4/NOTCH3/HEY2/ETS1/DLL3/MYB/ZIC5/MYC/SOX5/HES1/HDAC9/HES5/OLIG3/HOXB1/GBX2/HDAC5/NOTCH2/FZD3/DLL1/ID1/FGFR2/TFAP2A/CDH1/DMBX1/ZIC1/FGF8/FOXD3/COL11A2/CDH6/FGFR3/FGF19/RBPJ/LHX5/AXIN2/BMP7/PAX7"
"WP_MIRTARGETED_GENES_IN_LYMPHOCYTES","WP_MIRTARGETED_GENES_IN_LYMPHOCYTES",406,-0.353167600762107,-1.62309606282339,1.03335125065308e-06,0.000251104353908698,0.000216822472944049,4771,"tags=37%, list=26%, signal=28%","ARHGDIA/SEC24A/CYP51A1/ANKFY1/TUSC2/GYS1/EZH2/EHMT1/ITGA2/POLA2/TMED7/LAMC1/GRPEL2/ARFIP1/LRRC8A/RBMS1/ANP32B/DCAF7/ATG3/VEZT/KCNQ1/FNDC3A/TMEM59/MAPK12/ARF4/CEP72/CLOCK/CSNK1D/WDR82/BDNF/TGFBR2/FAR1/RHOB/TMED2/IDH1/SERPINE2/RHEB/GEMIN2/PXDN/IQGAP3/NARS1/SNAP29/SMC1A/PTPA/TPPP3/POLR2C/PTMA/DHX40/TUBA1A/DOCK5/SRSF10/PGRMC1/ATAT1/PLAG1/MRC2/TRIP13/SH3BP4/PPP2R5C/SMAD1/SEC62/PPP3R1/TRAM1/GOLGA7/MAPK7/NXN/PRPF40A/DNAJB1/ELMOD2/RAB30/MOV10/ATP6V1C1/PAFAH1B2/ABCG2/DNMT3A/MBNL1/CBFB/FXR2/CHD1/SIGMAR1/CHAF1A/WDFY1/SHOC2/MATR3/NAPG/SNAP23/CLDN1/RAB6A/MYB/P4HA2/PRKCI/LAMTOR3/USP1/BACH1/ARID4B/WNT5A/TMEM109/GAS2L1/PNP/DNMT3B/NELFCD/TBCA/ARID2/SEC23A/GSTM4/HSDL1/POLD2/UBE4A/NFIA/HIPK3/WDR11/RCN2/DDX5/MAP3K8/GAK/SPTLC1/TDG/PHC2/GPAM/PURA/POGLUT3/KIT/CARHSP1/CDKN1B/RDH10/RCOR1/MYLIP/GALNT7/NOTCH2/PEDS1-UBE2V1/CDK6/ASH2L/E2F1/NCOA3/LTN1/AMIGO2/SPRYD4/SDCBP/CDKN1C/KRAS/MCL1/MYO10/NF2/SYNE2/CACNA2D1/CXCL12/PGM1/RB1/COL4A2/CAPG/CCND1/TMT1A"
"WP_BREAST_CANCER_PATHWAY","WP_BREAST_CANCER_PATHWAY",146,-0.463787683746997,-1.93785870683619,1.66107424920611e-06,0.000302730781917813,0.000261400631848751,2714,"tags=37%, list=15%, signal=32%","JAG2/NRAS/FZD6/NOTCH3/FOS/HEY2/DLL3/PTEN/IGF1R/CSNK2A2/CETN3/RAD51/FLT4/JUN/WNT5A/WNT7B/MYC/GADD45G/RAD50/LRP6/SOS1/FGF10/HES1/HES5/SOS2/GRB2/MAPK1/HEY1/SHC3/FZD8/KIT/WNT3/NOTCH2/FZD3/CDK6/TCF7/ESR1/FGF17/E2F1/NCOA3/DLL1/NCOA1/WNT5B/FZD5/KRAS/AKT1/FGF8/SHC2/FRAT1/RB1/FGF19/AXIN2/FGF4/CCND1"
"WP_HEART_DEVELOPMENT","WP_HEART_DEVELOPMENT",40,-0.653326728536793,-2.10904759030688,4.33045632380277e-06,0.000631380532010444,0.00054518165929138,3422,"tags=50%, list=19%, signal=41%","VEGFA/SMAD4/FOXC2/SMAD1/HEY2/MEF2C/FGF10/BHLHE40/MAPK1/HEY1/PITX2/FOXC1/ERBB3/FGF8/BMPR2/BMPR1A/NFATC1/IRX4/FOXH1/TBX1"
"WP_ZINC_HOMEOSTASIS","WP_ZINC_HOMEOSTASIS",34,-0.636964278433585,-2.02022858162395,6.61986630017749e-05,0.00536209170314377,0.00463003514328204,1014,"tags=29%, list=6%, signal=28%","SLC39A6/MT2A/MT1H/MT1A/MT1E/MT1M/MT1L/MT1G/MT1F/MT1X"
"WP_CARDIAC_PROGENITOR_DIFFERENTIATION","WP_CARDIAC_PROGENITOR_DIFFERENTIATION",50,-0.566996971159956,-1.90887570771131,6.11948046428959e-05,0.00536209170314377,0.00463003514328204,1009,"tags=24%, list=6%, signal=23%","KIT/NODAL/PDGFRA/SIRPA/MESP1/MIXL1/IGF2/LIN28B/BMP1/IRX4/NANOG/ROR2"
"WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES","WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES",110,-0.456180212753843,-1.81589048095486,5.39599217151957e-05,0.00536209170314377,0.00463003514328204,2714,"tags=44%, list=15%, signal=37%","SMAD4/MAPK8/SMAD1/MAPK7/GLI3/JAG2/FZD6/NOTCH3/HEY2/PRKDC/DLL3/IHH/HES6/PRKCE/WNT9A/PRKCG/PRKCI/MAPK11/PIK3CB/PIK3C3/WNT5A/WNT7B/FZD4/LRP6/PRKCH/FGF10/MAPK9/MAPK1/HEY1/FZD8/WNT3/NOTCH2/FZD3/GLI2/DLL1/FGFR2/WNT5B/FZD5/FGF8/HES2/BMPR2/HES3/PTCH1/FGFR3/BMPR1A/RBPJ/PRKCA/FGF4"
"WP_MIRTARGETED_GENES_IN_MUSCLE_CELL","WP_MIRTARGETED_GENES_IN_MUSCLE_CELL",328,-0.343759303300964,-1.5427373021386,4.50758530727937e-05,0.00536209170314377,0.00463003514328204,3076,"tags=36%, list=17%, signal=31%","ARHGDIA/SEC24A/CYP51A1/ANKFY1/TUSC2/EZH2/EHMT1/ITGA2/POLA2/TMED7/LAMC1/GRPEL2/LRRC8A/GJA1/RBMS1/ANP32B/VEZT/KCNQ1/FNDC3A/MAPK12/ARF4/CLOCK/CSNK1D/WDR82/TGFBR2/FAR1/TMED2/RHEB/PXDN/SNAP29/PTPA/TPPP3/POLR2C/PTMA/DHX40/DOCK5/SRSF10/PGRMC1/MRC2/SH3BP4/SEC62/TRAM1/MAPK7/NXN/DNAJB1/ELMOD2/RAB30/MOV10/ATP6V1C1/PAFAH1B2/ABCG2/DNMT3A/MBNL1/CBFB/CHD1/WDFY1/SHOC2/MATR3/NAPG/SNAP23/CLDN1/RAB6A/P4HA2/PRKCI/LAMTOR3/USP1/BACH1/ACVR1B/ARID4B/WNT5A/TMEM109/NELFCD/TBCA/SEC23A/GSTM4/HSDL1/POLD2/HES1/UBE4A/NFIA/HIPK3/WDR11/RCN2/GAK/SPTLC1/TDG/GPAM/POGLUT3/KIT/CARHSP1/CDKN1B/RDH10/MYLIP/GALNT7/NOTCH2/CDK6/ASH2L/ESR1/E2F1/NCOA3/LTN1/AMIGO2/SPRYD4/SDCBP/KRAS/MCL1/MYO10/NF2/SYNE2/CACNA2D1/ITGB4/ERBB3/CXCL12/PGM1/RB1/PHLDB2/CAPG/CCND1/TMT1A"
"WP_ENDODERM_DIFFERENTIATION","WP_ENDODERM_DIFFERENTIATION",134,-0.42348203999526,-1.73676759367066,9.44188881381975e-05,0.00625739722297691,0.00540310957958298,2926,"tags=30%, list=16%, signal=25%","CRTC1/ELAVL1/TCF4/RTF1/PIAS1/VAV3/EXT1/BCORL1/DUSP5/FOXN3/LRPPRC/CEBPZ/ZIC5/DNMT3B/WDHD1/TOX3/GDF3/WNT3/NODAL/GRHL2/PBX3/GLI2/TCF7/JARID2/SMAD3/RGS10/MAD2L2/SOX21/NR3C1/ONECUT1/EPB41L5/MIXL1/TET1/BMPR1A/PRDM14/HHEX/BMP7/FOXH1/NANOG/ZIC3"
