"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.645516878545744,2.84677986838277,1e-10,2.5e-09,1.47368421052632e-09,4448,"tags=66%, list=25%, signal=50%","CCT4/SNRPG/NPM1/CDC20/HSPD1/KARS1/NME1/PTGES3/KPNA2/HNRNPC/FBL/EPRS1/PRDX3/PSMD14/RUVBL2/ERH/SRPK1/SF3B3/MYC/PPIA/PA2G4/HDDC2/EIF2S1/PSMA6/SSB/PSMA7/RSL1D1/SERBP1/U2AF1/PSMD8/RRP9/PSMA1/VDAC1/MAD2L1/HNRNPA2B1/PSMA2/EIF3D/ABCE1/GLO1/RPS5/CCT3/HSPE1/RPL34/NCBP1/POLE3/SNRPD2/HPRT1/PSMA4/TOMM70/YWHAE/PSMD1/RAN/GSPT1/PSMD7/C1QBP/PSMD3/RACK1/EIF4E/PABPC1/RPS6/SF3A1/BUB3/EIF2S2/CCNA2/EIF4A1/PCNA/ILF2/POLD2/YWHAQ/HDAC2/RFC4/DHX15/CCT5/PHB1/TUFM/XPO1/CBX3/COPS5/AIMP2/CCT7/LSM7/CCT2/HSP90AB1/TARDBP/NOP16/SYNCRIP/UBE2L3/NHP2/PSMC6/FAM120A/DDX18/RPS10/COX5A/VDAC3/TCP1/XRCC6/RPLP0/GNL3/RRM1/CYC1/H2AZ1/SNRPA/VBP1/ETF1/EIF4H/SNRPD1/DUT/HDGF/PHB2/APEX1/SRSF1/HNRNPD/PWP1/SNRPB2/SLC25A3/PSMC4/PSMB2/DEK/MRPL9/HNRNPA3/XPOT/PPM1G/RNPS1/PSMB3/CUL1/TXNL4A/TRIM28/SET/RAD23B/SNRPA1/GOT2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.511542131445968,2.2559407662751,1e-10,2.5e-09,1.47368421052632e-09,4626,"tags=48%, list=26%, signal=36%","MKI67/CDKN3/CDC20/CKS2/CDKN1A/NME1/KPNA2/DLGAP5/DEPDC1/RPA3/HMMR/MSH2/BIRC5/DDX39A/CENPE/MYC/TBRG4/MTHFD2/CDK1/PA2G4/HMGA1/EIF2S1/SNRPB/RAD51C/SSRP1/MAD2L1/TIPIN/RACGAP1/NCAPD2/RFC1/PHF5A/TFRC/PLK4/EED/RAN/GSPT1/CCNE1/MELK/PRIM2/IPO7/BUB1B/CBX5/GINS1/SMC6/CSE1L/PCNA/CKS1B/AK2/POLD2/SMC4/DCK/MRE11/XPO1/TACC3/PTTG1/BRMS1L/CDCA8/SYNCRIP/CHEK1/ESPL1/RAD21/UBE2S/PLK1/XRCC6/DSCC1/H2AZ1/PMS2/CHEK2/TP53/DUT/SRSF1/HNRNPD/UNG/DNMT1/TOP2A/SPC24/ASF1A/CNOT9/DEK/TRIP13/NUP205/KIF2C/CCNB2/PDS5B/KIF18B/POP7/CDKN2A/MLH1/BRCA2/BRCA1/MMS22L/PAICS/MCM3/LYAR/RNASEH2A/ORC2/MCM4"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.636258852332,2.31749053897551,8.49689507634263e-08,1.41614917939044e-06,8.34782674166996e-07,3217,"tags=55%, list=18%, signal=45%","RABEPK/NPM1/HSPD1/MYC/TBRG4/RCL1/PA2G4/RRP9/HSPE1/IMP4/PLK4/PES1/TFB2M/PUS1/EXOSC5/SORD/NDUFAF4/PPAN/PHB1/RRP12/NIP7/CBX3/AIMP2/NOP16/NOP2/WDR43/WDR74/UTP20/DDX18/PLK1/PRMT3/GNL3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,0.408989287087542,1.79924408437463,1.01834812685839e-06,1.27293515857299e-05,7.50361777685128e-06,4633,"tags=44%, list=26%, signal=33%","ATP5F1E/ATP5MF/UQCRQ/PRDX3/COX7C/ETFA/HADHA/CYB5A/VDAC1/NQO2/UQCRH/SDHB/SLC25A5/TOMM70/MRPL11/TOMM22/NDUFB6/UQCRFS1/COX10/POLR2F/ACAA2/ATP5F1A/NDUFA1/COX17/ETFDH/NDUFS6/HADHB/ISCU/DLAT/MRPS22/COX7B/TIMM9/MRPS12/ATP5PO/PMPCA/LDHB/NDUFC2/ATP5MC1/OXA1L/ATP5F1C/HTRA2/NDUFB1/ACAT1/MRPS11/HSD17B10/NDUFB2/IDH3G/COX5A/ATP5ME/VDAC3/TIMM50/CYC1/TIMM13/NDUFB4/SUCLA2/ACO2/NDUFS4/GLUD1/RHOT1/ATP5F1B/UQCR11/PHB2/MTX2/ECH1/NDUFA4/MRPS15/MRPL35/SLC25A3/ATP5MC3/PDK4/GPI/MDH2/SLC25A12/ALAS1/ATP5MG/RETSAT/MRPS30/UQCRB/BAX/NDUFB7/HCCS/FH/AIFM1/GOT2/COX7A2/DLD/GRPEL1/UQCRC2"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",159,-0.508644303302243,-1.86977447692533,1.56023142195154e-06,1.56023142195154e-05,9.19715364518802e-06,1538,"tags=22%, list=9%, signal=20%","CHRNG/PNMT/PCDHB1/SOX10/KCND1/RGS11/NUDT11/KLK7/ALOX12B/SLC5A5/ARHGDIG/MACROH2A2/NTF3/IDUA/ATP6V1B1/SELENOP/SLC6A3/KCNN1/MAGIX/SLC38A3/MYO15A/NRIP2/P2RX6/SPTBN2/PDE6B/EFHD1/TGFB2/GPRC5C/THRB/CELSR2/SPHK2/CNTFR/HTR1D/TLX1/FGFR3"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",192,-0.450618992229305,-1.68775261749575,5.88608422276809e-05,0.000490507018564007,0.000289140979364046,2664,"tags=26%, list=15%, signal=22%","DUSP2/CXCL12/PRKAR2B/TOB1/PLXNB1/CLIC3/ALDH3A2/MEST/PERP/ST6GALNAC2/PRSS23/CA2/PRLR/LLGL2/SCUBE2/ID2/NMU/FARP1/RAPGEFL1/CPE/GPER1/ATP2B4/FOS/AFF1/ZFP36/TIAM1/IL17RB/MYB/ASS1/KLF4/TJP3/SERPINA1/DHRS2/NAB2/FOXC1/SEMA3B/TFAP2C/RET/MDK/PLAAT3/SCNN1A/CDH1/HR/CELSR2/EGR3/CCND1/CACNA2D2/CKB/FGFR3"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,0.367969359527044,1.60887571803889,0.000182019477810495,0.00130013912721782,0.000766397801307348,4100,"tags=39%, list=23%, signal=30%","MKI67/CDKN3/INCENP/CDC20/CKS2/KPNA2/HMMR/TOP1/BIRC5/MAP3K20/DDX39A/TPX2/CENPE/MYC/ODF2/CDK1/HMGA1/TTK/MAD2L1/RACGAP1/NCL/PLK4/FBXO5/GSPT1/DKC1/CDC27/WRN/PRIM2/AMD1/CUL3/RASAL2/BUB3/CCNA2/CKS1B/SMC4/KIF20B/KIF23/KNL1/XPO1/PML/NEK2/ORC5/CENPA/TACC3/PTTG1/DBF4/CBX1/SYNCRIP/UPF1/UCK2/CHEK1/ESPL1/RAD21/MAPK14/SLC12A2/UBE2S/PLK1/PRC1/CCNF/H2AZ1/KIF5B/LIG3/FOXN3/KIF11/SNRPD1/PRMT5/SRSF1/HNRNPD/TOP2A/CHAF1A/KIF2C/CUL4A/CCNB2/PDS5B/CENPF/NDC80"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",112,0.418697210935107,1.68572243622566,0.000234491669450248,0.00130273149694582,0.000767925935041748,4393,"tags=42%, list=24%, signal=32%","NPM1/RPS14/MTHFD2/EIF2S1/IMP3/RRP9/EIF4A2/DCP2/BAG3/SDAD1/DKC1/CXXC1/EIF4E/YIF1A/EIF4A1/CKS1B/EXOSC5/CEBPB/SPCS3/CNOT2/PDIA6/SSR1/HSP90B1/DDX10/ALDH18A1/MTREX/SPCS1/NHP2/EDEM1/ATF6/EXOSC2/KIF5B/EIF4EBP1/ATF3/NOP14/LSM1/TARS1/FKBP14/CALR/SEC11A/NABP1/ERN1/EIF4G1/XPOT/SRPRB/SERP1/EIF4A3"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",198,0.362247039119845,1.5900233540952,0.000218800022058669,0.00130273149694582,0.000767925935041748,4004,"tags=35%, list=22%, signal=28%","BTG2/HSPD1/CDKN1A/STIP1/HSPA4/EPRS1/GMPS/PSMD14/DDX39A/PSMD13/PPIA/MTHFD2/RRP9/HSPE1/CFP/IFI30/TFRC/TUBA4A/HPRT1/PSMA4/NFKBIB/PSMC2/ACTR3/SLA/UBE2D3/UCHL5/PNO1/EIF2S2/HMBS/SORD/PSMA3/VLDLR/PLOD2/COPS5/SSR1/HSP90B1/PSMB5/EEF1E1/ACTR2/ATP5MC1/ELOVL5/CACYBP/PPA1/NMT1/MTHFD2L/AK4/PITPNB/PSMC6/EDEM1/ADD3/GLRX/PLK1/PSMG1/SLC2A1/FKBP2/FDXR/CCNF/ARPC5L/ETF1/GSK3B/NUFIP1/UNG/PSMC4/NUP205/STARD4/CALR/SEC11A/SDF2L1/GPI/POLR3G"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",196,-0.41959565667116,-1.5770101165404,0.000569476322603386,0.00284738161301693,0.0016784565297784,3863,"tags=31%, list=21%, signal=24%","ESRP2/KRT8/KLF10/THSD4/SYNGR1/TMPRSS3/ADCY1/KRT19/CLDN7/PDLIM3/HSPB8/NBL1/PODXL/SLC16A1/ELF1/TIPARP/CALB2/CISH/CXCL12/TOB1/CLIC3/ELF3/SH3BP5/CBFA2T3/PRSS23/BHLHE40/DHRS3/MED24/LRIG1/GJA1/MED13L/FARP1/RAPGEFL1/FOS/ABLIM1/AFF1/AKAP1/SLC39A6/TIAM1/IL17RB/MYB/KDM4B/KLF4/TJP3/INHBB/HES1/CELSR1/MUC1/DHRS2/FOXC1/SEMA3B/TFAP2C/RET/PLAAT3/SCNN1A/HR/CELSR2/EGR3/CCND1/OLFML3"
