"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",87,0.643965513807013,2.50359529247547,1e-10,5.50291695082445e-08,4.84698482420463e-08,2641,"tags=45%, list=15%, signal=38%","RPL35/RPL41/RPL39/RPS29/RPL37/RPS3A/RPL38/RPS14/RPL27/RPS21/RPL37A/RPL35A/RPL36/RPS18/RPL24/RPS7/RPL17/RPL10A/RPS15A/RPS24/RPS5/RPL34/RPL7/RPS6KA1/RPL12/RPS6/RPL21/RPS9/RPL5/RPS13/RPL32/RPL27A/RPS25/RPL30/RPS17/RPL23/RPS27A/RPLP1/RPL36A"
"WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES","WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES",110,-0.628970789518796,-2.24433561529422,1.50971658458833e-10,5.50291695082445e-08,4.84698482420463e-08,3413,"tags=45%, list=19%, signal=37%","LRP6/FZD1/GLI3/BMP4/WNT5B/PRKCH/PRKCD/WNT3/HES6/FGF1/NOTCH2/MAPK11/MAPK10/FZD6/FGF2/SMAD4/JAG2/SOX9/BMPR1A/PRKCG/HEY1/MAPK7/WNT8A/PIK3R3/PRKCA/WNT5A/BMP2/MAPK4/WNT9A/SMO/PIK3R6/FGF10/JAG1/DLL1/PTCH1/GLI2/IHH/WNT10B/FGFR1/WNT7B/FGFR2/FGF8/FGF4/FZD5/NOTCH3/HES2/FZD8/HES3/WNT4/FGFR3"
"WP_NEURAL_CREST_DIFFERENTIATION","WP_NEURAL_CREST_DIFFERENTIATION",95,-0.646322370254337,-2.25107734256126,2.77052744490582e-10,6.73238169112113e-08,5.9299008469914e-08,1931,"tags=35%, list=11%, signal=31%","FGF2/CDH7/SOX9/PRTG/SOX10/DVL2/ZIC5/WNT8A/GBX2/SOX5/MYB/FGF19/DLL1/HDAC5/HES1/PAX7/FGFR1/HES5/OLIG3/FGFR2/FGF8/BMP7/ID1/AXIN2/CDH1/DMBX1/NOTCH3/ZIC1/DLX5/CDH6/TFAP2A/LHX5/FGFR3"
"WP_MESODERMAL_COMMITMENT_PATHWAY","WP_MESODERMAL_COMMITMENT_PATHWAY",143,-0.553841713761196,-2.03828911335571,4.20112979184071e-08,7.6565590456297e-06,6.74391887637588e-06,2414,"tags=30%, list=13%, signal=26%","INHBA/TEAD2/SMAD6/TBX6/LATS1/RARG/BHLHE40/PIAS1/SMAD3/SMAD4/NANOG/TET1/BMPR1A/NODAL/CCDC6/BCORL1/ZIC5/AHDC1/EPB41L5/TWSG1/HES7/SOX2/DLL1/CHRD/KLF4/WDHD1/FOXH1/LEF1/FGFR1/PITX2/ZIC2/TOX3/FOXC1/FGF8/BMP7/MIXL1/AXIN2/FZD5/CCND1/FZD8/SOX21/ZIC3/TBX1"
"WP_HEART_DEVELOPMENT","WP_HEART_DEVELOPMENT",40,-0.723505239005707,-2.14707847634038,3.57197785785046e-07,5.20794371674597e-05,4.58717156481849e-05,2291,"tags=42%, list=13%, signal=37%","TBX5/ERBB3/BHLHE40/SMAD4/BMPR1A/NFATC4/VEGFA/HEY1/BMP2/FGF10/NFATC1/FOXH1/PITX2/FOXC1/FGF8/IRX4/TBX1"
"WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER","WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER",149,-0.517818907470475,-1.91347029407745,1.12696926595246e-06,0.000136926765813224,0.000120605482847544,2279,"tags=28%, list=13%, signal=25%","CLDN4/CLDN9/MAPK11/CLDN16/PROX1/FZD6/MMP15/SMAD3/SMAD4/COL4A5/JAG2/AKT1/COL4A1/ID2/SOS2/TGFBR1/CLDN1/WNT8A/PIK3R3/WNT5A/WNT9A/JAG1/CLDN6/OCLN/NRP2/DSP/DLL1/COL4A2/FN1/WNT10B/WNT7B/ZEB2/CLDN3/ID1/TWIST2/TGFB2/CDH1/FZD5/NOTCH3/FZD8/WNT4/DLK1"
"WP_PROTEASOME_DEGRADATION","WP_PROTEASOME_DEGRADATION",60,0.589587567476197,2.17929869999873,1.98236388017502e-06,0.000180642908580949,0.000159110785119311,4209,"tags=52%, list=23%, signal=40%","PSMA5/PSMD13/PSMA6/PSMA7/UBB/PSMD8/PSMA1/PSMA2/PSMB1/PSMA4/PSMD1/PSMC2/PSMB6/UBE2D3/PSMD7/PSMD6/PSMD3/PSMB8/PSMC3/PSMB10/PSMA3/PSMB5/PSMC6/UCHL3/H2AZ1/HLA-F/RPN2/PSMC4/PSMB2/PSMB3/PSMB7"
"WP_BREAST_CANCER_PATHWAY","WP_BREAST_CANCER_PATHWAY",146,-0.514676717547943,-1.89671931105698,1.82208448231548e-06,0.000180642908580949,0.000159110785119311,1931,"tags=23%, list=11%, signal=21%","FGF2/JAG2/AKT1/KIT/SOS2/FRAT2/DVL2/FGF17/HEY1/PIK3R3/NCOA1/FOS/WNT5A/FGF10/FGF19/DLL1/LEF1/GADD45G/HES1/WNT10B/FGFR1/HES5/WNT7B/FRAT1/FGF8/AXIN2/FGF4/FZD5/NOTCH3/CCND1/FZD8/SHC2/APC2/WNT4"
"WP_P53_TRANSCRIPTIONAL_GENE_NETWORK","WP_P53_TRANSCRIPTIONAL_GENE_NETWORK",87,0.500417218074345,1.94551131168192,2.18451841156118e-05,0.00176945991336455,0.0015585452994764,3467,"tags=38%, list=19%, signal=31%","RRM2B/BTG2/CDKN1A/LIF/MSH2/ZMAT3/ACAD11/SESN1/MGMT/GADD45A/GPX1/PRKAB2/DEPTOR/CCNE1/XPC/ULBP2/TNFRSF10D/APAF1/ULBP1/PCNA/BBC3/POLH/ERCC5/PML/SERPINB5/DRAM1/TIGAR/NCF2/SLC2A1/TNFRSF10B/SESN2/TP53INP1/XRCC5"
"WP_NEPHROGENESIS","WP_NEPHROGENESIS",18,-0.801101602947019,-2.02210488505811,2.90883318545608e-05,0.00212053939219748,0.0018677770980297,1259,"tags=39%, list=7%, signal=36%","ALDH1A2/JAG1/FGF8/BMP7/RSPO1/WNT4/GREB1L"
