"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.5076051551739,-2.17683395268372,1e-10,5e-09,3.36842105263158e-09,4696,"tags=49%, list=26%, signal=36%","ATP5ME/NDUFS1/COX15/PDHX/MTRF1/UQCRC2/NDUFS7/PDP1/IDH3B/TIMM10/BDH2/HSPA9/NDUFA7/SUPV3L1/COX11/ATP1B1/NDUFC1/COX4I1/UQCRC1/NDUFV2/COX5A/ATP5MG/TOMM22/UQCR11/COX17/CASP7/COX7B/MRPL34/ATP5F1C/ATP5MC3/VDAC1/NDUFB7/UQCRB/UQCRH/ATP5PD/COX7A2/ATP5PF/ATP5MC1/ATP6V1E1/TIMM8B/VDAC3/ACAA1/MRPL15/COX5B/DLST/PHB2/NDUFA4/MRPL35/MGST3/VDAC2/NDUFA9/RHOT2/ATP5F1B/ACO2/SLC25A20/NDUFB3/SLC25A6/COX6C/COX8A/NDUFA8/LRPPRC/MRPS30/UQCRFS1/COX6A1/SDHA/NQO2/ATP6V1C1/GPI/NDUFB5/TIMM13/TOMM70/GRPEL1/ATP5PB/PDHB/IDH3A/MPC1/TIMM17A/NDUFAB1/SLC25A11/DLAT/SUCLG1/SLC25A4/DECR1/ATP6V1D/CS/CYCS/PDHA1/NDUFV1/NNT/ATP6V1G1/AFG3L2/SDHD/NDUFA5/LDHA/ATP6V1H/OAT/CPT1A"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.411645738819353,-1.76585631914991,2.40983600985029e-06,6.02459002462574e-05,4.05867117448471e-05,4755,"tags=43%, list=26%, signal=32%","GSPT1/RFC1/EXOSC8/PSMC3IP/MRE11/LYAR/CHEK1/CTCF/CSE1L/GINS1/DCK/STMN1/SMC1A/HNRNPD/POP7/LBR/NAP1L1/DCLRE1B/NOLC1/PAICS/LMNB1/PA2G4/SYNCRIP/DONSON/RAN/PRPS1/EIF2S1/POLE/ORC6/RAD50/RRM2/PLK4/NUP153/NUP107/MYC/H2AX/NASP/BRCA1/SMC3/AURKA/NBN/MAD2L1/RFC3/PSIP1/CDC25A/ING3/TUBB/ILF3/EZH2/TRIP13/MSH2/SRSF2/DEK/CDCA3/BARD1/MCM6/UBR7/E2F8/PRKDC/PPM1D/ATAD2/UBE2T/NAA38/USP1/CHEK2/RFC2/MCM7/RAD51AP1/CDKN1B/HUS1/MCM2/MXD3/TMPO/SLBP/IPO7/MCM4/CCP110/DSCC1/NUDT21/JPT1/PCNA/STAG1/DUT/ANP32E/HMGB3/HELLS"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",192,0.393504995277753,1.7313976241565,7.08135770887787e-06,0.000118022628481298,7.95099812926638e-05,3700,"tags=40%, list=21%, signal=32%","SLIT2/CLDN19/MSN/CADM2/RRAS/COL9A1/TGFBI/NRXN2/HADH/NLGN3/SHC1/CX3CL1/NFASC/FBN1/CD34/MAP4K2/MPZL1/CADM3/ICAM5/NECTIN2/SLC30A3/MPZL2/CD276/COL16A1/CDH15/CLDN5/ACTN2/DSC3/EXOC4/ICAM2/RAC2/NECTIN1/CD274/VCAM1/TRO/CLDN4/ACTN3/VASP/MYL9/B4GALT1/SDC3/TSPAN4/PKD1/MVD/PECAM1/CDK8/ACTG2/SYMPK/ACTN1/TMEM8B/CDH11/LAMB3/PTPRC/MAPK13/DMP1/CNN2/IRS1/NEXN/CLDN11/ITGA10/PFN1/ICAM1/THY1/CDH4/ZYX/PCDH1/AKT3/STX4/ACTN4/PTK2/VCL/LAYN/ICAM4/ACTB/ATP1A3/GNAI2"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",188,0.392771220622477,1.72670792172157,1.17699107267184e-05,0.00014712388408398,9.91150376986811e-05,4038,"tags=42%, list=22%, signal=33%","RYR1/TNNT1/BIN1/PTGIS/MYL11/DMPK/FLII/SOD3/TNNT2/MYH11/TNNC1/SMTN/TNNI1/NAV2/AGRN/HRC/TPM2/MB/SH3BGR/MYH2/BDKRB2/PTP4A3/DAPK2/ACTN2/MYL7/ITGA7/GAA/PSEN2/PFKM/IFRD1/SGCA/SYNGR2/ACTN3/MYL6B/GPX3/SSPN/PPP1R3C/MYL3/AEBP1/FHL1/GSN/COL6A3/GJA5/IGFBP3/VIPR1/LSP1/AK1/TGFB1/FABP3/FDPS/MYOM1/PVALB/GNAO1/COL1A1/TAGLN/CRYAB/APLNR/PDLIM7/NCAM1/RIT1/CACNG1/ANKRD2/ATP6AP1/ACSL1/DENND2B/PGAM2/LARGE1/PICK1/KIFC3/MYH7/SPARC/CDH13/CTF1/CHRNG/MYL4/COL15A1/HSPB8/ACTC1/IGFBP7"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",167,0.389022330217617,1.67683323416583,2.16381682606895e-05,0.000216381682606895,0.000145772923019382,4681,"tags=43%, list=26%, signal=32%","GPC3/TACR3/CALCRL/ITGA5/STAB1/TIMP1/CX3CL1/BTG2/PROK2/CXCL6/EBI3/PSEN1/OSMR/IL1R1/BST2/PCDH7/PTGER4/PTGER2/OSM/CD70/PTPRE/CD40/NOD2/PDE4B/TNFSF15/IL18/EMP3/IL2RB/CMKLR1/P2RY2/ITGB3/PIK3R5/AXL/PTGIR/KCNA3/CD82/SLC7A1/SGMS2/TNFRSF1B/CCL22/IL10RA/BDKRB1/P2RX7/APLNR/ICAM1/PLAUR/IRF1/SLC1A2/ADORA2B/LIF/SELL/TPBG/ATP2A2/RIPK2/IL18R1/LCK/ICAM4/TLR2/BEST1/LCP2/TNFSF9/MSR1/GNA15/C5AR1/SPHK1/NMUR1/HPN/SERPINE1/TAPBP/TNFAIP6/CDKN1A/CSF3R"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,-0.389303709480209,-1.67271851648457,5.02164200073637e-05,0.000418470166728031,0.000281916743900989,4782,"tags=40%, list=27%, signal=30%","NCL/GSPT1/TROAP/CASP8AP2/ARID4A/RBL1/RAD23B/AMD1/HNRNPU/CHEK1/CTCF/STMN1/SMC1A/HNRNPD/STIL/CCNT1/UPF1/LBR/NOLC1/LMNB1/DTYMK/SYNCRIP/CCNA2/GINS2/SMARCC1/TENT4A/PRP4K/PAFAH1B1/POLE/KNL1/ORC6/G3BP1/PLK4/MYC/CUL1/H2AX/NASP/AURKA/MAD2L1/CUL5/CDC25A/CDC6/SRSF10/NOTCH2/ILF3/EZH2/SRSF2/KIF20B/KIF11/BARD1/MCM6/EWSR1/SFPQ/CDC45/BCL3/CHAF1A/CDKN1B/SMAD3/HUS1/MCM2/EXO1/TMPO/CDC7/KATNA1/NUP50/DR1/TNPO2/TLE3/PURA/JPT1/SAP30/FOXN3/MT2A/STAG1/E2F1/MNAT1/SMC2/HMGB3/CCND1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.371038660394038,-1.59166220203061,0.000116360121671344,0.000831143726223887,0.00055992840503504,4755,"tags=38%, list=26%, signal=28%","GSPT1/EIF4E/UBE2E1/PSMA6/RAD23B/RPS6/HNRNPU/PSMC6/C1QBP/HNRNPD/CCT2/STARD7/PWP1/APEX1/HNRNPA3/CNBP/AP3S1/SRSF3/NAP1L1/NOLC1/RPL34/ABCE1/PA2G4/UBE2L3/SYNCRIP/CCNA2/COX5A/LSM2/RAN/SRPK1/SMARCC1/EIF2S1/HSP90AB1/G3BP1/VDAC1/NOP16/CBX3/MYC/CUL1/PRPS2/UBA2/VDAC3/MAD2L1/PHB2/RPL22/CCT5/SNRPB2/SNRPD3/SRSF2/DEK/MCM6/GNL3/RPL14/CDC45/EIF4G2/USP1/MCM7/FAM120A/DDX21/MCM2/MRPS18B/TOMM70/MCM4/NCBP2/PGK1/EIF3B/RPS3/NDUFAB1/PCNA/U2AF1/DUT/PCBP1/MRPL23/TCP1/LDHA"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",173,0.355178226679721,1.54388525989332,0.000464101029737415,0.00290063143585884,0.00195410959889438,3915,"tags=36%, list=22%, signal=28%","FYN/PDGFB/ADRA2B/HPCAL4/TIMP1/APOBEC3G/F10/C1S/LIPA/PRCP/PSEN1/CBLB/PLA2G4A/PRSS3/GNG2/CPQ/PLAT/APOC1/LRP1/GPD2/ACTN2/LTF/ZFPM2/APOBEC3F/MAFF/SERPING1/DGKG/ITGAM/PIK3R5/DOCK10/DUSP6/GNGT2/CEBPB/HNF4A/CPM/CTSH/TMPRSS6/CR2/PLA2G7/SH2B3/CTSL/ERAP2/ME1/PFN1/ZEB1/CXCL1/PSMB9/L3MBTL4/PLAUR/IRF1/CASP4/HSPA5/CTSD/STX4/CSRP1/LCK/GNAI2/CDH13/F8/LCP2/F5/SERPINC1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,0.33988681645076,1.49166510809673,0.00117512478315855,0.00652847101754751,0.00439812784340043,2931,"tags=30%, list=16%, signal=25%","SLIT2/PTX3/PDGFRB/TGFBI/BGN/ELN/ITGA5/SNAI2/TIMP1/NT5E/APLP1/NTM/LOXL2/FBN1/CXCL6/LOXL1/P3H1/COLGALT1/PCOLCE/CCN2/NID2/THBS1/TPM2/LRP1/ACTA2/PLOD1/COL16A1/TGM2/CCN1/WIPF1/EMP3/LRRC15/FAS/SFRP1/VCAM1/PPIB/ITGB3/FMOD/MYL9/SFRP4/CADM1/MATN3/GADD45A/FBLN2/COL6A3/CD44/IGFBP3/CDH11/TGFB1/BASP1/COL1A1/TAGLN/PDLIM4/PLOD3/CXCL1/THY1/PLAUR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",178,0.30705795793217,1.34682894049099,0.0111825288968561,0.0559126444842806,0.0376674657578311,2086,"tags=22%, list=12%, signal=20%","LGALS3BP/CD74/IFI30/ISOC1/OAS3/BATF2/MX2/SP110/C1S/UBE2L6/PFKP/PLA2G4A/IRF8/BST2/IFIT1/STAT1/IL7/TRIM14/ITGB7/CD40/CSF2RB/ISG15/PDE4B/NLRC5/IL2RB/FAS/CD274/SERPING1/VCAM1/CMKLR1/RBCK1/PELI1/LATS2/IDO1/APOL6/AUTS2/PSMB8/SLC25A28/SSPN"
