"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",118,-0.521690731142928,-2.14025992044531,5.55329213032326e-08,7.54692400510931e-05,6.0677023487111e-05,6133,"tags=57%, list=34%, signal=38%","EIF4H/RPS27L/RPS8/RPS25/RPS24/RPS19/RPL29/EIF4A1/RPL23A/EIF1AX/RPL36/RPL4/RPL15/RPL28/RPL26L1/RPL38/RPS17/RPL21/RPL10A/EIF3D/RPL7/RPL32/EIF4B/EIF3J/EIF3L/EIF4E/RPL27/RPS6/RPL8/EIF5/EIF3E/RPL17/RPS11/EIF3H/RPS21/RPS23/RPS15A/RPL36AL/EIF3F/RPS20/RPL31/RPL34/RPL23/RPS15/RPL35A/RPS13/EIF2S1/RPLP2/RPSA/RPS16/RPL11/RPS12/RPL26/RPL22/RPL13A/EIF2S3/RPS27A/RPL14/EIF2B1/RPL27A/UBA52/EIF3K/EIF3A/EIF2B5/RPL10L/EIF3B/RPS3"
"REACTOME_SUMOYLATION","REACTOME_SUMOYLATION",182,-0.429584275498616,-1.85270673822633,7.8255623092682e-07,0.000157328905848436,0.000126491928485091,3765,"tags=38%, list=21%, signal=30%","DNMT3A/CREBBP/NUP85/NR1H2/H4C8/ZNF131/IKBKG/VHL/HNRNPK/SIN3A/NUP37/RANBP2/EP300/PHC3/NCOA2/NUP153/NUP107/NUP43/BRCA1/NUP42/SMC3/NDC1/UBA2/AURKA/PPARGC1A/EIF2AK2/HIC1/CBX8/TOPORS/NFKBIA/PIAS1/DDX5/RNF168/THRA/EID3/STAG2/ZNF350/NR2C1/PHC2/NUP54/HERC2/NUP58/XRCC4/NUP88/DNMT3B/CHD3/CBX2/SUZ12/RORA/AR/NUP50/PIAS2/MDM2/PCNA/NOP58/TFAP2A/ESR1/TDG/STAG1/NCOA1/NR3C1/ZBED1/THRB/HIPK2/TFAP2C/TRIM27/RING1/NR5A2/SATB2"
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",230,0.395634679870129,1.80496308883826,8.1037699848348e-07,0.000157328905848436,0.000126491928485091,4723,"tags=47%, list=26%, signal=35%","TAC3/TACR3/ADRA2B/CX3CL1/HTR1B/PTGFR/QRFPR/PROK2/NTSR1/CXCL6/PLPPR5/ADRB2/GPR39/ACKR1/PTGER3/PROKR2/SSTR3/EDNRA/RLN2/PTGER4/CXCR2/GALR3/PTGER2/S1PR2/OPRD1/AVPR2/PLPPR2/BDKRB2/OXGR1/PSAP/GPR17/GPR143/GPR37L1/CCK/APLN/INSL3/C5AR2/CCL25/DRD3/CMKLR1/GPER1/MCHR1/AGT/P2RY2/ADRB3/PTGIR/FFAR3/HEBP1/PDYN/NMUR2/CXCL5/MLNR/PTGDR/HTR1A/AVPR1B/CCL22/P2RY6/LPAR4/PRLHR/HTR1E/CXCL3/TAC1/ADORA1/PENK/BDKRB1/HTR6/XCL1/LPAR2/APLNR/GPR68/NTS/ADRB1/CXCL2/CXCL1/EDN2/AVPR1A/ADORA2B/HTR7/NPY1R/NPY5R/DRD2/C5/SST/S1PR3/TBXA2R/NPFFR1/OXTR/DRD5/OXT/F2RL2/CCR8/KISS1/LPAR5/CHRM2/C5AR1/LHB/NMUR1/OPN3/CXCR4/FSHR/CCR1/ECE2/CHRM3/GHRL/ADRA1D/CCR6/RRH/GPBAR1"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",283,-0.388161939883524,-1.75348162081169,7.04309536203358e-07,0.000157328905848436,0.000126491928485091,6328,"tags=49%, list=35%, signal=32%","POLR2H/RBMX2/CSTF1/PPIL1/SF3B4/RNPS1/DHX15/HTATSF1/MAGOH/CSTF3/CCAR1/C9orf78/FIP1L1/PRPF6/CHERP/DDX41/PHF5A/THOC3/SRSF5/SF3B6/HNRNPA1/YJU2/SNRNP35/WBP11/PPP1R8/NUP98/NSRP1/CSTF2/SNRPD1/SRSF1/SNRPA1/TRA2B/ZMAT2/POLR2B/HNRNPF/PCF11/PPIG/PTBP1/FAM32A/CDC5L/CWF19L2/SAP18/LENG1/ZCRB1/UBL5/CPSF4/DHX35/EIF4E/POM121C/SF3B2/PPIL4/HNRNPU/SRSF8/SMNDC1/LUZP4/SMU1/POLR2D/SNRPC/AAAS/WTAP/CWC22/HNRNPD/DDX42/BCAS2/THOC7/HNRNPA3/SRSF3/WDR33/RBMX/NUP85/SUGP1/SNRNP27/POLR2C/PPIL2/LSM2/HNRNPK/HNRNPM/LSM4/NXF1/PRP4K/NUP37/RANBP2/DHX16/CPSF6/DHX38/NUP153/NUP107/NUP43/NUP42/PAPOLA/NDC1/SF3A3/U2SURP/LSM8/PRPF38A/SNIP1/METTL14/CDC40/SRSF10/PRPF40A/SNRPB2/DDX46/SNRPD3/SRSF2/STEEP1/PPWD1/GPATCH1/SRSF4/GLE1/DDX5/HNRNPH2/LSM5/PABPN1/CWC25/POLR2K/SLU7/NUP54/NUP58/RNF113A/FYTTD1/NUP88/SYF2/RBM17/WBP4/IK/SLBP/SDE2/NCBP2/NUP50/NUDT21/CPSF2/PRPF8/CRNKL1/U2AF1/FUS/GTF2F2/PCBP1/AQR"
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION","REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",301,-0.38356629353186,-1.74089061096199,5.47512658319315e-07,0.000157328905848436,0.000126491928485091,3963,"tags=34%, list=22%, signal=27%","SMARCE1/MED4/ZNF224/TBP/ZNF816/DNMT3A/TAF1C/CREBBP/H2BC26/SMARCA5/LPIN1/GTF2H4/H4C8/H2BC17/KANSL3/ZNF273/CCNC/MGLL/POLR1F/SIN3A/SMARCC1/MED14/AEBP2/PAXIP1/MBD3/PLIN2/EP300/SETD1B/ZNF418/MED31/ARID1B/NCOA2/ZNF454/SMARCA2/CBX3/H2AX/MED17/ZNF610/PPARGC1A/MED1/ZNF264/PSIP1/SUDS3/WDR82/H3C6/MED6/MPHOSPH8/SIN3B/EHMT1/EZH2/CCNH/TET3/DEK/ZNF534/PAGR1/PHF19/SIRT1/ZNF765/GTF2H3/POLR2K/MED24/SMARCD2/GTF2H1/GPAM/SAP30L/AGPAT2/TTF1/BAZ1B/ZNF680/TBL1XR1/BOD1L1/DNMT3B/DDX21/H3-3B/CHD3/NCOA3/MBD2/SUZ12/DR1/H2BC15/PPHLN1/PHF20L1/ZNF28/SAP30/KMT2C/PPARGC1B/CDK5/TBL1X/ASH2L/JARID2/RB1/H2AJ/TDG/CEBPA/MNAT1/NCOA1/ZNF649/NCOA4/ZNF257/CDK7/MTA3/TET1/SCD5"
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53",350,-0.373091027425808,-1.71925306339682,6.60991079922988e-07,0.000157328905848436,0.000126491928485091,3641,"tags=31%, list=20%, signal=26%","COX4I1/TAF1/CNOT7/GTF2H4/PPP2CA/POLR2C/CCNA2/DYRK2/COX5A/CCNB1/ELL/COX7B/ZNF420/MBD3/TP53BP2/EP300/CSNK2A2/RAD50/GSR/PRKAG1/COX7A2/BRCA1/MAPKAPK5/AURKA/PTEN/NBN/CRADD/COX5B/FANCD2/NDUFA4/RFC3/DNA2/TAF2/EHMT1/YWHAG/CCNH/MSH2/NOC2L/PIP4P1/BARD1/ARID3A/SFN/ELOA/RPS27A/E2F8/CCNT2/MT-CO2/GTF2H3/MOV10/COX6C/TAF11/COX8A/NELFCD/RICTOR/LAMTOR3/CHEK2/RFC2/MT-CO3/PRKAG2/POLR2K/PERP/MT-CO1/UBA52/COX6A1/TAF9/GTF2H1/MAPK11/TOPBP1/PMAIP1/CHM/KAT6A/AGO2/CDKN1B/GPI/HUS1/RMI1/PPP2R1A/BRIP1/JMY/EXO1/CHD3/CASP6/SMYD2/MDM2/HIPK1/AGO1/PCNA/CCNA1/MAPKAP1/CDK5/PDPK1/PIP4K2A/CYCS/USP7/GTF2F2/COX7A1/E2F1/MNAT1/PCBP4/RRAGA/GLS/CDK7/TCEA1/PPP2R1B/RABGGTB/TNRC6A/HIPK2/AKT1/SGK1/RRAGD"
"REACTOME_GPCR_LIGAND_BINDING","REACTOME_GPCR_LIGAND_BINDING",337,0.359616418099806,1.6954075711036,2.98891734703796e-07,0.000157328905848436,0.000126491928485091,3437,"tags=35%, list=19%, signal=29%","TAC3/GRM8/TACR3/FZD9/ADRA2B/CALCRL/CX3CL1/HTR1B/PTGFR/QRFPR/PROK2/NTSR1/CXCL6/PLPPR5/WNT2B/ADRB2/SCTR/CRHR2/GPR39/ACKR1/PTGER3/PROKR2/SSTR3/GNG2/EDNRA/RLN2/PTGER4/CXCR2/GALR3/PTGER2/ADM2/S1PR2/OPRD1/AVPR2/PLPPR2/BDKRB2/ADCYAP1R1/GRM3/OXGR1/PSAP/GPR17/GPR143/GPR37L1/CCK/APLN/INSL3/C5AR2/CCL25/FZD1/CALCB/DRD3/CMKLR1/GPER1/MCHR1/GRM5/AGT/P2RY2/ADRB3/PTGIR/FFAR3/HEBP1/PDYN/GNGT2/NMUR2/FZD2/CXCL5/MLNR/PTGDR/GLP1R/HTR1A/AVPR1B/GRM1/TAS1R2/WNT8B/FZD7/CASR/CCL22/VIPR1/P2RY6/LPAR4/PRLHR/HTR1E/CXCL3/TAC1/ADORA1/PENK/BDKRB1/HTR6/XCL1/GRM7/WNT4/LPAR2/PTH2/APLNR/CALCA/GPR68/GNG8/NTS/ADRB1/CXCL2/CXCL1/RAMP2/WNT3A/ADGRE5/EDN2/AVPR1A/ADORA2B/HTR7/NPY1R/NPY5R/WNT2/WNT16/DRD2/GNG4/C5/GRM4/SST"
"REACTOME_PROTEIN_UBIQUITINATION","REACTOME_PROTEIN_UBIQUITINATION",76,-0.550305140352461,-2.10966310984352,1.33072565945144e-06,0.000226057021399313,0.000181749109804026,5152,"tags=54%, list=29%, signal=39%","UBE2V2/H2BC4/UBE2D2/SELENOS/SKIC8/RNF181/UBE2E1/SHPRH/WAC/CDC73/UCHL3/UBE2L3/CTR9/RTF1/H2BC17/UBE2R2/PEX12/RAD18/UBE2N/PEX10/UBE2D1/PAF1/RPS27A/PRKDC/UBE2W/BCL10/UBE2T/UBA1/UBA52/UBA6/UBE2K/H2BC15/UBE2B/UBE2G2/RNF40/PCNA/UBE2Q2/USP7/RRAGA/UBE2G1/HLA-A"
"REACTOME_RESPONSE_TO_METAL_IONS","REACTOME_RESPONSE_TO_METAL_IONS",12,-0.872506175093763,-2.11018755370243,2.8606726372353e-06,0.000431961568222531,0.000347295695608216,576,"tags=67%, list=3%, signal=65%","MT2A/MT1A/MT1H/MT1E/MT1M/MT1F/MT1X/MT1G"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION",290,-0.370266478263953,-1.67030719973416,3.521142048333e-06,0.000478523204368455,0.000384731099596806,6133,"tags=48%, list=34%, signal=32%","EIF4H/TRAM1/MRPL13/MRPL16/RPS27L/RPS8/MRPS10/MTFMT/RPS25/RPS24/RPS19/MRPL38/LARS2/MARS2/RPL29/EIF4A1/MRPS12/ETF1/RPL23A/MRPL32/EIF1AX/RPL36/RPL4/RPL15/RPL28/MTIF3/RPL26L1/RPL38/RPS17/SRP9/RPL21/RPL10A/EIF3D/HARS1/FARSA/MRPL19/RPL7/RPL32/EIF4B/EIF3J/MRPL20/EIF3L/GSPT1/EIF4E/RPL27/RPS6/TSFM/MRPL49/RPL8/EIF5/SRPRA/EIF3E/RPL17/MRPL3/GFM1/MRPS17/RPS11/MRPL28/PTCD3/MRPL27/EIF3H/WARS2/MRPL44/MRPS34/RPS21/FARSB/RPS23/NARS1/RPS15A/MRPL57/RPL36AL/EIF3F/RPS20/GADD45GIP1/RPL31/ERAL1/RPL34/RPL23/AURKAIP1/MRPL39/KGD4/MRPL48/MRPL47/RPS15/RPL35A/MRPL40/RPS13/EIF2S1/RPLP2/MRPL34/RPSA/RPS16/RPL11/RPS12/CHCHD1/RPL26/MRPL15/SEC61G/RPL22/MRPL17/RPL13A/MRPL35/MRPL53/MRPL42/EIF2S3/DARS2/MRPS25/RPS27A/RPL14/SRP54/EIF2B1/MRPS35/PPA1/MRPL30/RPL27A/MRPS30/MRPL43/UBA52/EIF3K/MRPL12/EIF3A/MRPS28/EEF1A2/DARS1/EIF2B5/MRPS18B/RPL10L/QARS1/MTRF1L/MRPS18A/EIF3B/MTIF2/RPS3/MRPS18C/MRPL18/MRPS5/MRPL23/MRPS16"
