"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",104,-0.54979880054425,-2.20543825571893,1.56894961148391e-08,5.71882133385884e-06,4.89677431373662e-06,4696,"tags=61%, list=26%, signal=45%","ATP5ME/NDUFS1/COX15/UQCRC2/NDUFA10/NDUFS7/MT-ND4/MT-ND6/NDUFA7/MT-ND4L/MT-ND2/COX11/NDUFC1/COX4I1/UQCRC1/NDUFV2/COX5A/ATP5MG/MT-ND3/UQCR11/MT-ND1/COX17/COX7B/NDUFB10/ATP5F1C/ATP5MC3/NDUFB7/MT-CYB/UQCRB/UQCRH/ATP5PD/COX7A2/ATP5PF/NDUFS5/MT-ND5/ATP5MC1/COX5B/NDUFA4/NDUFA9/ATP5F1B/NDUFB3/MT-CO2/SLC25A6/COX6C/MT-ATP8/COX8A/NDUFA8/MT-CO3/MT-CO1/UQCRFS1/COX6A1/SDHA/DMAC2L/NDUFB5/ATP5PB/MT-ATP6/NDUFAB1/SLC25A4/NDUFV1/COX7A1/SLC25A14/SDHD/NDUFA5"
"WP_MESODERMAL_COMMITMENT_PATHWAY","WP_MESODERMAL_COMMITMENT_PATHWAY",143,-0.504105527227957,-2.12261091579418,1.05877096733002e-08,5.71882133385884e-06,4.89677431373662e-06,3805,"tags=43%, list=21%, signal=34%","PARP8/POU5F1/TRIM71/SOX2/SMAD6/PPP2CA/JAK2/LATS1/CRTC1/AEBP2/FZD4/HMGA2/BCORL1/ZIC2/TCF4/PAX6/VAV3/TBX3/ACVR2B/UBR5/BHLHE40/YAP1/TOX3/PIAS1/SETD2/CCDC6/TEX56P/SMAD4/HES7/TWSG1/ZIC5/SMAD3/DNMT3B/WNT3/NODAL/FZD8/FZD5/WDHD1/HTT/GDF3/PBX3/DLL1/JARID2/PITX2/KLF4/BMPR2/RGS10/FOXC1/GRHL2/SOX21/FGF8/EPB41L5/MIXL1/TET1/BMPR1A/FOXH1/AXIN2/NANOG/BMP7/ZIC3/CCND1/TBX1"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",87,-0.530846519008749,-2.05368171750962,7.02901746222453e-07,0.000170805124332056,0.000146252889652602,6025,"tags=56%, list=33%, signal=38%","RPS8/RPS25/RPS24/RPS19/RPL29/RPL23A/RPL36/RPL4/RPL15/RPL28/RPL38/RPS17/RPL21/RPL10A/MRPL19/RPL7/RPL32/RPL27/RPS6/RPL8/RPL17/RPS11/RPS6KA3/RPS21/RPS23/RPS15A/RPS20/RPL31/RPL34/RPL23/RPS15/RPL35A/RPS13/RPLP2/RPSA/RPS6KB1/RPS6KA6/RPS16/RPL11/RPS12/RPL26/RPL22/RPL13A/RPS27A/RPS6KA2/RPL14/RPL27A/UBA52/RPS3"
"WP_ZINC_HOMEOSTASIS","WP_ZINC_HOMEOSTASIS",34,-0.65889650497171,-2.12226653518907,1.3488902080073e-05,0.00160789133669668,0.00137676638894106,1226,"tags=32%, list=7%, signal=30%","SLC39A10/SLC39A6/MT2A/MT1A/MT1H/MT1E/MT1M/MT1F/MT1L/MT1X/MT1G"
"WP_HEART_DEVELOPMENT","WP_HEART_DEVELOPMENT",40,-0.627563595103727,-2.06437657109807,1.25031629789913e-05,0.00160789133669668,0.00137676638894106,2448,"tags=40%, list=14%, signal=35%","BHLHE40/FGF10/SMAD4/MAPK1/HEY1/MEF2C/PITX2/BMPR2/ERBB3/FOXC1/FGF8/BMPR1A/FOXH1/NFATC1/IRX4/TBX1"
"WP_OXIDATIVE_PHOSPHORYLATION","WP_OXIDATIVE_PHOSPHORYLATION",59,-0.558077166621222,-1.9835780230302,1.36480045317606e-05,0.00160789133669668,0.00137676638894106,4696,"tags=59%, list=26%, signal=44%","ATP5ME/NDUFS1/NDUFA10/NDUFS7/MT-ND4/MT-ND6/NDUFA7/ATP6AP2/MT-ND4L/MT-ND2/NDUFC1/NDUFV2/ATP5MG/MT-ND3/MT-ND1/NDUFB10/ATP5MC3/NDUFB7/ATP5PD/ATP5PF/NDUFS5/MT-ND5/ATP5MC1/NDUFA4/NDUFA9/ATP5F1B/NDUFA8/DMAC2L/NDUFB5/ATP5PB/MT-ATP6/NDUFAB1/NDUFA4L2/NDUFV1/NDUFA5"
"WP_NEURAL_CREST_DIFFERENTIATION","WP_NEURAL_CREST_DIFFERENTIATION",95,-0.485307979624284,-1.91127594445795,1.54392858119023e-05,0.00160789133669668,0.00137676638894106,1102,"tags=33%, list=6%, signal=31%","MYC/TCF4/HDAC5/HES1/NOTCH2/SOX5/MYB/ZIC5/HES5/COL11A2/ID1/OLIG3/HOXB1/FGFR2/DLL1/GBX2/TFAP2A/CDH6/FZD3/FGFR3/DMBX1/FGF8/ZIC1/RBPJ/CDH1/FGF19/FOXD3/LHX5/AXIN2/BMP7/PAX7"
"WP_CELL_CYCLE","WP_CELL_CYCLE",118,-0.45768213676036,-1.87075724836475,1.86020757933662e-05,0.00169511415667049,0.00145145144019291,3484,"tags=38%, list=19%, signal=31%","CCNA2/CCNB1/ORC1/CDC16/ORC6/EP300/CCND3/MYC/CUL1/SMC3/CDC25A/CDC6/YWHAG/CCNH/ANAPC5/MCM6/SFN/CCND2/CDC45/PRKDC/SMAD4/CDC14B/STAG2/ANAPC2/CHEK2/MCM7/GADD45G/CDKN1B/SMAD3/MCM2/PKMYT1/CDC7/CDK6/MCM4/MDM2/PCNA/CCNA1/RB1/TGFB2/MAD2L2/CDKN1C/STAG1/E2F1/CDK7/CCND1"
"WP_ADHD_AND_AUTISM_ASD_PATHWAYS","WP_ADHD_AND_AUTISM_ASD_PATHWAYS",338,0.317013727601195,1.48450926439412,5.01296217203494e-05,0.0040604993593483,0.00347682639534119,4253,"tags=35%, list=24%, signal=27%","GATM/MAT1A/GRM8/GRIA3/PDGFRB/PRKCB/PNPO/NRXN2/GRIN2B/DAGLA/NLGN3/STXBP1/SYP/FOLR1/MOCOS/SOD3/HNMT/ADRB2/KYAT3/DLG4/PRKACA/PTK2B/SCN4A/AOC1/NOS2/AKR1B1/DLG2/SLC52A1/CNTN2/GABRA2/SPR/COMT/AKR1C3/GRIA1/MAOA/GABRA4/GRM3/SOD1/PAH/SLC32A1/ALDH2/KCNA1/NRXN1/CNTNAP4/GABRA3/IDO1/AOX1/NLGN1/DBH/SNAP25/SCN2A/GRM5/DLG5/GLS2/SLC46A1/HOMER3/SCN11A/CD320/KCNA3/MTHFD2L/DLGAP2/PCBD1/DAG1/HPRT1/SCN7A/GRM1/LMBRD1/PRKACB/PLCG2/PIK3CD/HTR1E/FOLH1/GABRG1/HTR6/HTR3C/GRM7/CNTN3/SLC19A1/ADA/CNTN4/AKR1C1/SIRT3/GABRB1/ALDH9A1/MAOB/BHMT/NOS3/HTR7/STX1A/NCAM1/MTHFD2/AKT3/TDO2/CACNG1/DRD2/GRM4/MECP2/AKR1A1/DNMT1/PRKAA2/GRIN2D/OXTR/CACNG7/DRD5/NMNAT1/OXT/AHCY/GKAP1/MAP1LC3A/KYAT1/ASMT/FMO1/CACNG8/ALDH1L1/ATG101/ATG2A/CTNNB1"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",87,-0.473182175703566,-1.83059612994811,7.98967728929932e-05,0.00552414423693177,0.00473008090751648,3484,"tags=40%, list=19%, signal=33%","CCNA2/DHFR/CCNB1/SIN3A/ORC1/POLE/NPAT/RRM2/HMGB1/PLK4/CCND3/SMARCA2/MYC/SMC3/RFC3/CDC25A/BARD1/MCM6/CDC45/CCDC6/ZNF655/PRKDC/MCM7/CDKN1B/CDC7/CDK6/MCM4/MDM2/PCNA/SAP30/RB1/E2F1/SMC2/RBP1/CCND1"
