L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENST00000631435	0	0	0	0	0	0	0	0
ENST00000415118	0	0	0	0	0	0	0	0
ENST00000448914	0	0	0	0	0	0	0	0
ENST00000434970	0	0	0	0	0	0	0	0
ENST00000439842	0	0	0	0	0	0	0	0
ENST00000390567	0	0	0	0	0	0	0	0
ENST00000452198	0	0	0	0	0	0	0	0
ENST00000390569	0	0	0	0	0	0	0	0
ENST00000437320	0	0	0	0	0	0	0	0
ENST00000390571	0	0	0	0	0	0	0	0
ENST00000390572	0	0	0	0	0	0	0	0
ENST00000390574	0	0	0	0	0	0	0	0
ENST00000390575	0	0	0	0	0	0	0	0
ENST00000390577	0	0	0	0	0	0	0	0
ENST00000431870	0	0	0	0	0	0	0	0
ENST00000450276	0	0	0	0	0	0	0	0
ENST00000390578	0	0	0	0	0	0	0	0
ENST00000451044	0	0	0	0	0	0	0	0
ENST00000390580	0	0	0	0	0	0	0	0
ENST00000390581	0	0	0	0	0	0	0	0
ENST00000431440	0	0	0	0	0	0	0	0
ENST00000390583	0	0	0	0	0	0	0	0
ENST00000633210	0	0	0	0	0	0	0	0
ENST00000603693	0	0	0	0	0	0	0	0
ENST00000604838	0	0	0	0	0	0	0	0
ENST00000604446	0	0	0	0	0	0	0	0
ENST00000604102	0	0	0	0	0	0	0	0
ENST00000603935	0	0	0	0	0	0	0	0
ENST00000632911	0	0	0	0	0	0	0	0
ENST00000633504	0	0	0	0	0	0	0	0
ENST00000632304	0	0	0	0	0	0	0	0
ENST00000632542	0	0	0	0	0	0	0	0
ENST00000633353	0	0	0	0	0	0	0	0
ENST00000631803	0	0	0	0	0	0	0	0
ENST00000632828	0	0	0	0	0	0	0	0
ENST00000632422	6.321	0	0	0	0	0	0	0
ENST00000632713	0	0	0	0	0	0	0	0
ENST00000633384	0	0	0	0	0	0	0	0
ENST00000631557	0	0	0	0	0	0	0	0
ENST00000632308	0	0	0	1	0	0	0	0
ENST00000632512	0	0	0	0	0	0	0	0
ENST00000632016	0	0	0	0	0	0	0	0
ENST00000631427	0	0	0	0	0	0	0	0
ENST00000632148	0	0	0	0	0	0	0	0
ENST00000631392	0	0	0	0	0	0	0	1
ENST00000633472	0	0	0	0	0	0	0	0
ENST00000631882	2	1	2	0	0	0	0	2
ENST00000634123	0	0	0	0	0	0	0	0
ENST00000633328	0	0	0	0	0	0	0	0
ENST00000632248	0	0	0	0	0	0	0	0
ENST00000634176	0	0	1	0	0	1	0	0
ENST00000633575	0	0	0	0	0	0	0	0
ENST00000633072	0	0	0	0	0	0	0	0
ENST00000633313	0	0	0	0	0	0	0	0
ENST00000633696	0	0	0	1	0	0	0	0
ENST00000633963	0	0	0	0	0	0	0	0
ENST00000632187	0	0	0	0	0	0	0	0
ENST00000631511	0	0	0	0	0	0	0	0
ENST00000633265	0	0	0	0	0	0	0	0
ENST00000632216	0	0	0	0	0	0	0	0
ENST00000632425	0	0	0	0	0	0	0	0
ENST00000631548	0	0	0	0	0	0	0	0
ENST00000633790	0	0	0	0	0	0	0	0
ENST00000634093	0	0	0	0	0	0	0	0
ENST00000632560	0	0	0	0	0	0	0	0
