ensembl_gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	hgnc_symbol	description	chromosome_name	start_position	end_position	gene_biotype	entrezgene_id	TPM_JL	TPM_Control_1	TPM_Control_2	TPM_Control_3
ENSG00000000003	0.784117973322111	4.38819770998142	3.59980286484381	0.021182624177648	0.226509405409663	-3.44009126936851	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	X	100627108	100639991	protein_coding	7105	4.62333470555792	3.98833676220077	4.13410418847327	3.82448845028195
ENSG00000000419	-0.120876717851323	5.39196624359406	-0.752957753402325	0.491730770339438	0.75793753629658	-6.78189424780585	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	20	50934852	50959140	protein_coding	8813	6.22536983886528	6.48518275598184	6.33157105022559	6.3770119498175
ENSG00000000457	-0.118320671703033	3.31328367990529	-0.435840676845348	0.684555768536046	0.863142448433672	-6.57093280119842	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	1	169846981	169894267	protein_coding	57147	2.31123861650817	2.35405884985664	2.38165576682347	2.47085829583672
ENSG00000000460	-1.04584461363975	2.53386364580254	-0.821527178046592	0.457209925483486	0.735647155795217	-5.98785761801512	FIRRM	FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]	1	169662007	169855456	protein_coding	55732	1.68238002618814	3.98932587333244	1.50447293762182	3.07276215459256
ENSG00000000938	0.293417378363453	-2.60651695014061	0.231293103752913	0.827988424914999	0.931987800559307	-5.39020975247432	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1	27612064	27635565	protein_coding	2268	0.160121193957625	0.266174858233891	0.174903637552665	0.186598170790439
ENSG00000000971	2.54095999772427	4.1957193367733	14.3465504016952	0.000104273792104024	0.0933053180683468	2.27794628125951	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1	196651754	196752476	protein_coding	3075	5.18483369750191	2.9633583338033	3.06314256868282	3.1266877901336
ENSG00000001036	-0.219485121076477	6.59123363232566	-0.447352060276184	0.677634536749692	0.860277807726121	-7.00842065953702	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	6	143493961	143511842	protein_coding	2519	6.01894218708968	6.09742528630864	6.93782105253955	6.13245553685697
ENSG00000001084	0.597845477230289	4.13333833312962	2.77644257829001	0.0476887200587942	0.307353557669037	-4.30831149792745	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6	53497341	53616970	protein_coding	2729	3.57134018230363	3.00533512788991	3.2490382646491	3.5250609526234
ENSG00000001167	-0.274531097631729	4.79535634136885	-1.37291304544925	0.238940746383198	0.569144554323817	-6.06612116540047	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	6	41072946	41102403	protein_coding	4800	3.53046420761612	3.89317948371026	3.67616617681607	3.87111255693826
ENSG00000001460	-0.617332086175958	3.49168964581248	-0.562658509394995	0.603522483867069	0.822218591433022	-6.420304517303	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	1	24355886	24416934	protein_coding	90529	2.53825009248794	4.08005377080295	3.8184760372344	2.32163288928143
