ensembl_gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	hgnc_symbol	description	chromosome_name	start_position	end_position	gene_biotype	entrezgene_id	TPM_L438P_1	TPM_L438P_2	TPM_Control_1	TPM_Control_2	TPM_Control_3	TPM_Control_4	TPM_Control_5	TPM_Control_6
ENSG00000000003	0.144355106204659	-1.37921476615969	0.209285434114927	0.839277908183041	0.970637342858532	-5.58181018191961	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	X	100627108	100639991	protein_coding	7105	0.240669692342137	0.590473635780164	0.899735581429828	0.198428775127554	0.284971269585073	0.173012269191395	0.234009506430691	0.34404900393583
ENSG00000000419	-0.355960623285834	5.34293145211702	-1.8529562286642	0.0997257200471394	0.820111711728151	-5.40618374831686	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	20	50934852	50959140	protein_coding	8813	5.51864248736141	6.18684950216753	6.22545826328622	6.0933407383363	5.77725920840816	5.51376776191789	6.21280655864066	6.11398941341659
ENSG00000000457	-0.143157209208534	4.89367280658723	-0.899213026786107	0.393911901180527	0.858415651104734	-6.51638105233869	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	1	169846981	169894267	protein_coding	57147	3.62488521263795	3.831680478212	3.62502857800485	3.59049231918663	3.16503914587929	3.83313530208939	3.44799858825802	3.86753208807683
ENSG00000000460	-0.329077228335367	4.75557320452514	-1.39761845605414	0.198502128925667	0.820111711728151	-5.93104074080323	FIRRM	FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]	1	169662007	169855456	protein_coding	55732	4.00039930075784	4.04863281993946	4.14099553444915	4.28062692023313	3.477081607238	3.63738372787207	4.82139858373814	4.34113424900996
ENSG00000000938	0.391927965904287	7.48445351210834	0.828605200794619	0.430905704331404	0.865379876397006	-6.6893403491102	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1	27612064	27635565	protein_coding	2268	7.82223651396101	6.8156922844775	7.01205667844018	6.63841766749364	6.90839989878407	7.27865357699715	5.13096298425588	7.44923135752006
ENSG00000001036	0.271218273873972	4.84558064134375	1.43350030014996	0.188338667497151	0.820111711728151	-5.9571619972864	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	6	143493961	143511842	protein_coding	2519	4.59713525773295	4.86841178957102	4.95533442696735	4.43512823078692	4.04607776718186	4.11873247923042	3.92139034131242	4.26151983326855
ENSG00000001084	-0.314350588491194	4.19466800439482	-1.98815677112831	0.0807590007978598	0.820111711728151	-4.98441495116315	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6	53497341	53616970	protein_coding	2729	3.12973900138952	3.34507796511116	3.83306687267377	3.60499809986315	3.23044866878013	2.94414141684436	3.3934683715986	3.30831063106792
ENSG00000001167	-0.0373251574807361	5.60752222252896	-0.346185292950708	0.737827464494864	0.944217042768767	-6.97759991684928	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	6	41072946	41102403	protein_coding	4800	4.38945702234725	4.5327320017689	4.49107594768131	4.54478031229531	4.01157999037876	4.29556398141722	4.55164773059543	4.27033891272647
ENSG00000001460	0.180727338800714	1.52466476083997	0.563223481760726	0.588191161133378	0.905902234525141	-5.99785742347188	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	1	24355886	24416934	protein_coding	90529	1.47561360125135	2.05173577513631	1.66707690278194	1.96841557536838	1.36896330225615	1.660522057381	1.25743732722682	1.20770235335601
ENSG00000001461	0.287905975159448	4.47011513272757	1.72347103629515	0.121781550351016	0.820111711728151	-5.50245547624441	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	1	24413527	24476735	protein_coding	57185	3.50372780628132	3.29375288603075	3.28490569836757	3.26432729261605	2.616497677738	3.02713511512217	2.86152765180705	2.87117890964133
ENSG00000001497	-0.277021181103819	5.94496719946601	-2.17194883314445	0.0604679166208774	0.820111711728151	-4.983933181488	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	X	65438549	65534818	protein_coding	81887	4.80952830151636	4.8722614177269	4.92451039657059	4.95477839020291	4.91456203608655	4.96318009866052	5.31454510722843	5.0383719121641
